
[00:00:00.000 --> 00:00:02.840]  首先請大家看一張圖片
[00:00:02.840 --> 00:00:05.320]  讓大家再次醒神一下
[00:00:05.320 --> 00:00:11.120]  這是咖啡杯
[00:00:11.120 --> 00:00:13.120]  今天喝了咖啡了嗎?
[00:00:13.120 --> 00:00:14.760]  我每天都喝一杯咖啡
[00:00:14.760 --> 00:00:15.560]  我今天還沒喝
[00:00:15.560 --> 00:00:18.320]  所以望梅止渴
[00:00:18.320 --> 00:00:21.840]  上次跟大家分享過
[00:00:21.840 --> 00:00:23.800]  夢寐以求的教會
[00:00:23.800 --> 00:00:25.200]  我們說到我們的教會
[00:00:25.200 --> 00:00:27.560]  在未來的牧羊方向裏面
[00:00:27.560 --> 00:00:31.760]  分別有牧羊的範圍
[00:00:31.760 --> 00:00:33.160]  有四方面
[00:00:33.160 --> 00:00:34.400]  有培訓
[00:00:34.400 --> 00:00:36.320]  有關顧
[00:00:36.320 --> 00:00:37.720]  報道外展
[00:00:37.720 --> 00:00:39.640]  另外有四個牧區
[00:00:39.640 --> 00:00:43.440]  長者、成年、青少年和兒童的牧區
[00:00:43.440 --> 00:00:48.600]  我上次用《少行傳》第二章42到47節裏面
[00:00:48.600 --> 00:00:51.760]  看到教會成立之初的時候
[00:00:51.760 --> 00:00:56.080]  那種信徒的生活和處境
[00:00:56.080 --> 00:01:00.760]  在當中他們是歡喜快樂的一體侍奉主
[00:01:00.760 --> 00:01:02.760]  他們得到眾民的喜愛
[00:01:02.760 --> 00:01:07.440]  又有使徒在當中將神的說話去講解
[00:01:07.440 --> 00:01:10.280]  以致他們有一個美好的教會生活
[00:01:10.280 --> 00:01:12.720]  或一個夢寐以求的教會
[00:01:12.720 --> 00:01:14.800]  當然我們都盼望
[00:01:14.800 --> 00:01:17.000]  我們在未來的牧羊方向裏面
[00:01:17.000 --> 00:01:21.280]  我們都能夠繼續去感受
[00:01:21.280 --> 00:01:26.760]  和去嘗到這種教會的美好
[00:01:26.760 --> 00:01:30.520]  但是夢想歸夢想
[00:01:30.520 --> 00:01:34.560]  夢想成真中間要經歷很多的過程
[00:01:34.560 --> 00:01:37.480]  譬如是一個很堅定的意志
[00:01:37.480 --> 00:01:40.400]  譬如有很長時間的磨練
[00:01:40.400 --> 00:01:42.200]  一個的堅持
[00:01:42.200 --> 00:01:46.360]  才能夠達到那個夢想成真
[00:01:46.360 --> 00:01:49.360]  這些說話是否最近經常聽到
[00:01:49.360 --> 00:01:52.920]  有些拿到獎牌的運動員就這樣說
[00:01:52.920 --> 00:01:55.280]  堅持是
[00:01:55.280 --> 00:01:56.200]  沒錯
[00:01:56.200 --> 00:02:00.200]  以前是在觀動席裏面看別人
[00:02:00.200 --> 00:02:03.440]  在舞台上在運動場上
[00:02:03.440 --> 00:02:05.600]  現在有這樣的夢想
[00:02:05.600 --> 00:02:08.800]  但是我經過很長時間的訓練
[00:02:08.800 --> 00:02:12.800]  克己有一個很好的自律
[00:02:12.800 --> 00:02:14.840]  又堅持又去訓練
