
[00:00:00.000 --> 00:00:02.000]  Thank you 梅早晨
[00:00:02.000 --> 00:00:05.000]  很高興回到你們當中
[00:00:05.000 --> 00:00:07.000]  能夠一起分享神教華語
[00:00:07.000 --> 00:00:10.000]  我記得十幾年前
[00:00:10.000 --> 00:00:12.000]  我旅行一下
[00:00:12.000 --> 00:00:14.000]  由香港回來拍攝
[00:00:14.000 --> 00:00:16.000]  去到Immigration那裡
[00:00:16.000 --> 00:00:21.000]  有一個五十多歲的Officer
[00:00:21.000 --> 00:00:23.000]  Immigration Officer
[00:00:23.000 --> 00:00:25.000]  看了我的Passport
[00:00:25.000 --> 00:00:27.000]  打了個印
[00:00:27.000 --> 00:00:29.000]  然後他講了一句說話
[00:00:29.000 --> 00:00:31.000]  他說
[00:00:31.000 --> 00:00:33.000]  Welcome Home
[00:00:33.000 --> 00:00:35.000]  歡迎你回來
[00:00:35.000 --> 00:00:37.000]  嘩 我覺得很暖心
[00:00:37.000 --> 00:00:40.000]  整二十年都沒試過
[00:00:40.000 --> 00:00:43.000]  有人說Welcome Home
[00:00:43.000 --> 00:00:46.000]  澳洲是我的家
[00:00:46.000 --> 00:00:51.000]  所以當Billy說
[00:00:51.000 --> 00:00:52.000]  真的很期待
[00:00:52.000 --> 00:00:54.000]  不知道是不是真的很期待
[00:00:54.000 --> 00:00:58.000]  你回來港一島
[00:00:58.000 --> 00:01:01.000]  Warm my heart
[00:01:01.000 --> 00:01:03.000]  我們一起祈禱
[00:01:03.000 --> 00:01:05.000]  親愛的天父
[00:01:05.000 --> 00:01:07.000]  我們多謝你
[00:01:07.000 --> 00:01:09.000]  多謝你的保守
[00:01:09.000 --> 00:01:11.000]  直到如今
[00:01:11.000 --> 00:01:13.000]  無論我們個人的
[00:01:13.000 --> 00:01:16.000]  整個人的Well-being
[00:01:16.000 --> 00:01:20.000]  無論我們家庭的平安
[00:01:20.000 --> 00:01:22.000]  無論教會的成長
[00:01:22.000 --> 00:01:25.000]  彼此相愛
[00:01:25.000 --> 00:01:28.000]  我們低頭敬拜你
[00:01:28.000 --> 00:01:31.000]  因為所有能夠造成的
[00:01:31.000 --> 00:01:33.000]  都出自主的恩典
[00:01:33.000 --> 00:01:38.000]  也都當將榮耀歸給你
[00:01:38.000 --> 00:01:39.000]  我們也都多謝主
[00:01:39.000 --> 00:01:43.000]  我們相信在今天的日子
[00:01:43.000 --> 00:01:45.000]  祢會教導我們
[00:01:45.000 --> 00:01:49.000]  怎樣靠主的恩典和真理
[00:01:49.000 --> 00:01:51.000]  能夠活在當下
[00:01:51.000 --> 00:01:55.000]  榮耀上帝,造福其他人
[00:01:55.000 --> 00:01:58.000]  求主幫助我們時常醒覺
[00:01:58.000 --> 00:02:03.000]  能夠意識我們的靈命
[00:02:03.000 --> 00:02:05.000]  我們的境況如何
[00:02:05.000 --> 00:02:09.000]  求主帶領我們一間延經
[00:02:09.000 --> 00:02:11.000]  講經的時候
[00:02:11.000 --> 00:02:13.000]  求主聖靈與我們同在
[00:02:13.000 --> 00:02:16.000]  奉主耶穌名求,阿們
[00:02:16.000 --> 00:02:22.000]  今天跟大家講這個題目
[00:02:22.000 --> 00:02:24.000]  是我們每一個基督徒
[00:02:24.000 --> 00:02:28.000]  其實很平常都會做的事
[00:02:28.000 --> 00:02:30.000]  去祈禱,是不是?
[00:02:30.000 --> 00:02:33.000]  我相信大家或多或少都會去祈禱
[00:02:33.000 --> 00:02:37.000]  不過最近比較掙扎一件事
[00:02:37.000 --> 00:02:41.000]  就是為了二十年前在你們當中
[00:02:41.000 --> 00:02:44.000]  一個弟兄祈禱
[00:02:44.000 --> 00:02:46.000]  他叫Andrew
[00:02:46.000 --> 00:02:50.000]  和以前Zoe的妹妹
[00:02:50.000 --> 00:02:55.000]  叫做艷萍,Yvonne
[00:02:55.000 --> 00:02:58.000]  他們都在這裡讀書
[00:02:58.000 --> 00:03:00.000]  在這裡信主
[00:03:00.000 --> 00:03:06.000]  在這裡認識,然後結婚
[00:03:06.000 --> 00:03:10.000]  因為最近Andrew
[00:03:10.000 --> 00:03:13.000]  大概一年多前患了
[00:03:13.000 --> 00:03:15.000]  淋巴癌
[00:03:15.000 --> 00:03:21.000]  也做化療各方面都做了一段時間
[00:03:21.000 --> 00:03:23.000]  其實都挺好的
[00:03:23.000 --> 00:03:28.000]  不過就放鬆,再次復發
[00:03:28.000 --> 00:03:30.000]  在十一月初
[00:03:30.000 --> 00:03:32.000]  都沒多久,幾個星期前
[00:03:32.000 --> 00:03:34.000]  因為做化療
[00:03:34.000 --> 00:03:36.000]  身體很弱
[00:03:36.000 --> 00:03:40.000]  特別是白血球降得很低
[00:03:40.000 --> 00:03:45.000]  到零,即是沒抵抗能力
[00:03:45.000 --> 00:03:49.000]  所以有些菌進入血裡
[00:03:49.000 --> 00:03:53.000]  不是這隻菌就是那隻菌
[00:03:53.000 --> 00:03:55.000]  有三隻菌
[00:03:55.000 --> 00:03:58.000]  很危急
[00:03:58.000 --> 00:04:04.000]  其實我怎樣知道這件事呢?
[00:04:04.000 --> 00:04:06.000]  頭頭都不太知道
[00:04:06.000 --> 00:04:11.000]  不過以前有個姊妹叫做Rebecca Wong
[00:04:11.000 --> 00:04:13.000]  可能有些久在這裡
[00:04:13.000 --> 00:04:18.000]  她說知道阿明牧師身體不太舒服
[00:04:18.000 --> 00:04:21.000]  不如我們組織一個群組在香港
[00:04:21.000 --> 00:04:24.000]  以前很多在這裡畢業的
[00:04:24.000 --> 00:04:27.000]  回到香港他們組織了一個群組
[00:04:27.000 --> 00:04:30.000]  關心我,說多謝
[00:04:30.000 --> 00:04:32.000]  但我自己心裡覺得
[00:04:32.000 --> 00:04:34.000]  其實不單關心我
[00:04:34.000 --> 00:04:36.000]  其實我心裡很想
[00:04:36.000 --> 00:04:40.000]  藉著這個群組祝福他們
[00:04:40.000 --> 00:04:43.000]  不過這個群組裡
[00:04:43.000 --> 00:04:48.000]  我知道Yvonne的丈夫Andrew
[00:04:48.000 --> 00:04:50.000]  有這樣的情況
[00:04:50.000 --> 00:04:52.000]  我學習祈禱
