
[00:00:00.000 --> 00:00:02.000]  靜姐妹早晨,我是黃牧師
[00:00:02.000 --> 00:00:05.000]  很高興能夠再次在主日崇拜的時間
[00:00:05.000 --> 00:00:07.000]  和大家一起見面
[00:00:07.000 --> 00:00:10.000]  藉著和大家分享神的說話
[00:00:10.000 --> 00:00:14.000]  能夠同心地好好在上帝的面前去侍奉
[00:00:14.000 --> 00:00:17.000]  讓我能夠再次在今天崇拜的當中
[00:00:17.000 --> 00:00:19.000]  去領受神的啟示
[00:00:19.000 --> 00:00:21.000]  這是莫大的福氣
[00:00:21.000 --> 00:00:24.000]  也讓我能夠有機會和大家一起去
[00:00:24.000 --> 00:00:26.000]  分享神的說話
[00:00:26.000 --> 00:00:29.000]  這個機會我再次獻上感恩
[00:00:29.000 --> 00:00:32.000]  也在此代表多倫多義馬萊尼環浸信會
[00:00:32.000 --> 00:00:36.000]  再次歡迎大家來到當中一起去崇拜
[00:00:36.000 --> 00:00:39.000]  讓我們再次在聆聽主道以先
[00:00:39.000 --> 00:00:44.000]  我們一起低頭禱告仰望在主我們的聖人面前
[00:00:44.000 --> 00:00:46.000]  慈悲的天父多謝你
[00:00:46.000 --> 00:00:48.000]  讓我們能夠再次回來
[00:00:48.000 --> 00:00:51.000]  在崇拜的當中仰望在你的裡面
[00:00:51.000 --> 00:00:54.000]  求你的聖靈幫助我們
[00:00:54.000 --> 00:00:57.000]  能夠將耶穌基督的救恩
[00:00:57.000 --> 00:01:01.000]  能夠真的完全地在我們生命裡面
[00:01:01.000 --> 00:01:03.000]  逐步地成長起來
[00:01:03.000 --> 00:01:06.000]  很想我們能夠預備行走這條天路
[00:01:06.000 --> 00:01:08.000]  直奔到去永恆的當中的時候
[00:01:08.000 --> 00:01:11.000]  能夠與主你有一個匹配的生命
[00:01:11.000 --> 00:01:13.000]  能夠活在你的當中
[00:01:13.000 --> 00:01:15.000]  求你的幫助
[00:01:15.000 --> 00:01:19.000]  今天會和大家繼續去透過這個馬太福音
[00:01:19.000 --> 00:01:22.000]  去分享神的說話
[00:01:22.000 --> 00:01:24.000]  去亦都能夠更了解到
[00:01:24.000 --> 00:01:27.000]  馬太福音裡面如何將耶穌的救恩
[00:01:27.000 --> 00:01:30.000]  逐步逐步地啟明給我們明白
[00:01:30.000 --> 00:01:36.000]  從而使我們生命更加貼近上帝原本的計劃當中
[00:01:36.000 --> 00:01:40.000]  在每一個人的生命當中
[00:01:40.000 --> 00:01:44.000]  我相信我們都背負著很多不同的身份
[00:01:44.000 --> 00:01:47.000]  可能你是做父母的
[00:01:47.000 --> 00:01:51.000]  或者你同時也可能是做子女的
[00:01:51.000 --> 00:01:54.000]  有時我們或者會做別人的老師
[00:01:54.000 --> 00:01:56.000]  或者別人的學生
[00:01:56.000 --> 00:02:01.000]  或者有時更普遍的就是我們成為別人的老闆
[00:02:01.000 --> 00:02:03.000]  或者別人的員工
[00:02:03.000 --> 00:02:07.000]  這些身份其實不是獨立存在的
[00:02:07.000 --> 00:02:11.000]  是因應著我們在很多不同的生命生活當中
[00:02:11.000 --> 00:02:14.000]  而附加在我們的生命當中
[00:02:14.000 --> 00:02:17.000]  有些身份是我們可以選擇
[00:02:17.000 --> 00:02:20.000]  但有些身份是我們無法選擇的
[00:02:20.000 --> 00:02:25.000]  因為那些本來就已經從天而賦予給我們的生命
[00:02:25.000 --> 00:02:28.000]  究竟在這些不同的身份當中
[00:02:28.000 --> 00:02:34.000]  我們如何才能夠使每一個身份都能夠做得稱職呢?
[00:02:34.000 --> 00:02:37.000]  原來就是維繫在一個很重要的因素
[00:02:37.000 --> 00:02:40.000]  就是義這個因素上面
[00:02:40.000 --> 00:02:44.000]  這個也是今天我想藉著馬太福音
[00:02:44.000 --> 00:02:49.000]  繼耶穌基督族譜的第一章的一至十七節之後
[00:02:49.000 --> 00:02:51.000]  第二個我們要思想的題目
[00:02:51.000 --> 00:02:55.000]  是如何真正在我們的生命當中
[00:02:55.000 --> 00:02:59.000]  能夠開始逐步的去生根建造
[00:02:59.000 --> 00:03:02.000]  在馬太福音的寫作上面
[00:03:02.000 --> 00:03:05.000]  不單止在我們先前所看到的
[00:03:05.000 --> 00:03:09.000]  第一章的第一至十七節當中
[00:03:09.000 --> 00:03:11.000]  透過耶穌基督族譜
[00:03:11.000 --> 00:03:17.000]  讓我們回到舊約的創世紀當中
[00:03:17.000 --> 00:03:21.000]  馬太福音並且要告訴我們
[00:03:21.000 --> 00:03:25.000]  耶穌基督的身份
[00:03:25.000 --> 00:03:31.000]  原來是建基於一個君尊族譜的延續上面
[00:03:31.000 --> 00:03:35.000]  因此當我們仔細去比較
[00:03:35.000 --> 00:03:39.000]  第一章第一至十七節和創世紀的時候
[00:03:39.000 --> 00:03:43.000]  這個族譜的關係主題就非常突出
[00:03:43.000 --> 00:03:47.000]  但原來單單在馬太福音裡面的自己
[00:03:47.000 --> 00:03:53.000]  也有類似的對應和延伸的陳述
