
[00:00:00.000 --> 00:00:02.680]  阿仙奴 阿士冬維拉
[00:00:02.680 --> 00:00:06.360]  不過我來到英國才知道原來這些不是城市名
[00:00:06.360 --> 00:00:12.180]  這幾隊球隊 兩隊在倫敦 一隊在白明漢
[00:00:12.180 --> 00:00:15.240]  你說我多差勁
[00:00:15.240 --> 00:00:19.420]  來到英國才打開雙眼
[00:00:19.420 --> 00:00:22.620]  從一個新的視角去認識英國這個社會
[00:00:22.620 --> 00:00:28.420]  在視力就是在做這件事
[00:00:28.820 --> 00:00:31.060]  他寫了一本書 就是想我們
[00:00:31.060 --> 00:00:33.380]  從新的視角
[00:00:33.380 --> 00:00:35.340]  讓我們認識這個世界
[00:00:35.340 --> 00:00:37.320]  認識我們所在的城市
[00:00:37.320 --> 00:00:41.060]  這件事原本的意思就是
[00:00:41.060 --> 00:00:43.460]  揭開 打開
[00:00:43.460 --> 00:00:46.440]  就好像我們在戲院看戲一樣
[00:00:46.440 --> 00:00:48.200]  那個帳幕打開
[00:00:48.200 --> 00:00:50.700]  我們就可以進入戲裏面
[00:00:50.700 --> 00:00:54.420]  從一個全新的視角去看這個世界
[00:00:59.620 --> 00:01:02.120]  為什麼要說《啟示錄》呢
[00:01:02.120 --> 00:01:05.500]  因為這是今天的三代經課的經文
[00:01:05.500 --> 00:01:07.900]  三代經課的好處就是
[00:01:07.900 --> 00:01:09.820]  它以三年為一個循環
[00:01:09.820 --> 00:01:14.020]  我們可以很完整地讀完整本《聖經》的所有書卷
[00:01:14.020 --> 00:01:16.540]  因為你知道 有些書卷
[00:01:16.540 --> 00:01:18.540]  我們是很少看的
[00:01:18.540 --> 00:01:20.260]  第二個原因就是
[00:01:20.260 --> 00:01:24.700]  《啟示錄》是我們比較少看的一本書
[00:01:24.700 --> 00:01:26.700]  如果大家有看《聖經》的話
[00:01:26.700 --> 00:01:28.820]  你自己用過那本書
[00:01:28.820 --> 00:01:29.980]  一看就知道
[00:01:29.980 --> 00:01:31.980]  那一本書是特別新的
[00:01:31.980 --> 00:01:33.980]  就是你最少看的那本書
[00:01:33.980 --> 00:01:37.100]  第三個原因是
[00:01:37.100 --> 00:01:39.820]  今天我們《啟示錄》的訊息
[00:01:39.820 --> 00:01:41.820]  是對我們息息相關
[00:01:41.820 --> 00:01:46.780]  《啟示錄》的感覺
[00:01:46.780 --> 00:01:48.780]  是會有一頭霧水的
[00:01:48.780 --> 00:01:52.300]  因為裏面有很多很奇怪的異象
[00:01:52.300 --> 00:01:53.460]  天馬行空
[00:01:53.460 --> 00:01:56.460]  好像看科幻小說 看《哈利波特》那樣
[00:01:56.460 --> 00:01:58.060]  是很難明白的
[00:01:58.060 --> 00:01:59.580]  其中一個原因是因為
[00:01:59.580 --> 00:02:01.180]  所有的異象
[00:02:01.180 --> 00:02:06.340]  都跟整本《聖經》之前那六十五卷書很有關係
[00:02:06.340 --> 00:02:08.740]  所以如果你之前那六十五卷書
[00:02:08.740 --> 00:02:10.620]  你還沒看完
[00:02:10.620 --> 00:02:12.220]  你再看《啟示錄》
[00:02:12.220 --> 00:02:14.460]  是會有點難明白的
[00:02:14.460 --> 00:02:17.060]  特別是今天我們看二十一章
[00:02:17.060 --> 00:02:21.620]  已經是《啟示錄》最後那兩章的大結局了
[00:02:21.620 --> 00:02:24.780]  前面那二十章
[00:02:24.780 --> 00:02:28.220]  就留給大家慢慢品嘗
[00:02:28.220 --> 00:02:30.660]  今天我們去講二十一章
[00:02:30.660 --> 00:02:32.220]  大家需要知道
[00:02:32.220 --> 00:02:34.740]  最重要的就是前面那二十章
[00:02:34.740 --> 00:02:36.900]  是有一個大反派
[00:02:36.900 --> 00:02:39.500]  大奸角出現了
[00:02:39.500 --> 00:02:44.980]  那個大反派就叫做巴比倫
[00:02:44.980 --> 00:02:47.460]  巴比倫的城市
[00:02:47.460 --> 00:02:50.420]  前面那二十章花了很大的篇幅
[00:02:50.420 --> 00:02:55.340]  講巴比倫這個城市有多麼強盛
[00:02:55.340 --> 00:02:57.100]  有多麼殘暴
[00:02:57.100 --> 00:03:00.020]  有多麼目中無神
[00:03:00.020 --> 00:03:02.100]  巴比倫這個城市
[00:03:02.100 --> 00:03:08.340]  他不知道原來是上主一直容許他存在
[00:03:08.340 --> 00:03:10.340]  他更加不知道
[00:03:10.340 --> 00:03:14.420]  上主即將要去毀滅這個城市
[00:03:14.420 --> 00:03:17.060]  之後去到第二十一章
[00:03:17.060 --> 00:03:22.380]  講到另一個城市從天而降要取代他
[00:03:22.380 --> 00:03:27.580]  那個城市就叫做新耶路撒冷
[00:03:27.580 --> 00:03:29.060]  所以從這個角度講
[00:03:29.060 --> 00:03:33.020]  整本《啟示錄》你可以看它是一個雙城記
[00:03:33.020 --> 00:03:37.180]  是巴比倫和新耶路撒冷的故事
[00:03:37.180 --> 00:03:39.380]  不過《啟示錄》寫的時候
[00:03:39.380 --> 00:03:42.060]  巴比倫早已經不在了
[00:03:42.060 --> 00:03:45.220]  耶路撒冷也已經滅亡了
[00:03:45.220 --> 00:03:50.940]  巴比倫在幾個世紀之前已經被波斯滅了
[00:03:50.940 --> 00:03:56.940]  耶路撒冷也在公元七十年被羅馬攻陷了
[00:03:56.940 --> 00:04:01.540]  好像今天加沙那樣一片廢墟
[00:04:01.540 --> 00:04:06.780]  巴比倫的年代已經很久遠了
[00:04:06.780 --> 00:04:11.060]  但是耶路撒冷的滅亡對於《啟示錄》的讀者來說
[00:04:11.060 --> 00:04:12.100]  是記憶猶新
[00:04:12.100 --> 00:04:14.140]  發生了不久而已
[00:04:14.140 --> 00:04:17.900]  就好像今天某個金庸廢墟一樣
[00:04:17.900 --> 00:04:21.100]  大家很記得的
[00:04:21.100 --> 00:04:22.820]  耶路撒冷被剷平
[00:04:22.820 --> 00:04:26.940]  然後聖經應許有一個新的耶路撒冷來
