
[00:00:00.000 --> 00:00:02.000]  各位聽眾朋友們早安
[00:00:02.000 --> 00:00:05.000]  今天是感恩節
[00:00:05.000 --> 00:00:12.000]  其實感恩節原本是跟我們的信仰是沒有關係的
[00:00:12.000 --> 00:00:14.000]  1620年的時候
[00:00:14.000 --> 00:00:19.000]  11月12號有一艘從英國來的船
[00:00:19.000 --> 00:00:25.000]  靠到了麻州的Plymouth這個地方
[00:00:25.000 --> 00:00:28.000]  下來102名清教徒
[00:00:28.000 --> 00:00:31.000]  非常的冷沒有東西吃
[00:00:31.000 --> 00:00:38.000]  最後每個人每天發五粒一鼠鼠放在手上面就這樣吃
[00:00:38.000 --> 00:00:42.000]  到了第二年的春天只活了一半的人
[00:00:42.000 --> 00:00:49.000]  地安人來教他們耕種灌溉施肥給他們種子
[00:00:49.000 --> 00:00:51.000]  結果他們有了豐收
[00:00:51.000 --> 00:00:54.000]  所以他們就很高興就請了印地安人
[00:00:54.000 --> 00:00:58.000]  所以來吃火雞還有吃大餐
[00:00:58.000 --> 00:01:02.000]  來再一次為此而感恩
[00:01:02.000 --> 00:01:06.000]  所以我們就延續了這個感恩節
[00:01:06.000 --> 00:01:09.000]  那麼對基督徒來說
[00:01:09.000 --> 00:01:13.000]  保羅說我們要凡事謝恩
[00:01:13.000 --> 00:01:15.000]  什麼事情我們都要感恩
[00:01:15.000 --> 00:01:17.000]  不只是說豐收我們才感恩
[00:01:17.000 --> 00:01:19.000]  不只是說我活下來我感恩
[00:01:19.000 --> 00:01:21.000]  不只是說病得醫治感恩
[00:01:21.000 --> 00:01:25.000]  不只是說我找到了工作我才感恩
[00:01:25.000 --> 00:01:28.000]  乃是什麼事情都要感恩
[00:01:28.000 --> 00:01:35.000]  1779年華盛頓總統發表了美國感恩宣言
[00:01:35.000 --> 00:01:38.000]  National Thanksgiving Proclamation
[00:01:38.000 --> 00:01:42.000]  之後沒多久1963年就是過了200年
[00:01:42.000 --> 00:01:48.000]  美國就出了一篇舉世聞名的感恩的禱告
[00:01:48.000 --> 00:01:51.000]  他是這麼禱告的讓我跟各位翻譯
[00:01:51.000 --> 00:01:57.000]  他說我感謝神的花朵這麼的美麗
[00:01:57.000 --> 00:02:01.000]  我感謝神豐富供應我們的食物
[00:02:01.000 --> 00:02:06.000]  我感謝神鳥兒歌唱一切的東西
[00:02:06.000 --> 00:02:08.000]  我感謝神
[00:02:08.000 --> 00:02:11.000]  這個禱告之所以有名
[00:02:11.000 --> 00:02:16.000]  是因為這個禱告被聯邦法院裁定
[00:02:16.000 --> 00:02:19.000]  不可以在校園裡面這樣子的禱告
[00:02:19.000 --> 00:02:21.000]  不可以公禱
[00:02:21.000 --> 00:02:23.000]  所以他才有名呢
[00:02:23.000 --> 00:02:27.000]  難道是神的恩典有了變化嗎
[00:02:27.000 --> 00:02:32.000]  難道是人的心有了變化嗎
[00:02:32.000 --> 00:02:37.000]  或者是什麼事情讓人不知道
[00:02:37.000 --> 00:02:41.000]  怎麼樣來讚美神怎麼樣來感謝神嗎
[00:02:41.000 --> 00:02:46.000]  難道我們的一生不應該感謝神嗎
[00:02:46.000 --> 00:02:50.000]  有的時候我們很慶幸我們很感謝
[00:02:50.000 --> 00:02:52.000]  我們還有一份工作
[00:02:52.000 --> 00:02:54.000]  還可以拿著paycheck
[00:02:54.000 --> 00:02:56.000]  有薪水可以拿回家
[00:02:56.000 --> 00:02:58.000]  有的時候我們也很感謝神
[00:02:58.000 --> 00:03:01.000]  我們還有留一個性命
[00:03:01.000 --> 00:03:03.000]  能夠還過的日子
[00:03:03.000 --> 00:03:07.000]  還可以呼吸到一口新鮮的空氣
[00:03:07.000 --> 00:03:12.000]  但是為什麼我們就不能夠開口來感謝神呢
[00:03:12.000 --> 00:03:14.000]  讓我們來看看大胃王
[00:03:14.000 --> 00:03:17.000]  他是怎麼樣的感謝讚美神的
[00:03:17.000 --> 00:03:19.000]  我們先行在念的
[00:03:19.000 --> 00:03:22.000]  這個感謝的詩
[00:03:22.000 --> 00:03:25.000]  就是詩篇一百篇
[00:03:25.000 --> 00:03:28.000]  他說普天下當下耶和華歡呼
[00:03:28.000 --> 00:03:31.000]  你們應當樂意侍奉耶和華
[00:03:31.000 --> 00:03:33.000]  當來向祂歌唱
[00:03:33.000 --> 00:03:36.000]  你們應當曉得耶和華是神
[00:03:36.000 --> 00:03:38.000]  我們是祂造的也是屬祂的
[00:03:38.000 --> 00:03:42.000]  我們是祂的名也是祂朝場上的羊
[00:03:42.000 --> 00:03:45.000]  當稱謝進入祂的門
[00:03:45.000 --> 00:03:48.000]  當讚美進入祂的院
[00:03:48.000 --> 00:03:50.000]  當感謝祂稱頌祂的名
[00:03:50.000 --> 00:03:53.000]  因為耶和華本為善
[00:03:53.000 --> 00:03:56.000]  祂的慈愛存到永遠
[00:03:56.000 --> 00:04:00.000]  祂的信實存到萬代
[00:04:00.000 --> 00:04:02.000]  我們剛才每一個弟兄姊妹
[00:04:02.000 --> 00:04:09.000]  多多少少都把過去感謝神的事情都講出來
[00:04:09.000 --> 00:04:12.000]  那麼在這個感恩的季節
[00:04:12.000 --> 00:04:16.000]  我們一定有很多人事物
[00:04:16.000 --> 00:04:18.000]  我們要去感謝
[00:04:18.000 --> 00:04:21.000]  譬如說我們要感謝我們的父母親
[00:04:21.000 --> 00:04:23.000]  我們要感謝我們的配偶
[00:04:23.000 --> 00:04:24.000]  我們的子女
[00:04:24.000 --> 00:04:25.000]  我們的親戚
[00:04:25.000 --> 00:04:26.000]  我們的朋友
[00:04:26.000 --> 00:04:27.000]  我們的老闆
[00:04:27.000 --> 00:04:28.000]  我們的同事
[00:04:28.000 --> 00:04:30.000]  甚至於我們的醫生
[00:04:30.000 --> 00:04:33.000]  他為我們做的什麼事情等等
[00:04:33.000 --> 00:04:37.000]  我們一定也有很多事情要感謝的
[00:04:37.000 --> 00:04:38.000]  像是我們的身體健康
[00:04:38.000 --> 00:04:39.000]  學業進步
[00:04:39.000 --> 00:04:40.000]  事業成功
[00:04:40.000 --> 00:04:42.000]  我們的綠卡辦到了
[00:04:42.000 --> 00:04:44.000]  我們結婚升職了
[00:04:44.000 --> 00:04:46.000]  買房買車子等等
[00:04:46.000 --> 00:04:49.000]  這些都是需要感謝的
[00:04:49.000 --> 00:04:52.000]  總結剛才我們的感謝
[00:04:52.000 --> 00:04:55.000]  有為自己感謝的很好
[00:04:55.000 --> 00:04:57.000]  有為國家感謝的
[00:04:57.000 --> 00:05:00.000]  有為教會感謝的都很好
[00:05:00.000 --> 00:05:02.000]  我們有一個感恩的心
[00:05:02.000 --> 00:05:07.000]  我們要感謝神賜給我們的恩典
[00:05:07.000 --> 00:05:09.000]  譬如說我們剛才看到的
[00:05:09.000 --> 00:05:13.000]  這個感恩稱謝
