
[00:00:00.000 --> 00:00:02.520]  今天我們第一講
[00:00:02.520 --> 00:00:04.040]  第一講是講什麼呢
[00:00:04.040 --> 00:00:05.540]  Dare to believe
[00:00:05.540 --> 00:00:07.540]  你敢於去相信
[00:00:07.540 --> 00:00:08.640]  相信什麼呢
[00:00:08.640 --> 00:00:10.500]  相信耶穌是上帝的兒子
[00:00:10.500 --> 00:00:14.900]  相信耶穌是力量能夠改變你的生命
[00:00:14.900 --> 00:00:16.900]  問大家一個很簡單的問題
[00:00:16.900 --> 00:00:18.240]  今天是部課節
[00:00:18.240 --> 00:00:19.740]  我們當中有哪些人相信
[00:00:19.740 --> 00:00:23.680]  有哪個人相信耶穌是上帝的兒子
[00:00:23.680 --> 00:00:26.240]  請你舉手
[00:00:26.240 --> 00:00:28.240]  好 請你放下
[00:00:28.240 --> 00:00:29.660]  然後我再問多一個問題
[00:00:29.660 --> 00:00:31.660]  我們當中有多少人相信
[00:00:31.660 --> 00:00:33.660]  耶穌不單是上帝的兒子
[00:00:33.660 --> 00:00:35.660]  而且祂爲我們的罪
[00:00:35.660 --> 00:00:37.660]  死在十字架上
[00:00:37.660 --> 00:00:40.660]  但是第三天從死裏復活
[00:00:40.660 --> 00:00:42.660]  你相信請你舉手
[00:00:42.660 --> 00:00:44.660]  OK 感謝主
[00:00:44.660 --> 00:00:46.660]  我見很多人都舉手
[00:00:46.660 --> 00:00:48.660]  不過有些人還沒舉手
[00:00:48.660 --> 00:00:50.660]  那我assume
[00:00:50.660 --> 00:00:51.660]  我假設
[00:00:51.660 --> 00:00:53.660]  不舉手的那些可能
[00:00:53.660 --> 00:00:55.660]  你還沒信耶穌
[00:00:55.660 --> 00:00:57.660]  是正常的
[00:00:57.660 --> 00:00:59.660]  或者
[00:00:59.660 --> 00:01:00.660]  你不是不信
[00:01:00.660 --> 00:01:02.660]  不過好像我上個星期說的
[00:01:02.660 --> 00:01:03.660]  你信不足
[00:01:03.660 --> 00:01:05.660]  你信心不夠
[00:01:05.660 --> 00:01:06.660]  你少信
[00:01:06.660 --> 00:01:07.660]  你的信心很軟弱
[00:01:07.660 --> 00:01:09.660]  所以你不是很sure
[00:01:09.660 --> 00:01:11.660]  你應不應該舉手
[00:01:11.660 --> 00:01:13.660]  原來
[00:01:13.660 --> 00:01:14.660]  在聖經裏面
[00:01:14.660 --> 00:01:17.660]  你會找到有三種不同的信心
[00:01:17.660 --> 00:01:19.660]  三個category的信心
[00:01:19.660 --> 00:01:21.660]  第一個就是小信
[00:01:21.660 --> 00:01:23.660]  沒信心或者軟弱的信心
[00:01:23.660 --> 00:01:24.660]  小的信心
[00:01:24.660 --> 00:01:26.660]  這些人相信耶穌所說的話
[00:01:26.660 --> 00:01:27.660]  他有看聖經的
[00:01:27.660 --> 00:01:30.660]  不過他不相信耶穌所說的話
[00:01:30.660 --> 00:01:34.660]  真的會實現在他自己的生命當中
[00:01:34.660 --> 00:01:37.660]  聖經裏面一個很明顯的例子是什麼呢
[00:01:37.660 --> 00:01:39.660]  十二個門徒
[00:01:39.660 --> 00:01:41.660]  耶穌挑選出來十二個人跟隨他
[00:01:41.660 --> 00:01:42.660]  三年多的時間
[00:01:42.660 --> 00:01:44.660]  有一次他們過海
[00:01:44.660 --> 00:01:45.660]  加利利海
[00:01:45.660 --> 00:01:46.660]  忽然之間
[00:01:46.660 --> 00:01:48.660]  狂風大作
[00:01:48.660 --> 00:01:49.660]  大家記得那個故事嗎
[00:01:49.660 --> 00:01:51.660]  在那裏風暴
[00:01:51.660 --> 00:01:52.660]  這十二個門徒
[00:01:52.660 --> 00:01:55.660]  耶穌明明在船上
[00:01:55.660 --> 00:01:56.660]  跟我們在一起
[00:01:56.660 --> 00:01:57.660]  不過在睡覺
[00:01:57.660 --> 00:01:59.660]  這羣人非常害怕
[00:01:59.660 --> 00:02:00.660]  搖醒耶穌
[00:02:00.660 --> 00:02:02.660]  不是叫耶穌幫助什麼
[00:02:02.660 --> 00:02:05.660]  這個時間你還在睡覺
[00:02:05.660 --> 00:02:08.660]  你醒醒吧
[00:02:08.660 --> 00:02:09.660]  耶穌醒來
[00:02:09.660 --> 00:02:10.660]  怎樣跟那些門徒說呢
[00:02:10.660 --> 00:02:11.660]  大家記得嗎
[00:02:11.660 --> 00:02:12.660]  那個故事
[00:02:12.660 --> 00:02:14.660]  爲什麼你們這麼害怕
[00:02:14.660 --> 00:02:17.660]  爲什麼你們的信心這麼少
[00:02:17.660 --> 00:02:18.660]  這羣門徒
[00:02:18.660 --> 00:02:19.660]  耶穌所挑選的
[00:02:19.660 --> 00:02:23.660]  原來不是一開始就有很強的信心
