
[00:00:00.000 --> 00:00:06.800]  今日我應教會是希望講合一的訊息
[00:00:06.800 --> 00:00:10.400]  我選了一段聖經跟大家一起分享
[00:00:10.400 --> 00:00:12.640]  因為我知道這段時間教會都在思想
[00:00:12.640 --> 00:00:14.960]  我們一起再聯合
[00:00:14.960 --> 00:00:18.640]  再一起來建立教會這個方向
[00:00:18.640 --> 00:00:23.840]  為你們一起有合一的追求來獻上感恩
[00:00:23.840 --> 00:00:27.040]  因為這的確是聖經裏面一個很重要
[00:00:27.040 --> 00:00:31.360]  以及很容易我們慢慢會忽略
[00:00:31.360 --> 00:00:38.240]  甚至有機會被那惡者所破壞的一個重要的基礎
[00:00:38.240 --> 00:00:40.040]  教會不能夠合一
[00:00:40.040 --> 00:00:42.320]  其實很多事情都做不到
[00:00:42.320 --> 00:00:46.560]  甚至是本來應該正面的去見正主
[00:00:46.560 --> 00:00:51.120]  但反而成為了很多人的攔阻
[00:00:51.120 --> 00:00:53.000]  差不多我去到哪裏都好
[00:00:53.000 --> 00:00:57.040]  今次有另外一個聚會都有人捉住我跟我說
[00:00:57.040 --> 00:00:59.240]  為甚麼現在教會是這樣的
[00:00:59.240 --> 00:01:01.440]  周圍都有很多人的疑問
[00:01:01.440 --> 00:01:02.560]  教會裏面的疑問
[00:01:02.560 --> 00:01:04.400]  教會外的疑問
[00:01:04.400 --> 00:01:08.840]  為甚麼教會在這個時代裏面不能夠活出合一的訊息
[00:01:08.840 --> 00:01:10.400]  我沒有一個完整的答案
[00:01:10.400 --> 00:01:13.880]  不過我很想用一段聖經跟大家一起來分享
[00:01:13.880 --> 00:01:14.920]  來思想
[00:01:14.920 --> 00:01:17.960]  我希望神的道可以感動大家
[00:01:17.960 --> 00:01:19.160]  感動同福堂
[00:01:19.160 --> 00:01:23.320]  能夠再一次更好的合而為一來示奉神
[00:01:23.320 --> 00:01:30.400]  這段經文是記載在哥倫多前書第十二章
[00:01:30.400 --> 00:01:35.040]  第十二節一直到二十七節
[00:01:35.040 --> 00:01:38.920]  經文在這段聖經裏面
[00:01:38.920 --> 00:01:42.240]  我把它分成三個大段落
[00:01:42.240 --> 00:01:44.000]  在三個大段落裏面
[00:01:44.000 --> 00:01:46.960]  第二個段落我再把它分成AB部分
[00:01:46.960 --> 00:01:49.200]  總共分成四段
[00:01:49.200 --> 00:01:52.200]  在這段經文裏面
[00:01:52.200 --> 00:01:56.320]  由於我在場不是很多會眾
[00:01:56.320 --> 00:01:57.960]  大家都是在家中
[00:01:57.960 --> 00:02:01.360]  不如請大家一起讀出
