
[00:00:00.000 --> 00:00:05.040]  我年青的時候曾經在北極工作過
[00:00:05.040 --> 00:00:07.680]  我的公司是石油公司
[00:00:07.680 --> 00:00:12.080]  在北冰洋的中間有些探測船
[00:00:12.080 --> 00:00:18.720]  我會坐飛機去到北冰洋旁邊一個小鎮
[00:00:18.720 --> 00:00:25.600]  然後坐直升機去到這些很大隻的船
[00:00:25.600 --> 00:00:30.480]  北極很冷很美很浪漫
[00:00:30.480 --> 00:00:34.000]  所以我去得多就愛上了北極
[00:00:34.000 --> 00:00:37.920]  大家知道北極是天寒地凍人口稀少
[00:00:37.920 --> 00:00:42.320]  但它還有些愛斯基摩人住在那裏
[00:00:42.320 --> 00:00:45.840]  愛斯基摩人的生活其實很刻苦
[00:00:45.840 --> 00:00:51.280]  他們會打獵又會捕魚
[00:00:51.280 --> 00:00:56.800]  他們最喜歡打獵的就是海豹或者海象
[00:00:56.800 --> 00:01:03.200]  有些愛斯基摩人還要挑戰自我
[00:01:03.200 --> 00:01:06.960]  他們連北極狼都想打
[00:01:06.960 --> 00:01:08.960]  狼就很難捕捉
[00:01:08.960 --> 00:01:10.960]  因為狼跑得很快
[00:01:10.960 --> 00:01:17.440]  海豹上岸後有時動得不快就會打死牠
[00:01:17.440 --> 00:01:19.040]  但狼就跑得很快
[00:01:19.040 --> 00:01:21.440]  狼就一群來一群去
[00:01:21.440 --> 00:01:23.440]  怎樣捕捉狼呢
[00:01:23.440 --> 00:01:26.720]  還有狼是怕人的
[00:01:26.720 --> 00:01:28.720]  它會避開人
[00:01:28.720 --> 00:01:35.680]  在美國研究沒有一份報告說人是被狼吃了
[00:01:35.680 --> 00:01:37.120]  不過這樣想
[00:01:37.120 --> 00:01:39.120]  如果你被狼吃了
[00:01:39.120 --> 00:01:42.080]  你又不會回來作報告
[00:01:42.080 --> 00:01:44.880]  所以有時這些報告都要小心
[00:01:44.880 --> 00:01:48.080]  怎樣捕捉北極狼呢
[00:01:48.080 --> 00:01:50.080]  愛斯基摩人很聰明
[00:01:50.080 --> 00:01:53.360]  首先把刀磨得很鋒利
[00:01:53.360 --> 00:01:58.480]  然後在刀上塗了一層海豹的血
[00:01:58.480 --> 00:02:01.360]  乾了之後再塗第二層
[00:02:01.360 --> 00:02:03.360]  乾了之後再塗第三層
[00:02:03.360 --> 00:02:05.360]  有很多層
[00:02:05.360 --> 00:02:07.360]  刀變了一條雪條
[00:02:07.360 --> 00:02:09.360]  不過紅色的
[00:02:09.360 --> 00:02:11.360]  裏面那把刀很鋒利
