
[00:00:00.000 --> 00:00:02.000]  之前說了年初三
[00:00:02.000 --> 00:00:06.160]  難得在新年的時間去講訊息
[00:00:06.160 --> 00:00:08.160]  那我講一下年初七
[00:00:08.160 --> 00:00:10.160]  年初七我們叫什麼
[00:00:10.160 --> 00:00:11.680]  人日
[00:00:11.680 --> 00:00:15.080]  傳統習俗我們都說年初七是人日
[00:00:15.080 --> 00:00:17.080]  所以我很多時候見到朋友
[00:00:17.080 --> 00:00:19.080]  見到弟兄姊妹的時候
[00:00:19.080 --> 00:00:21.080]  我們都會說生日快樂
[00:00:21.080 --> 00:00:23.080]  但其實每一次當我聽到
[00:00:23.080 --> 00:00:25.080]  有弟兄姊妹在年初七跟我說
[00:00:25.080 --> 00:00:26.360]  生日快樂的時間
[00:00:26.360 --> 00:00:28.000]  我心裡都有點不舒服
[00:00:28.000 --> 00:00:30.000]  原因是因為其實
[00:00:30.000 --> 00:00:33.200]  人日這件事是源自一個傳說
[00:00:33.200 --> 00:00:36.360]  而這個傳說跟我們所信的信仰
[00:00:36.360 --> 00:00:38.360]  是很大的出入
[00:00:38.360 --> 00:00:40.360]  所以我給大家一個功課
[00:00:40.360 --> 00:00:42.360]  給大家一個功課
[00:00:42.360 --> 00:00:44.360]  在完了崇拜之後
[00:00:44.360 --> 00:00:46.360]  你嘗試去找一下究竟
[00:00:46.360 --> 00:00:48.360]  人日的傳說
[00:00:48.360 --> 00:00:50.360]  是一個怎樣的傳說
[00:00:50.360 --> 00:00:52.360]  如果再不明白就問問
[00:00:52.360 --> 00:00:54.360]  你們的墓者你們的區墓
[00:00:54.360 --> 00:00:56.360]  再決定以後的日子
[00:00:56.360 --> 00:00:58.360]  是否仍然在人日的時間
[00:00:58.360 --> 00:01:00.360]  跟別人說生日快樂
[00:01:00.360 --> 00:01:02.360]  昨天很好笑
[00:01:02.360 --> 00:01:05.360]  其中一堂崇拜有一個組長
[00:01:05.360 --> 00:01:06.360]  出來跟我說
[00:01:06.360 --> 00:01:08.360]  我初七生日
[00:01:08.360 --> 00:01:12.360]  初七生日當然是零計的
[00:01:12.360 --> 00:01:15.360]  其實基督信仰是一個
[00:01:15.360 --> 00:01:19.360]  經常都會挑戰我們傳統的信仰
[00:01:19.360 --> 00:01:21.360]  我不是說傳統不好
[00:01:21.360 --> 00:01:24.360]  只是原來我們所信的這個信仰
[00:01:24.360 --> 00:01:26.360]  可以幫助我們
[00:01:26.360 --> 00:01:29.360]  去反思我們一直所做的事情
[00:01:29.360 --> 00:01:31.360]  究竟是否正確
[00:01:31.360 --> 00:01:35.360]  裏面是否包含著真理
[00:01:35.360 --> 00:01:36.360]  我記得我中學時代
[00:01:36.360 --> 00:01:37.360]  我信耶穌
[00:01:37.360 --> 00:01:38.360]  當時在團計裏面
[00:01:38.360 --> 00:01:41.360]  有些師兄師姐去帶我查經
[00:01:41.360 --> 00:01:44.360]  他們很喜歡說一些背景資料
[00:01:44.360 --> 00:01:46.360]  譬如這段經文背景是甚麼
[00:01:46.360 --> 00:01:48.360]  為甚麼會這樣
[00:01:48.360 --> 00:01:50.360]  解釋一下這段經文是怎樣發生
[00:01:50.360 --> 00:01:51.360]  但來到近年
[00:01:51.360 --> 00:01:53.360]  聖經學者經常提醒我們
[00:01:53.360 --> 00:01:55.360]  其實我們要反過來
[00:01:55.360 --> 00:01:57.360]  當我們查經的時候
[00:01:57.360 --> 00:01:58.360]  其實我們要反過來去想
[00:01:58.360 --> 00:02:00.360]  就是當時的處境
[00:02:00.360 --> 00:02:02.360]  當時的背景是這樣
[00:02:02.360 --> 00:02:04.360]  但為甚麼聖經裏面的經文
[00:02:04.360 --> 00:02:08.360]  不是跟著這樣去做呢
[00:02:08.360 --> 00:02:09.360]  我用一個例子
[00:02:09.360 --> 00:02:10.360]  就是上個星期
[00:02:10.360 --> 00:02:12.360]  李牧師他講到的時候
[00:02:12.360 --> 00:02:15.360]  他講到耶穌為門徒洗腳
[00:02:15.360 --> 00:02:18.360]  當時在第一世紀在巴勒斯坦地
[00:02:18.360 --> 00:02:22.360]  原來很重視榮辱文化
[00:02:22.360 --> 00:02:24.360]  很重視榮辱文化
[00:02:24.360 --> 00:02:26.360]  很重視尊卑
[00:02:26.360 --> 00:02:28.360]  分得很清楚
[00:02:28.360 --> 00:02:30.360]  但耶穌他作為老師
[00:02:30.360 --> 00:02:32.360]  他作為夫子
[00:02:32.360 --> 00:02:34.360]  卻為門徒洗腳
[00:02:34.360 --> 00:02:36.360]  對於當時的年代來說
[00:02:36.360 --> 00:02:40.360]  是一個匪夷所思的事情
[00:02:40.360 --> 00:02:43.360]  對於第一世紀那班人來說
[00:02:43.360 --> 00:02:46.360]  很震撼
[00:02:46.360 --> 00:02:47.360]  很奇怪
[00:02:47.360 --> 00:02:49.360]  為甚麼耶穌會這樣做
[00:02:49.360 --> 00:02:52.360]  就像李牧師所講
[00:02:52.360 --> 00:02:54.360]  其實重點是在於
[00:02:54.360 --> 00:02:58.360]  夫子去跟門徒洗腳
[00:02:58.360 --> 00:02:59.360]  重點是在於
[00:02:59.360 --> 00:03:02.360]  大的去服侍小的
[00:03:02.360 --> 00:03:04.360]  主耶穌就透過這個
[00:03:04.360 --> 00:03:08.360]  跟傳統很不同的行動
[00:03:08.360 --> 00:03:09.360]  去告訴我們
[00:03:09.360 --> 00:03:10.360]  其實我們的上帝
[00:03:10.360 --> 00:03:12.360]  是怎樣看事物
[00:03:12.360 --> 00:03:14.360]  怎樣去處事
[00:03:14.360 --> 00:03:15.360]  跟我們的做法
[00:03:15.360 --> 00:03:17.360]  跟我們的看法
[00:03:17.360 --> 00:03:19.360]  有甚麼的不同
[00:03:19.360 --> 00:03:21.360]  今天選了一段經文
[00:03:21.360 --> 00:03:22.360]  哥羅西書
[00:03:22.360 --> 00:03:24.360]  一章一至十四字
[00:03:24.360 --> 00:03:26.360]  但在預備講章的時間
[00:03:26.360 --> 00:03:27.360]  我發現其實
[00:03:27.360 --> 00:03:29.360]  一至八字已經很豐富
