
[00:00:00.000 --> 00:00:03.140]  今天順便開始菲律賓書的講論
[00:00:03.140 --> 00:00:05.780]  總題目是活像基督
[00:00:05.780 --> 00:00:09.140]  保羅生存在菲律賓書的時代
[00:00:09.140 --> 00:00:11.820]  是保羅寫完羅馬書之後
[00:00:11.820 --> 00:00:15.560]  去到遠方和以弗所的長老華別
[00:00:15.560 --> 00:00:17.300]  然後去到耶路撒冷
[00:00:17.300 --> 00:00:18.680]  被囚兩年
[00:00:18.680 --> 00:00:20.940]  然後坐船去到羅馬
[00:00:20.940 --> 00:00:23.320]  然後去沉船再去到羅馬
[00:00:23.320 --> 00:00:25.880]  在羅馬準備上訴該殺
[00:00:25.880 --> 00:00:27.520]  生死未卜的時候
[00:00:27.520 --> 00:00:30.360]  在羅馬監獄寫菲律賓書
[00:00:30.360 --> 00:00:34.320]  所以幾卷書都被稱為監獄的書信
[00:00:34.320 --> 00:00:36.480]  保羅在一個很逆境的情況下
[00:00:36.480 --> 00:00:39.480]  他關心遠方的教會
[00:00:39.480 --> 00:00:41.400]  關心遠方的信徒
[00:00:41.400 --> 00:00:43.080]  他將這種素質
[00:00:43.080 --> 00:00:46.160]  也希望菲律賓的信徒學習這個素質
[00:00:46.160 --> 00:00:49.000]  這個素質是耶穌基督散發的素質
[00:00:49.000 --> 00:00:51.200]  是一個能夠勝過患難
[00:00:51.200 --> 00:00:53.040]  勝過環境的素質
[00:00:53.040 --> 00:00:55.040]  基督神給我們一個追求
[00:00:55.040 --> 00:00:56.240]  一個恩典
[00:00:56.240 --> 00:00:58.960]  就是勝過環境的基督
[00:00:58.960 --> 00:01:00.960]  多少挑戰我都不懼怕
[00:01:00.960 --> 00:01:02.320]  因為有神的恩典
[00:01:02.320 --> 00:01:04.240]  在環境逆境的時候
[00:01:04.240 --> 00:01:06.320]  都可以散發基督的香氣
[00:01:06.320 --> 00:01:07.800]  成為別人的祝福
[00:01:07.800 --> 00:01:10.280]  他希望菲律賓教會學習這個道理
[00:01:10.280 --> 00:01:10.960]  第二
[00:01:10.960 --> 00:01:13.320]  因為他愛這個菲律賓教會
[00:01:13.320 --> 00:01:15.960]  很緊張這個教會是不是同心
[00:01:15.960 --> 00:01:18.320]  因為對很多歷代教會來說
[00:01:18.320 --> 00:01:21.520]  其中一個大題目就是分裂、紛爭
[00:01:21.520 --> 00:01:23.040]  他愛這個教會
[00:01:23.040 --> 00:01:26.440]  希望他繼續同心合意、興旺復仁
[00:01:26.440 --> 00:01:30.120]  同樣提醒你一個關公撥貿世代裡面
[00:01:30.120 --> 00:01:33.160]  我們是不是一個只重視美善
[00:01:33.160 --> 00:01:35.840]  重視彼此相愛的群體呢?
[00:01:35.840 --> 00:01:37.120]  我們看今天經文
[00:01:37.120 --> 00:01:40.040]  菲律賓書第一章第一到十一節
[00:01:40.040 --> 00:01:42.040]  我讀第一到第六節
[00:01:42.040 --> 00:01:44.040]  等於節目讀七到十一節
[00:01:44.040 --> 00:01:48.000]  基督耶穌的僕人保羅和提摩泰
[00:01:48.000 --> 00:01:50.200]  寫信給凡住菲律賓
[00:01:50.200 --> 00:01:52.600]  在基督耶穌裡的眾聖徒
[00:01:52.600 --> 00:01:55.720]  和諸位監督、諸位執事
[00:01:55.720 --> 00:01:58.440]  願因為平安從神我們的父
[00:01:58.440 --> 00:02:00.560]  並主耶穌基督歸於你們
[00:02:00.560 --> 00:02:02.160]  我每逢想念你們
[00:02:02.160 --> 00:02:04.040]  就感謝我的神
[00:02:04.040 --> 00:02:06.600]  每逢為你們眾人祈求的時候
[00:02:06.600 --> 00:02:08.880]  總是歡歡喜喜地祈求
[00:02:08.880 --> 00:02:11.560]  因為從頭一天直到今天如今
[00:02:11.560 --> 00:02:14.400]  你們是同心合意地興旺復仁
[00:02:14.400 --> 00:02:17.480]  我深信那在你們心裡動了善功的
[00:02:17.480 --> 00:02:19.080]  必成全者功
[00:02:19.080 --> 00:02:21.440]  直到耶穌基督的日子
[00:02:22.600 --> 00:02:23.600]  我愛你們
[00:02:23.600 --> 00:02:25.600]  我感謝各位的基督
[00:02:25.600 --> 00:02:27.240]  以基督的名義
[00:02:27.240 --> 00:02:29.600]  在你們生命的過程當中
[00:02:29.600 --> 00:02:32.240]  我會多心多愛的祈求
[00:02:32.240 --> 00:02:35.000]  請你們每天都來祈禱
[00:02:35.000 --> 00:02:37.600]  給我們多一點光陰同快樂
[00:02:37.600 --> 00:02:38.600]  我愛你們
[00:02:38.600 --> 00:02:40.400]  我祈求祢們
[00:02:40.400 --> 00:02:43.000]  請祢們在裡面祈求
[00:02:43.000 --> 00:02:46.200]  給我們多一點光陰同快樂
[00:02:46.200 --> 00:02:47.800]  我愛你們
[00:02:47.800 --> 00:02:50.960]  我祈求你們每天都來祈求
[00:02:50.960 --> 00:02:53.800]  給我們多一點光陰同快樂
[00:02:53.800 --> 00:02:56.080]  請你們每天都來祈求
[00:02:56.080 --> 00:02:58.200]  給我們多一點光陰同快樂
[00:02:58.200 --> 00:02:59.200]  我愛你們
[00:02:59.200 --> 00:03:01.200]  我祈求你們每天都來祈求
[00:03:01.200 --> 00:03:03.200]  給我們多一點光陰同快樂
[00:03:03.200 --> 00:03:04.200]  我愛你們
[00:03:04.200 --> 00:03:06.200]  我祈求你們每天都來祈求
[00:03:06.200 --> 00:03:08.200]  給我們多一點光陰同快樂
[00:03:21.200 --> 00:03:23.200]  在這裏有一個人在祈求
[00:03:23.200 --> 00:03:26.200]  祂說: 耶穌, 祢要和我到樂園裏面
[00:03:26.200 --> 00:03:28.200]  祢要和我到樂園裏面
[00:03:28.200 --> 00:03:30.200]  祢要和我到樂園裏面
[00:03:30.200 --> 00:03:32.200]  祢要和我到樂園裏面
[00:03:32.200 --> 00:03:34.200]  祢要和我到樂園裏面
[00:03:34.200 --> 00:03:36.200]  祢要和我到樂園裏面
[00:03:36.200 --> 00:03:38.200]  祢要和我到樂園裏面
[00:03:38.200 --> 00:03:40.200]  祢要和我到樂園裏面
[00:03:40.200 --> 00:03:42.200]  祢要和我到樂園裏面
[00:03:42.200 --> 00:03:44.200]  祢要和我到樂園裏面
[00:03:44.200 --> 00:03:46.200]  祢要和我到樂園裏面
[00:03:46.200 --> 00:03:48.200]  祢要和我到樂園裏面
[00:03:48.200 --> 00:03:50.200]  祢要和我到樂園裏面
[00:03:50.200 --> 00:03:52.200]  祢要和我到樂園裏面
[00:03:52.200 --> 00:03:54.200]  祢要和我到樂園裏面
[00:03:54.200 --> 00:03:56.200]  祢要和我到樂園裏面
[00:03:56.200 --> 00:03:58.200]  祢要和我到樂園裏面
[00:03:58.200 --> 00:04:00.200]  祢要和我到樂園裏面
[00:04:00.200 --> 00:04:02.200]  祢要和我到樂園裏面
[00:04:02.200 --> 00:04:04.200]  祢要和我到樂園裏面
[00:04:04.200 --> 00:04:06.200]  祢要和我到樂園裏面
[00:04:06.200 --> 00:04:08.200]  祢要和我到樂園裏面
[00:04:08.200 --> 00:04:10.200]  祢要和我到樂園裏面
