
[00:00:00.000 --> 00:00:02.000]  在與大家分享上禮之前
[00:00:02.000 --> 00:00:04.000]  我們一起低頭祈禱
[00:00:04.000 --> 00:00:07.000]  讓我口中的言語
[00:00:07.000 --> 00:00:09.000]  眾弟兄姊妹的心思意念
[00:00:09.000 --> 00:00:11.000]  都同夢你的月亮
[00:00:11.000 --> 00:00:13.000]  祈禱奉主耶穌基督的名球
[00:00:13.000 --> 00:00:15.000]  阿們
[00:00:15.000 --> 00:00:18.000]  今天是父親節
[00:00:18.000 --> 00:00:21.000]  首先在此祝各位父親
[00:00:21.000 --> 00:00:23.000]  各位爸爸快樂
[00:00:23.000 --> 00:00:25.000]  並且不只今天
[00:00:25.000 --> 00:00:27.000]  希望你們天天都感到滿足
[00:00:27.000 --> 00:00:29.000]  我曾經聽過一位父親說
[00:00:29.000 --> 00:00:31.000]  日間無論在外面
[00:00:31.000 --> 00:00:33.000]  做得多忙多辛苦
[00:00:33.000 --> 00:00:35.000]  但當他回家
[00:00:35.000 --> 00:00:37.000]  見到自己的子女
[00:00:37.000 --> 00:00:39.000]  睡得很安詳
[00:00:39.000 --> 00:00:41.000]  他就覺得
[00:00:41.000 --> 00:00:43.000]  無論多辛苦都是值得的
[00:00:43.000 --> 00:00:45.000]  文建聯最近
[00:00:45.000 --> 00:00:47.000]  有一個調查
[00:00:47.000 --> 00:00:49.000]  調查受訪的八成受訪者
[00:00:49.000 --> 00:00:51.000]  認為
[00:00:51.000 --> 00:00:53.000]  什麼叫做好爸爸呢
[00:00:53.000 --> 00:00:55.000]  原來好爸爸在這八成受訪者
[00:00:55.000 --> 00:00:57.000]  心目中就說
[00:00:57.000 --> 00:01:01.000]  自己為家庭提供經濟需要
[00:01:01.000 --> 00:01:03.000]  就是好爸爸
[00:01:03.000 --> 00:01:05.000]  六成受訪者
[00:01:05.000 --> 00:01:07.000]  說自己遇到困難時
[00:01:07.000 --> 00:01:11.000]  就不會找爸爸談判
[00:01:11.000 --> 00:01:13.000]  文建聯的解釋是
[00:01:13.000 --> 00:01:15.000]  可能我們爸爸
[00:01:15.000 --> 00:01:17.000]  很少跟子女
[00:01:17.000 --> 00:01:19.000]  做一些情感溝通
[00:01:19.000 --> 00:01:21.000]  看完這個報道後
[00:01:21.000 --> 00:01:23.000]  我覺得是對的
[00:01:23.000 --> 00:01:25.000]  還是不對的
[00:01:25.000 --> 00:01:27.000]  為什麼呢
[00:01:27.000 --> 00:01:29.000]  其實有些背景
[00:01:29.000 --> 00:01:31.000]  我們的爸爸的爸爸
[00:01:31.000 --> 00:01:33.000]  也是我們的爺爺
[00:01:33.000 --> 00:01:35.000]  那時應該是戰亂的時刻
[00:01:35.000 --> 00:01:37.000]  很多都是
[00:01:37.000 --> 00:01:39.000]  爸爸可能很早就去世
[00:01:39.000 --> 00:01:41.000]  我們的父親可能
[00:01:41.000 --> 00:01:43.000]  都沒有經歷
[00:01:43.000 --> 00:01:45.000]  爸爸的
[00:01:45.000 --> 00:01:47.000]  同在
[00:01:47.000 --> 00:01:49.000]  爸爸愛的滋潤
[00:01:49.000 --> 00:01:51.000]  既然一代傳一代
[00:01:51.000 --> 00:01:53.000]  加上我們五六十年代
[00:01:53.000 --> 00:01:55.000]  上一代都是胃口不齒
[00:01:55.000 --> 00:01:57.000]  吃苦吃難
[00:01:57.000 --> 00:02:01.000]  如果能為家庭提供穩定的經濟需要
[00:02:01.000 --> 00:02:03.000]  已經是一個好爸爸
[00:02:03.000 --> 00:02:05.000]  和好妻子
[00:02:05.000 --> 00:02:07.000]  有位男士跟我說
[00:02:07.000 --> 00:02:09.000]  心目中經常有句說話
[00:02:09.000 --> 00:02:11.000]  在鞭策著他
[00:02:11.000 --> 00:02:13.000]  這句說話是
[00:02:13.000 --> 00:02:17.000]  千萬不要餓死老婆溫醋屋
[00:02:17.000 --> 00:02:19.000]  這句說話是他的動力來源
[00:02:19.000 --> 00:02:21.000]  不過也是壓力
