
[00:00:00.000 --> 00:00:02.740]  讓我們先一起同心去禱告
[00:00:02.740 --> 00:00:06.880]  創天造地的阿巴庫
[00:00:06.880 --> 00:00:08.220]  我們感謝你
[00:00:08.220 --> 00:00:09.540]  在今個晚上
[00:00:09.540 --> 00:00:13.900]  讓我們整個信仰群體一起回來
[00:00:13.900 --> 00:00:15.100]  可以去敬拜
[00:00:15.100 --> 00:00:16.460]  可以去服侍你
[00:00:16.460 --> 00:00:17.840]  我們求主你
[00:00:17.840 --> 00:00:21.040]  在今晚不單止給我們一個清醒的頭腦
[00:00:21.040 --> 00:00:24.520]  也求主你的靈打開我們的心
[00:00:24.520 --> 00:00:28.100]  讓你的道能夠紮根在我們的生命當中
[00:00:28.100 --> 00:00:29.720]  使我們的行事為人
[00:00:29.720 --> 00:00:31.820]  都對得起主你
[00:00:31.820 --> 00:00:34.900]  也讓我們在日常生活之中
[00:00:34.900 --> 00:00:40.620]  都可以活出我們所相信的價值和信念
[00:00:40.620 --> 00:00:42.140]  求主保守
[00:00:42.140 --> 00:00:43.280]  奉主命靠
[00:00:43.280 --> 00:00:44.560]  下門
[00:00:44.560 --> 00:00:49.580]  當我們去看《創世紀》第四章的時候
[00:00:49.580 --> 00:00:52.460]  我不知道通常你會想起什麼
[00:00:52.460 --> 00:00:54.300]  我聽很多朋友說
[00:00:54.300 --> 00:00:57.720]  他們一看這一章的經文
[00:00:57.720 --> 00:01:02.900]  他們就會想起世界上第一宗謀殺事件
[00:01:02.900 --> 00:01:08.080]  又或者是一個關於骨肉相殘的故事
[00:01:08.080 --> 00:01:12.060]  當中故事的主角就是戈人和阿巴
[00:01:12.060 --> 00:01:14.560]  我想這種過去的記憶
[00:01:14.560 --> 00:01:16.860]  很多時候都會讓我們
[00:01:16.860 --> 00:01:21.120]  很快將目光放在故事
[00:01:21.120 --> 00:01:26.620]  或者謀殺案裡面的情節和內容上面
[00:01:26.620 --> 00:01:30.300]  就好像平日我們有時會看新聞報道
[00:01:30.300 --> 00:01:34.100]  我們看到一些家庭倫常慘案的時候
[00:01:34.100 --> 00:01:38.760]  我們只會落入了那種很恐怖
[00:01:38.760 --> 00:01:44.460]  和覺得很可惜的情緒狀態
[00:01:44.460 --> 00:01:48.560]  反而經文第十七至到第二十六節裡面
[00:01:48.560 --> 00:01:52.700]  所記載的全人類第一個的家譜
[00:01:52.700 --> 00:01:56.400]  似乎相對於謀殺案的劇情
[00:01:56.400 --> 00:01:59.700]  似乎很乏味和很沉悶
[00:01:59.700 --> 00:02:03.240]  甚至有些人會覺得困擾的是
