
[00:00:00.000 --> 00:00:04.000]  我們一起先仰望主的帶領和同在
[00:00:04.000 --> 00:00:06.600]  我們禱告在祂面前等候
[00:00:06.600 --> 00:00:09.000]  主耶穌基督
[00:00:09.000 --> 00:00:11.500]  多謝祢賜下祢的話語
[00:00:11.500 --> 00:00:14.000]  讓我們在世界行走的時間
[00:00:14.000 --> 00:00:19.000]  我們可以有腳前的燈路上的光
[00:00:19.000 --> 00:00:23.500]  求祢的光就是這樣照亮我們黑暗的心靈
[00:00:23.500 --> 00:00:26.000]  也真是帶領我們前路
[00:00:26.000 --> 00:00:31.000]  讓我們見到主祢是那位與我們同行同在的主
[00:00:31.000 --> 00:00:34.000]  祢親自對我們說話
[00:00:34.000 --> 00:00:38.000]  也幫助你沒用的僕人
[00:00:38.000 --> 00:00:40.000]  將祢的話語傳講得清楚
[00:00:40.000 --> 00:00:43.000]  祈禱奉基督耶穌的聖名
[00:00:43.000 --> 00:00:49.000]  首先一來的時間
[00:00:49.000 --> 00:00:55.000]  帶大家時空轉移去到清朝
[00:00:55.000 --> 00:01:01.000]  也幫助大家變一變你的看事物的角度
[00:01:01.000 --> 00:01:02.000]  特別是弟兄
[00:01:02.000 --> 00:01:04.000]  我們當中有些弟兄
[00:01:04.000 --> 00:01:06.000]  不過我請你們用姐妹的心態
[00:01:06.000 --> 00:01:10.000]  用女性的心態去想一想以下的事
[00:01:10.000 --> 00:01:15.000]  如果你是生活在大清的帝國
[00:01:15.000 --> 00:01:18.000]  現在清朝還沒有覆亡的時間
[00:01:18.000 --> 00:01:21.000]  你作為一個女性
[00:01:21.000 --> 00:01:24.000]  你的生活是會怎樣的呢
[00:01:24.000 --> 00:01:25.000]  我猜第一件事
[00:01:25.000 --> 00:01:28.000]  你小時候會有人跟你說
[00:01:28.000 --> 00:01:30.000]  女兒,很漂亮的
[00:01:30.000 --> 00:01:32.000]  什麼很漂亮
[00:01:32.000 --> 00:01:36.000]  將你的腳紮到三吋那麼大
[00:01:36.000 --> 00:01:38.000]  各位弟兄姐妹
[00:01:38.000 --> 00:01:39.000]  漂亮嗎
[00:01:39.000 --> 00:01:41.000]  我覺得很醜
[00:01:41.000 --> 00:01:43.000]  但是在那個年代
[00:01:43.000 --> 00:01:46.000]  他們認為非常漂亮
[00:01:46.000 --> 00:01:51.000]  那時候就是這樣哄小女孩
[00:01:51.000 --> 00:01:54.000]  你看那隻腳的X光片
[00:01:54.000 --> 00:01:57.000]  將她的腳咬成這樣
[00:01:57.000 --> 00:01:59.000]  我真的見過這隻腳
[00:01:59.000 --> 00:02:01.000]  因為我的曾外祖母
[00:02:01.000 --> 00:02:03.000]  是乾隆皇的人
[00:02:03.000 --> 00:02:05.000]  時代的出世
[00:02:05.000 --> 00:02:07.000]  我真的見過她這雙腳
[00:02:07.000 --> 00:02:11.000]  我以前還要幫她小時候剪腳甲
[00:02:11.000 --> 00:02:15.000]  所以你知道是多麼痛苦的一件事
[00:02:15.000 --> 00:02:20.000]  而且再想像一下
[00:02:20.000 --> 00:02:22.000]  到你嫁人了
[00:02:22.000 --> 00:02:24.000]  很開心嫁人了
[00:02:24.000 --> 00:02:28.000]  但是你老公叫你紮了腳
[00:02:28.000 --> 00:02:30.000]  不要到處去
[00:02:30.000 --> 00:02:32.000]  留在家裡幹什麼
[00:02:32.000 --> 00:02:33.000]  生小孩
[00:02:33.000 --> 00:02:34.000]  生完怎樣
[00:02:34.000 --> 00:02:36.000]  帶孩子煮飯
[00:02:36.000 --> 00:02:38.000]  他就可以出去
[00:02:38.000 --> 00:02:41.000]  花天酒地
[00:02:41.000 --> 00:02:43.000]  那個年代的男人就是這樣
[00:02:43.000 --> 00:02:44.000]  老婆在家裡
[00:02:44.000 --> 00:02:46.000]  他就出去喝花酒
[00:02:46.000 --> 00:02:48.000]  多開心
[00:02:48.000 --> 00:02:50.000]  接著
[00:02:50.000 --> 00:02:52.000]  老婆一個夠了
[00:02:52.000 --> 00:02:53.000]  不夠
[00:02:53.000 --> 00:02:54.000]  還要怎樣
[00:02:54.000 --> 00:02:57.000]  三妻四妾
[00:02:57.000 --> 00:02:58.000]  你看
[00:02:58.000 --> 00:02:59.000]  這群原來
[00:02:59.000 --> 00:03:01.000]  你不要看他像阿嬸
[00:03:01.000 --> 00:03:02.000]  其實這群
[00:03:02.000 --> 00:03:04.000]  一是皇后
[00:03:04.000 --> 00:03:06.000]  一是妃嬪
[00:03:06.000 --> 00:03:08.000]  皇帝都很開心
[00:03:08.000 --> 00:03:12.000]  老婆是這樣的
[00:03:12.000 --> 00:03:14.000]  三妻四妾
[00:03:14.000 --> 00:03:18.000]  所以這套劇其實是實況劇
[00:03:18.000 --> 00:03:20.000]  貌美如花
[00:03:20.000 --> 00:03:22.000]  個個都是如花
[00:03:22.000 --> 00:03:24.000]  好
[00:03:24.000 --> 00:03:26.000]  你要怎樣
[00:03:26.000 --> 00:03:28.000]  你要三從四德
[00:03:28.000 --> 00:03:30.000]  未嫁就從夫
[00:03:30.000 --> 00:03:32.000]  出嫁就從夫
[00:03:32.000 --> 00:03:34.000]  老來就從子
[00:03:34.000 --> 00:03:37.000]  你沒有你自己的地位
[00:03:37.000 --> 00:03:38.000]  女性
[00:03:38.000 --> 00:03:40.000]  怎可以靠自己
[00:03:40.000 --> 00:03:42.000]  你出去餓死你
[00:03:42.000 --> 00:03:44.000]  你要跟著男人
[00:03:44.000 --> 00:03:46.000]  你才可以生存
[00:03:46.000 --> 00:03:48.000]  你還要有四德
[00:03:48.000 --> 00:03:50.000]  有虎德
[00:03:50.000 --> 00:03:52.000]  虎德女子無才
[00:03:52.000 --> 00:03:54.000]  便是四德
[00:03:54.000 --> 00:03:56.000]  所以你不要那麼厲害
[00:03:56.000 --> 00:03:58.000]  你又不要牙尖嘴利
[00:03:58.000 --> 00:04:00.000]  博嘴博舌
[00:04:00.000 --> 00:04:03.000]  丟了你的
[00:04:03.000 --> 00:04:04.000]  接著
[00:04:04.000 --> 00:04:07.000]  樣子就嫁給我之前可以漂亮
[00:04:07.000 --> 00:04:09.000]  嫁了之後就不要那麼漂亮
