
[00:00:00.000 --> 00:00:03.200]  我們來到浩劫重生的第八次最後一次
[00:00:03.200 --> 00:00:06.200]  今次我們仍然是看舊約的先知書
[00:00:06.200 --> 00:00:08.500]  我們看一本書叫做《耶利米書》
[00:00:08.500 --> 00:00:10.700]  這裡記載一個叫做耶利米的人
[00:00:10.700 --> 00:00:12.700]  他做先知的時候的經歷
[00:00:12.700 --> 00:00:15.900]  他的講道 他的侍奉的生涯
[00:00:15.900 --> 00:00:19.900]  耶利米有另外一個綽號叫做淚眼先知
[00:00:19.900 --> 00:00:20.900]  哭泣的先知
[00:00:20.900 --> 00:00:22.400]  weeping prophet
[00:00:22.400 --> 00:00:23.200]  為什麼呢?
[00:00:23.200 --> 00:00:27.100]  因為他是眼見他自己的國民不肯悔改
[00:00:27.100 --> 00:00:28.900]  不肯聽上帝的說話
[00:00:28.900 --> 00:00:31.800]  最後是淪陷亡國的
[00:00:31.800 --> 00:00:33.400]  耶利米身處的時代
[00:00:33.400 --> 00:00:36.200]  就是一個國破家亡的時候
[00:00:36.200 --> 00:00:38.300]  甚至當時整個近東的世界
[00:00:38.300 --> 00:00:39.700]  國際的關係
[00:00:39.700 --> 00:00:43.200]  都處於一個天下大亂的當中
[00:00:43.200 --> 00:00:45.800]  時勢有多艱難我們可以想像
[00:00:45.800 --> 00:00:48.100]  同樣我們今天面對的世界
[00:00:48.100 --> 00:00:50.100]  我們面對很多不安動盪
[00:00:50.100 --> 00:00:53.600]  或者可以從耶利米書得到一些啟迪
[00:00:53.600 --> 00:00:55.100]  耶利米書很長
[00:00:55.100 --> 00:00:57.800]  我們主要可以分成兩大段
[00:00:57.800 --> 00:01:01.300]  第一段就是耶利米對自己的人民的說話
[00:01:01.300 --> 00:01:02.700]  第一至第二十五章
[00:01:02.700 --> 00:01:04.800]  就是他警告他們要他們悔改
[00:01:04.800 --> 00:01:05.600]  如果他們不悔改
[00:01:05.600 --> 00:01:07.700]  上帝的審判就會淪陷
[00:01:07.700 --> 00:01:09.300]  二十六至四十五章
[00:01:09.300 --> 00:01:10.800]  就是講到一些故事
[00:01:10.800 --> 00:01:13.600]  就是耶利米侍奉的時候
[00:01:13.600 --> 00:01:14.600]  猶大的國民
[00:01:14.600 --> 00:01:16.000]  特別是一些君王
[00:01:16.000 --> 00:01:17.300]  不肯聽上帝的說話
[00:01:17.300 --> 00:01:21.400]  最終引致上帝的審判
[00:01:21.400 --> 00:01:24.100]  第二大段就是四十六章開始
[00:01:24.100 --> 00:01:26.900]  耶利米的矛頭
[00:01:26.900 --> 00:01:31.000]  由自己的國民指向周圍的列國
[00:01:31.000 --> 00:01:34.000]  一個一個的城邦列國
[00:01:34.000 --> 00:01:36.300]  來發預言攻擊他們
[00:01:36.300 --> 00:01:38.100]  四十六章第一節
