
[00:00:00.000 --> 00:00:03.260]  主要我們今天一齊來到神的家裏面
[00:00:03.260 --> 00:00:05.120]  特別歡迎今天當中有些新朋友
[00:00:05.120 --> 00:00:06.920]  有些舊朋友來到當中
[00:00:06.920 --> 00:00:08.660]  歡迎你們
[00:00:08.660 --> 00:00:10.720]  我們一齊祈禱
[00:00:10.720 --> 00:00:12.220]  親愛的主 我們去多謝祢
[00:00:12.220 --> 00:00:16.120]  因為祢讓我們可以有祢寶貴的話語
[00:00:16.120 --> 00:00:19.620]  我們需要祢的話語去栽種 梟灌
[00:00:19.620 --> 00:00:21.920]  使我們生命能夠成長
[00:00:21.920 --> 00:00:23.820]  圓主祢讓我們珍惜這個
[00:00:23.820 --> 00:00:25.920]  去聽祢說話的時間
[00:00:25.920 --> 00:00:27.520]  求祢幫助聽我們祈禱
[00:00:27.520 --> 00:00:29.720]  奉耶穌的名字而求
[00:00:29.720 --> 00:00:31.420]  阿們
[00:00:31.420 --> 00:00:34.320]  好 今天和大家分享一個題目
[00:00:34.320 --> 00:00:36.120]  就是好書大發現
[00:00:36.120 --> 00:00:38.520]  就是歷代之下三十四章
[00:00:38.520 --> 00:00:43.620]  十四至二十一節和二十九至三十三節的段落
[00:00:43.620 --> 00:00:45.120]  事實上現在這個時間
[00:00:45.120 --> 00:00:47.320]  無論在香港或者在美國裏面
[00:00:47.320 --> 00:00:49.820]  都是一個對於我們家長來説
[00:00:49.820 --> 00:00:50.920]  很重要的時候
[00:00:50.920 --> 00:00:53.520]  就是暑假
[00:00:53.520 --> 00:00:54.920]  暑假來到
[00:00:54.920 --> 00:00:57.420]  理論上就好像小孩子不用上學
[00:00:57.420 --> 00:00:59.620]  應該是很輕鬆的時間
[00:00:59.620 --> 00:01:00.820]  事實上當你有小孩子
[00:01:00.820 --> 00:01:03.920]  你就知道暑假是最辛苦的時間
[00:01:03.920 --> 00:01:05.320]  因為平時上學
[00:01:05.320 --> 00:01:06.720]  你放下給老師就可以了
[00:01:06.720 --> 00:01:10.520]  你有一天起碼有八個小時自由的空間
[00:01:10.520 --> 00:01:11.320]  但是當你有小孩子
[00:01:11.320 --> 00:01:13.020]  你發現當暑假的時候
[00:01:13.020 --> 00:01:15.720]  你就要為他填滿二十四小時的空間
[00:01:15.720 --> 00:01:17.420]  還要連續兩個月
[00:01:17.420 --> 00:01:18.820]  所以實在不容易
[00:01:18.820 --> 00:01:20.120]  特別來到美國
[00:01:20.120 --> 00:01:22.820]  原來美國的暑假還要長一點
[00:01:22.820 --> 00:01:23.720]  香港一個半月
[00:01:23.720 --> 00:01:25.220]  這裡兩個多月暑假
[00:01:25.220 --> 00:01:26.520]  真是不知道怎麼辦
[00:01:26.520 --> 00:01:27.720]  特別所以想起
[00:01:27.720 --> 00:01:30.320]  每一次想起暑假要為小孩子找節目
[00:01:30.320 --> 00:01:31.920]  是非常煩惱
[00:01:31.920 --> 00:01:32.920]  在香港的時候
[00:01:32.920 --> 00:01:34.120]  我們生活裏面
[00:01:34.120 --> 00:01:35.920]  其中真的要想很多不同的節目
[00:01:35.920 --> 00:01:37.320]  讓他們去參與
[00:01:37.320 --> 00:01:39.620]  其中一個我們每一年的暑假
[00:01:39.620 --> 00:01:42.720]  基本上都會嘗試去參與的活動
[00:01:42.720 --> 00:01:43.820]  就是什麼呢
[00:01:43.820 --> 00:01:45.120]  就是書展
[00:01:45.120 --> 00:01:48.520]  香港每一年都有一幾天的時間都是書展
[00:01:48.520 --> 00:01:49.420]  書展日子裏面
[00:01:49.420 --> 00:01:52.320]  就有很多不同的書商去賣書
[00:01:52.320 --> 00:01:53.920]  因為書又便宜一點
[00:01:53.920 --> 00:01:55.620]  多一點折扣
[00:01:55.620 --> 00:01:58.520]  所以特別我們都會帶小朋友去
[00:01:58.520 --> 00:02:01.420]  每一年我們都會有一些收穫的
[00:02:01.420 --> 00:02:02.120]  那你知不知道
[00:02:02.120 --> 00:02:04.020]  我們家裏通常買什麼書呢
[00:02:04.020 --> 00:02:05.220]  作為香港的家長
[00:02:05.220 --> 00:02:07.920]  一定是買作業
[00:02:07.920 --> 00:02:09.020]  是不是
[00:02:09.020 --> 00:02:11.020]  買作業 買練習 買補充
[00:02:11.020 --> 00:02:13.020]  是我們必須的
[00:02:13.020 --> 00:02:14.720]  真的
[00:02:14.720 --> 00:02:16.520]  總是覺得暑假有什麼做
[00:02:16.520 --> 00:02:18.620]  當然是給他們做作業練習
[00:02:18.620 --> 00:02:19.320]  最好了
[00:02:19.320 --> 00:02:20.820]  有填滿他們的空間
[00:02:20.820 --> 00:02:22.520]  我們的錢又不用浪費
[00:02:22.520 --> 00:02:24.120]  事實上真的是這樣的
[00:02:24.120 --> 00:02:27.220]  因為書是很有幫助的
[00:02:27.220 --> 00:02:29.820]  特別有一句說話
[00:02:29.820 --> 00:02:31.020]  不知道大家知不知道
[00:02:31.020 --> 00:02:32.020]  叫什麼
[00:02:32.020 --> 00:02:33.920]  書中自有什麼
[00:02:33.920 --> 00:02:34.820]  黃禁木
[00:02:34.820 --> 00:02:36.320]  書中自有什麼
[00:02:36.320 --> 00:02:37.020]  顏如玉
[00:02:37.020 --> 00:02:37.620]  是的
[00:02:37.620 --> 00:02:39.420]  這個就不是姓馬的
[00:02:39.420 --> 00:02:40.420]  什麼如玉
[00:02:40.420 --> 00:02:41.820]  這個叫顏如玉
[00:02:41.820 --> 00:02:43.120]  不過這個不是顏如玉的意思
[00:02:43.120 --> 00:02:44.820]  不是個人姓顏
[00:02:44.820 --> 00:02:47.820]  就代表了很美女的意思
[00:02:47.820 --> 00:02:49.120]  事實上真的
[00:02:49.120 --> 00:02:51.220]  這句說話原來大家經常聽
[00:02:51.220 --> 00:02:54.220]  首先這句說話有典故
[00:02:54.220 --> 00:02:57.120]  這個典故其實是來自宋朝的
[00:02:57.120 --> 00:03:00.220]  宋朝第三個皇帝宋真宗
[00:03:00.220 --> 00:03:02.820]  他就寫了一個叫《禮學篇》裡面
[00:03:02.820 --> 00:03:03.820]  是這樣說
[00:03:03.820 --> 00:03:05.520]  我們就試著問問這幾句
[00:03:05.520 --> 00:03:07.520]  就想想讀書有多重要
[00:03:07.520 --> 00:03:08.120]  他說
[00:03:08.120 --> 00:03:10.720]  富家不用買糧田
[00:03:10.720 --> 00:03:12.820]  書中自有千宗書
[00:03:12.820 --> 00:03:13.920]  就是說
[00:03:13.920 --> 00:03:15.120]  你家裡富有
[00:03:15.120 --> 00:03:16.820]  不需要買一塊很美的地
[00:03:16.820 --> 00:03:18.020]  讀多些書
[00:03:18.020 --> 00:03:20.020]  家裡就會令你有很多很多的
[00:03:20.020 --> 00:03:22.420]  縮的一些農作物
[00:03:22.420 --> 00:03:25.020]  他說安居不用隔高堂
[00:03:25.020 --> 00:03:26.720]  就是一個好的家庭
[00:03:26.720 --> 00:03:28.420]  不需要弄得很高的
[00:03:28.420 --> 00:03:30.520]  書中自有黃金屋
[00:03:30.520 --> 00:03:31.420]  你看那些書
[00:03:31.420 --> 00:03:33.520]  裡面有一間黃金造的屋
[00:03:33.520 --> 00:03:35.720]  娶妻莫恨無良媒
[00:03:35.720 --> 00:03:38.920]  不用擔心找不到老婆
[00:03:38.920 --> 00:03:41.920]  在書裡面就找到顏如玉了
[00:03:41.920 --> 00:03:43.720]  出門莫恨無人隨
[00:03:43.720 --> 00:03:44.820]  就是你出門
[00:03:44.820 --> 00:03:48.120]  不要擔心沒有侍從陪伴著你
[00:03:48.120 --> 00:03:51.520]  他說書中居馬多餘族
[00:03:51.520 --> 00:03:54.120]  就是很多很多的居馬車馬
