
[00:00:00.000 --> 00:00:03.000]  今天主題就是活祭
[00:00:03.000 --> 00:00:05.000]  祭這個字
[00:00:05.000 --> 00:00:07.000]  我相信對於我們華人來說
[00:00:07.000 --> 00:00:10.000]  其實一點都不陌生
[00:00:10.000 --> 00:00:12.000]  我記得我小時候
[00:00:12.000 --> 00:00:14.000]  在清明節、重陽節
[00:00:14.000 --> 00:00:17.000]  家人就會拿著叉燒
[00:00:17.000 --> 00:00:21.000]  拿著雞去祭祀祖先
[00:00:21.000 --> 00:00:24.000]  雞和叉燒是祭物
[00:00:24.000 --> 00:00:29.000]  祭物除了是去祭祀祖先之外
[00:00:29.000 --> 00:00:33.000]  當然也可以用來祭祀神
[00:00:33.000 --> 00:00:35.000]  古時中國不同的皇帝
[00:00:35.000 --> 00:00:40.000]  其實就會用祭物去祭天、祭神
[00:00:40.000 --> 00:00:43.000]  《咎約》裡面其實都有些經文
[00:00:43.000 --> 00:00:45.000]  是讓我們看到以色列人
[00:00:45.000 --> 00:00:48.000]  是將祭物獻給耶和華神
[00:00:48.000 --> 00:00:50.000]  在耶穌的時代
[00:00:50.000 --> 00:00:52.000]  羅馬的人民
[00:00:52.000 --> 00:00:55.000]  也都有一個殿叫做萬神殿
[00:00:55.000 --> 00:00:59.000]  就是嘗試去用祭物去祭祀
[00:00:59.000 --> 00:01:01.000]  羅馬龐大國土裡面
[00:01:01.000 --> 00:01:04.000]  各種不同的神明
[00:01:04.000 --> 00:01:06.000]  由此可見
[00:01:06.000 --> 00:01:08.000]  其實祭這個字
[00:01:08.000 --> 00:01:10.000]  彷彿就是一個媒介
[00:01:10.000 --> 00:01:12.000]  讓在地上的人
[00:01:12.000 --> 00:01:14.000]  去和天上的神明
[00:01:14.000 --> 00:01:17.000]  建立一種關係和連結
[00:01:17.000 --> 00:01:21.000]  要是人要和天上的神靈連結的話
[00:01:21.000 --> 00:01:24.000]  卻是沒有預備祭
[00:01:24.000 --> 00:01:28.000]  其實就是輕視了天上的神靈
[00:01:28.000 --> 00:01:30.000]  大兄姊妹
[00:01:30.000 --> 00:01:32.000]  讓我們回想一下
[00:01:32.000 --> 00:01:34.000]  其實我和你的一生
[00:01:34.000 --> 00:01:37.000]  都和很多不同的人去連上關係
[00:01:37.000 --> 00:01:39.000]  出生那一剎那
[00:01:39.000 --> 00:01:42.000]  我們就和父親連上關係
[00:01:42.000 --> 00:01:44.000]  出來工作我們有同事
[00:01:44.000 --> 00:01:46.000]  我們有朋友
[00:01:46.000 --> 00:01:48.000]  然後我們或者有男女朋友
[00:01:48.000 --> 00:01:49.000]  有很多的人
[00:01:49.000 --> 00:01:51.000]  我們的一生就是不同的
[00:01:51.000 --> 00:01:53.000]  去和不同的人連結
[00:01:53.000 --> 00:01:54.000]  如果我們有信仰
[00:01:54.000 --> 00:01:55.000]  我們去問
[00:01:55.000 --> 00:01:58.000]  我們現在相信主耶穌之後
[00:01:58.000 --> 00:02:01.000]  我們應該怎樣去和神連結呢
[00:02:01.000 --> 00:02:03.000]  正正就是今天信息
[00:02:03.000 --> 00:02:06.000]  給我們學習的地方
[00:02:06.000 --> 00:02:08.000]  或者讓我們首先低頭
[00:02:08.000 --> 00:02:10.000]  同心祈禱
[00:02:10.000 --> 00:02:11.000]  親愛的恩主
[00:02:11.000 --> 00:02:14.000]  我們感謝你
[00:02:14.000 --> 00:02:17.000]  因為神你所獻出的
