
[00:00:00.000 --> 00:00:06.020]  青少年是我們常常都掛在口邊的一個題目
[00:00:06.020 --> 00:00:13.360]  在我的年代就會用邊青去描述那些年輕人
[00:00:13.360 --> 00:00:16.480]  當時青年被社會邊緣化
[00:00:16.480 --> 00:00:22.480]  十幾年前又有一些叫做隱青、宅男宅女
[00:00:22.480 --> 00:00:26.680]  經常都說那些年輕人躲在家裡不出門
[00:00:26.680 --> 00:00:32.840]  今時今日就用網上世界的青年人
[00:00:32.840 --> 00:00:34.040]  有很多個身份
[00:00:34.040 --> 00:00:39.040]  有時候他們半夜三更才會回覆你的訊息
[00:00:39.040 --> 00:00:43.880]  還有一個可能網紅YouTuber
[00:00:43.880 --> 00:00:47.080]  大家應該都聽過現在很厲害的
[00:00:47.080 --> 00:00:52.480]  那些小店都要靠網紅去推廣一下
[00:00:52.480 --> 00:00:55.120]  才有人去那些餐廳去吃東西
[00:00:55.120 --> 00:00:59.600]  前幾天看新聞說生意好一點
[00:00:59.600 --> 00:01:01.720]  真的很厲害 他說他都不認識那個人
[00:01:01.720 --> 00:01:06.760]  有些YouTuber我們會形容他們是手機族
[00:01:06.760 --> 00:01:08.920]  或者是斜貢族
[00:01:08.920 --> 00:01:10.880]  不知道大家聽過這個名詞是什麼
[00:01:10.880 --> 00:01:14.000]  斜線 斜貢族
[00:01:14.000 --> 00:01:18.720]  去形容他們究竟是怎樣去定義青少年人的
[00:01:18.720 --> 00:01:22.000]  我用了網上的AI
[00:01:22.000 --> 00:01:23.600]  現在都很喜歡用AI
[00:01:23.600 --> 00:01:25.720]  就去打青少年
[00:01:25.720 --> 00:01:28.240]  出來說青少年通常
[00:01:28.240 --> 00:01:29.200]  快了一點
[00:01:29.200 --> 00:01:33.920]  通常是介於兒童和成年人之間的年輕人
[00:01:33.920 --> 00:01:37.080]  他們的年齡範圍是十二歲到十八歲
[00:01:37.080 --> 00:01:39.040]  是初中到高中
[00:01:39.040 --> 00:01:42.800]  或者已經踏入大專的時間裡面
[00:01:42.800 --> 00:01:48.040]  世界衛生組織定在十歲到十九歲
[00:01:48.040 --> 00:01:51.520]  高小已經是青少年了
[00:01:51.520 --> 00:01:53.480]  我相信很多家長都認同
[00:01:53.480 --> 00:01:56.840]  他們的小朋友到高小的時候
[00:01:56.840 --> 00:01:58.400]  已經很不一樣了
[00:01:58.400 --> 00:01:59.240]  很難搞了
[00:01:59.240 --> 00:02:00.640]  很多意見
[00:02:00.640 --> 00:02:01.960]  真的不容易服侍
[00:02:01.960 --> 00:02:03.680]  可能你們心裡面
[00:02:03.680 --> 00:02:05.960]  我自己就很有感受的
[00:02:05.960 --> 00:02:09.320]  他們可能都會有很多東西
[00:02:09.320 --> 00:02:10.960]  變化 真的不同了
[00:02:10.960 --> 00:02:14.000]  已經踏入了青少年的階段
[00:02:14.000 --> 00:02:15.240]  在香港的法律裡面
[00:02:15.240 --> 00:02:17.840]  就定青年是十五歲以上
