
[00:00:00.000 --> 00:00:02.360]  今天來到整個系列
[00:00:02.360 --> 00:00:08.000]  On Fire For Christ 的最後一個講道
[00:00:08.000 --> 00:00:10.000]  叫做「重新出發」
[00:00:10.000 --> 00:00:12.000]  一講到「重新出發」
[00:00:12.000 --> 00:00:14.000]  我不知道你們在想什麼
[00:00:14.000 --> 00:00:17.000]  必然就是在路途上
[00:00:17.000 --> 00:00:20.000]  有時候會覺得很累
[00:00:20.000 --> 00:00:22.000]  有些起起跌跌
[00:00:22.000 --> 00:00:24.000]  或者有時候停下來
[00:00:24.000 --> 00:00:26.000]  甚至乎有人想
[00:00:26.000 --> 00:00:30.000]  不如不繼續走
[00:00:30.000 --> 00:00:32.000]  剛才在敬拜之前
[00:00:32.000 --> 00:00:35.000]  我們一群敬拜隊
[00:00:35.000 --> 00:00:38.000]  還有負責SV的弟兄姊妹
[00:00:38.000 --> 00:00:41.000]  我們也有一段時間一起祈禱
[00:00:41.000 --> 00:00:43.000]  在祈禱的時間
[00:00:43.000 --> 00:00:45.000]  我就問你們是不是很累
[00:00:45.000 --> 00:00:47.000]  原來大部分在這段時間
[00:00:47.000 --> 00:00:49.000]  可能放了兩天假
[00:00:49.000 --> 00:00:51.000]  有些要照顧孩子
[00:00:51.000 --> 00:00:53.000]  有些因為要上班
[00:00:53.000 --> 00:00:54.000]  剛剛下班
[00:00:54.000 --> 00:00:56.000]  所以大家都很疲累
[00:00:56.000 --> 00:00:58.000]  我不知道這個題目
[00:00:58.000 --> 00:01:01.000]  「重新出發」對你會不會有幫助
[00:01:01.000 --> 00:01:03.000]  提醒
[00:01:03.000 --> 00:01:05.000]  今天很想透過
[00:01:05.000 --> 00:01:10.000]  使徒彼得在約翰福音第21章的一些片段
[00:01:10.000 --> 00:01:12.000]  給我們在這條路上
[00:01:12.000 --> 00:01:14.000]  一個提醒
[00:01:14.000 --> 00:01:16.000]  一個鼓勵
[00:01:16.000 --> 00:01:18.000]  和一個邀請
[00:01:18.000 --> 00:01:20.000]  容若我也很簡單說一下
[00:01:20.000 --> 00:01:23.000]  約翰福音第20、21章大概說什麼
[00:01:23.000 --> 00:01:25.000]  以致我們有一個背景
[00:01:25.000 --> 00:01:27.000]  當我們去看這段經文的時候
[00:01:27.000 --> 00:01:31.000]  我們可以有更多的認識
[00:01:31.000 --> 00:01:33.000]  約翰福音第20章就說
[00:01:33.000 --> 00:01:35.000]  耶穌已經死了
[00:01:35.000 --> 00:01:36.000]  已經復活
[00:01:36.000 --> 00:01:38.000]  在20章開始的時候
[00:01:38.000 --> 00:01:41.000]  說祂對門徒顯現
[00:01:41.000 --> 00:01:44.000]  第一次在一間小屋裡跟門徒顯現
[00:01:44.000 --> 00:01:45.000]  跟著跟他們說
[00:01:45.000 --> 00:01:47.000]  「願你們平安」
[00:01:47.000 --> 00:01:50.000]  跟著交低了一些事之後
[00:01:50.000 --> 00:01:52.000]  聖經沒有說祂突然間消失
[00:01:52.000 --> 00:01:54.000]  突然間開門離開了
[00:01:54.000 --> 00:01:55.000]  沒有說
[00:01:55.000 --> 00:01:57.000]  但是說的片段很短
[00:01:57.000 --> 00:01:59.000]  在十二使徒裡面
[00:01:59.000 --> 00:02:02.000]  有一個多瑪的使徒
[00:02:02.000 --> 00:02:04.000]  他當日第一次顯現的時候
[00:02:04.000 --> 00:02:06.000]  他就不在那間屋裡
[00:02:06.000 --> 00:02:07.000]  門徒就告訴他
[00:02:07.000 --> 00:02:08.000]  耶穌復活了
[00:02:08.000 --> 00:02:09.000]  耶穌向我們顯現了
[00:02:09.000 --> 00:02:10.000]  多瑪的反應是
[00:02:10.000 --> 00:02:12.000]  你記不記得是什麼
[00:02:12.000 --> 00:02:13.000]  不相信
[00:02:13.000 --> 00:02:15.000]  除非我親自見到他
[00:02:15.000 --> 00:02:16.000]  我的手
[00:02:16.000 --> 00:02:18.000]  見到他手上的釘痕
[00:02:18.000 --> 00:02:20.000]  將他的指頭探進去
[00:02:20.000 --> 00:02:21.000]  勒骨勒膀
[00:02:21.000 --> 00:02:22.000]  那我就相信了
[00:02:22.000 --> 00:02:23.000]  結果上帝很好
[00:02:23.000 --> 00:02:24.000]  耶穌很好
[00:02:24.000 --> 00:02:25.000]  耶穌為了他
[00:02:25.000 --> 00:02:27.000]  就有第二次的顯現
[00:02:27.000 --> 00:02:30.000]  過了這兩次這麼短暫
[00:02:30.000 --> 00:02:32.000]  好像耶穌突然間停下來
[00:02:32.000 --> 00:02:33.000]  跟你打招呼
[00:02:33.000 --> 00:02:35.000]  跟著就走了之後
[00:02:35.000 --> 00:02:37.000]  就進入今天的經文
[00:02:37.000 --> 00:02:40.000]  就是約翰福音的第21章
[00:02:40.000 --> 00:02:42.000]  經文的背景
[00:02:42.000 --> 00:02:45.000]  是在加利利的海邊
[00:02:45.000 --> 00:02:47.000]  西門彼得
[00:02:47.000 --> 00:02:49.000]  跟他另外的六個朋友
[00:02:49.000 --> 00:02:50.000]  六個門徒
[00:02:50.000 --> 00:02:53.000]  再一次在加利利海打魚
[00:02:53.000 --> 00:02:55.000]  西門彼得就問他們
[00:02:55.000 --> 00:02:56.000]  我們一起去打魚吧
[00:02:56.000 --> 00:02:57.000]  其他的門徒就說
[00:02:57.000 --> 00:02:59.000]  我們也跟你去吧
[00:02:59.000 --> 00:03:01.000]  總共就有七個門徒
[00:03:01.000 --> 00:03:03.000]  結果打了一天一晚
[00:03:03.000 --> 00:03:06.000]  那一夜沒有打著什麼
[00:03:06.000 --> 00:03:09.000]  去到天亮的時候
[00:03:09.000 --> 00:03:11.000]  耶穌突然站在岸上
[00:03:11.000 --> 00:03:13.000]  門徒不知道那個是耶穌
[00:03:13.000 --> 00:03:14.000]  耶穌就跟他們說
[00:03:14.000 --> 00:03:16.000]  他說孩子們
[00:03:16.000 --> 00:03:18.000]  你們有吃的沒有
[00:03:18.000 --> 00:03:20.000]  他們回答沒有
[00:03:20.000 --> 00:03:22.000]  耶穌於是對他們說
[00:03:22.000 --> 00:03:25.000]  你將網塞在船的右邊
[00:03:25.000 --> 00:03:27.000]  就會有魚了
[00:03:27.000 --> 00:03:29.000]  結果將網塞下去
[00:03:29.000 --> 00:03:30.000]  竟然拉不上
[00:03:30.000 --> 00:03:32.000]  因為魚很多
[00:03:32.000 --> 00:03:33.000]  在當中
[00:03:33.000 --> 00:03:35.000]  其中一個使徒就跟彼得說
[00:03:35.000 --> 00:03:38.000]  岸上那個原來是主
[00:03:38.000 --> 00:03:40.000]  是耶穌
[00:03:40.000 --> 00:03:42.000]  彼得一聽到那個是耶穌
[00:03:42.000 --> 00:03:44.000]  那個是主
[00:03:44.000 --> 00:03:46.000]  就很心急地跳下海
[00:03:46.000 --> 00:03:48.000]  游回上岸
[00:03:48.000 --> 00:03:50.000]  其他的門徒就將船
[00:03:50.000 --> 00:03:53.000]  和魚網拉回上岸的時候
[00:03:53.000 --> 00:03:55.000]  他們就圍著耶穌
[00:03:55.000 --> 00:03:57.000]  在那一刻
