
[00:00:00.000 --> 00:00:04.260]  各位宗子妹 今天是平安夜 明天就是聖誕節
[00:00:04.260 --> 00:00:10.540]  但是我們知道 雖然傳統上面我們定了25號是聖誕節
[00:00:10.540 --> 00:00:14.620]  但是耶穌基督並不是在12月25號出生的
[00:00:14.620 --> 00:00:17.200]  我們大概都有這樣的一個常識
[00:00:17.200 --> 00:00:19.520]  不過呢 我們有這樣的一天
[00:00:19.520 --> 00:00:24.300]  還是方便我們能夠一起來紀念祂的降生
[00:00:24.300 --> 00:00:28.260]  我們也透過思想祂為我們降生
[00:00:28.260 --> 00:00:32.080]  我們更加的明白祂降生在人間
[00:00:32.080 --> 00:00:34.200]  道成佑生的意義是什麼
[00:00:34.200 --> 00:00:39.520]  今天也會繼續跟大家來分享有關耶穌基督降生的信息
[00:00:39.520 --> 00:00:47.580]  有關祂在馬槽裡面降生的一個故事
[00:00:47.580 --> 00:00:50.680]  我給祂定了一個題目叫「夜半歌聲」
[00:00:50.680 --> 00:00:53.760]  為什麼定這個題目呢 待會會跟大家講
[00:00:53.760 --> 00:01:00.420]  我們先讀一下今天的經文在路加福音的二章8到20節
[00:01:00.420 --> 00:01:05.220]  如果你有聖經可以翻到路加福音的二章8到20節
[00:01:05.220 --> 00:01:08.460]  沒有的話你可以看題目
[00:01:08.460 --> 00:01:10.620]  好 我們一起來讀
[00:01:10.620 --> 00:01:14.720]  在伯利恆之野地有牧羊的人
[00:01:14.720 --> 00:01:18.880]  夜間鞍著羹刺看守羊群
[00:01:18.880 --> 00:01:22.560]  有主的使者站在他們旁邊
[00:01:22.560 --> 00:01:25.760]  主的榮光四面照著他們
[00:01:25.760 --> 00:01:28.760]  牧羊的人就甚懼怕
[00:01:28.760 --> 00:01:31.280]  那天使對他們說
[00:01:31.280 --> 00:01:32.620]  不要懼怕
[00:01:32.620 --> 00:01:38.320]  我報給你們大喜的信息是關乎萬靈的
[00:01:38.320 --> 00:01:43.480]  因今天在大衛的城裡為你們生了救主
[00:01:43.480 --> 00:01:45.440]  救世主基督
[00:01:45.440 --> 00:01:49.680]  你們要看見一個嬰孩包著布
[00:01:49.680 --> 00:01:53.840]  撥在馬槽裡那就是記號了
[00:01:53.840 --> 00:01:59.440]  忽然有一大對天兵童那天使讚美神說
[00:01:59.440 --> 00:02:03.120]  在至高之處榮耀歸於神
[00:02:03.120 --> 00:02:07.880]  在地上平安歸於祂所喜悅的人
[00:02:07.880 --> 00:02:10.520]  眾天使離開他們
[00:02:10.520 --> 00:02:12.080]  升天去了
[00:02:12.080 --> 00:02:14.480]  牧羊的人彼此說
[00:02:14.480 --> 00:02:19.080]  我們往伯利恆去看看所成的事
[00:02:19.080 --> 00:02:22.160]  就是主所指示我們的
[00:02:22.160 --> 00:02:27.480]  他們急忙去了就尋見瑪麗亞和約瑟
[00:02:27.480 --> 00:02:31.360]  又有那嬰孩窩在馬槽裡
[00:02:31.360 --> 00:02:38.080]  既然看見就把天使潤著孩子的襪傳開了
[00:02:38.080 --> 00:02:44.520]  凡聽見的就詫異牧羊之人的對他們所說的話
[00:02:44.520 --> 00:02:48.680]  瑪麗亞卻把這一切的事存在心裡
[00:02:48.680 --> 00:02:50.560]  反覆思想
[00:02:50.560 --> 00:02:52.640]  牧羊的人回去了
[00:02:52.640 --> 00:02:56.400]  因所聽見所看見的一切事
[00:02:56.400 --> 00:02:59.520]  正如天使向他們所說的
[00:02:59.520 --> 00:03:03.760]  就歸榮耀與神讚美他
[00:03:03.760 --> 00:03:08.000]  好經文就先讀到這裡
[00:03:08.000 --> 00:03:10.880]  有一首歌就是一首聖誕的詩歌
[00:03:10.880 --> 00:03:13.720]  叫做夜半歌聲
[00:03:13.720 --> 00:03:20.440]  那英文的原曲叫做 It Came Upon The Midnight Clear
[00:03:20.440 --> 00:03:24.160]  這首的詩歌已經差不多有兩百年的歷史了
[00:03:24.160 --> 00:03:27.440]  他是在1849年創作的
[00:03:27.440 --> 00:03:31.360]  那個作者叫做Edmund Sears
[00:03:31.360 --> 00:03:35.280]  這個人他是一個牧師
[00:03:35.280 --> 00:03:44.600]  那他在1849年是第一個美國人作了這首的聖誕詩歌
[00:03:44.600 --> 00:03:49.040]  也就是說在美國出現的聖誕歌這是第一首
[00:03:49.040 --> 00:03:51.880]  他本來是在馬省
[00:03:51.880 --> 00:03:54.120]  在馬省美國的馬省出生的
[00:03:54.120 --> 00:03:58.120]  那這個人他在1837年的時候
[00:03:58.120 --> 00:04:03.840]  他就在馬省的哈佛神學院在那裡就畢業
[00:04:03.840 --> 00:04:06.960]  當時他說很多跟他一起畢業的同學
[00:04:06.960 --> 00:04:10.440]  都希望到大城市裡面去當牧師
[00:04:10.440 --> 00:04:13.520]  但是他就沒有那種的野心
[00:04:13.520 --> 00:04:16.240]  他說我在一個小鄉村裡面
[00:04:16.240 --> 00:04:19.880]  當一個鄉村的小牧者就可以了
[00:04:19.880 --> 00:04:23.400]  所以後來他就一直留在馬省的威廉
[00:04:23.400 --> 00:04:24.960]  在那個地方
[00:04:24.960 --> 00:04:28.880]  在鄉下的小教會裡面做牧會的工作
[00:04:28.880 --> 00:04:32.640]  那他寫了很多的詩
[00:04:32.640 --> 00:04:37.760]  那其中這首的詩歌其實就是他寫的詞而已
[00:04:37.760 --> 00:04:40.320]  他寫了很多這首這些的詞
[00:04:40.320 --> 00:04:43.120]  後來這一年以後就是在1850年
[00:04:43.120 --> 00:04:45.200]  就有另外一個人叫Richard
[00:04:45.200 --> 00:04:48.640]  這個人就編了曲
[00:04:48.640 --> 00:04:52.440]  所以就成了一首非常有名的聖誕的歌曲
[00:04:52.440 --> 00:04:54.520]  叫做《夜半歌聲》
[00:04:54.520 --> 00:04:57.640]  那在中國大陸通常叫做《聖誕夜歌》
[00:04:57.640 --> 00:05:00.000]  如果你有去過在大陸的教會
[00:05:00.000 --> 00:05:02.000]  他們會唱《聖誕夜歌》
[00:05:02.000 --> 00:05:07.000]  那在我們這邊就翻譯成《夜半歌聲》
[00:05:07.000 --> 00:05:11.080]  我今天也是借用他的這首詩歌的歌名
[00:05:11.080 --> 00:05:13.840]  作為我今天的講題
[00:05:13.840 --> 00:05:15.280]  這個《夜半歌聲》
[00:05:15.280 --> 00:05:19.800]  它是關乎一個大喜的信息
[00:05:19.800 --> 00:05:22.240]  一個怎樣的大喜的信息呢
[00:05:22.240 --> 00:05:27.200]  就是由天使向牧羊人他們去報信
[00:05:27.200 --> 00:05:29.840]  這個就是天使來報佳音
[00:05:29.840 --> 00:05:33.400]  我們通常看聖誕的這些的戲劇裡面
[00:05:33.400 --> 00:05:36.280]  都會有這一幕就是天使來報信
[00:05:36.280 --> 00:05:41.000]  有牧羊人他們聽到這個大喜的信息
[00:05:41.000 --> 00:05:45.600]  那在這裡我想通過這段經文來看看
