
[00:00:00.000 --> 00:00:03.000]  夫人姊妹,讓我們在聆聽主導而先
[00:00:03.000 --> 00:00:07.000]  我們一起再次透過禱告求神的靈帶領我們
[00:00:07.000 --> 00:00:16.000]  父神,多謝你給了我們可以打開你的寶貴啟示
[00:00:16.000 --> 00:00:25.000]  讓我們藉著在聖經裡面你用的每一個僕人所寫下的說話
[00:00:26.000 --> 00:00:30.000]  讓我們更明白常處你是怎樣的一位上帝
[00:00:30.000 --> 00:00:36.000]  感謝你特別給其中一個門徒馬太
[00:00:36.000 --> 00:00:40.000]  他是一個很不一樣的背景
[00:00:40.000 --> 00:00:47.000]  但是卻是願意跟隨你的獨生兒子耶穌基督
[00:00:47.000 --> 00:00:50.000]  不單止跟他同行
[00:00:50.000 --> 00:00:55.000]  在這短短三年多的日子裡面一起去侍奉、見證
[00:00:55.000 --> 00:01:00.000]  經歷並且讓他用更多的時間
[00:01:00.000 --> 00:01:06.000]  仔細地將他與主耶穌基督
[00:01:06.000 --> 00:01:10.000]  你獨生兒子同伴的時間所發生的事情
[00:01:10.000 --> 00:01:15.000]  按照信徒的需要將他記錄下來
[00:01:15.000 --> 00:01:17.000]  今天讓我們可以知道
[00:01:17.000 --> 00:01:19.000]  今天可以讓我們明白
[00:01:19.000 --> 00:01:21.000]  我們在慈善上感恩
[00:01:22.000 --> 00:01:25.000]  求主你的幫助
[00:01:25.000 --> 00:01:29.000]  讓今天每一個無論是聽的、說的
[00:01:29.000 --> 00:01:35.000]  都同樣在這段聖經裡面再次蒙住你的造就
[00:01:35.000 --> 00:01:40.000]  讓聖靈帶領我們明白你的心事
[00:01:40.000 --> 00:01:44.000]  禱告奉靠主耶穌基督的聖名自求
[00:01:44.000 --> 00:01:45.000]  阿們
[00:01:47.000 --> 00:01:52.000]  馬太這個人物大家不可不知
[00:01:52.000 --> 00:01:55.000]  他是一個瑞利
[00:01:55.000 --> 00:01:57.000]  可以說是在羅馬當中
[00:01:57.000 --> 00:02:01.000]  是一個政府公務員
[00:02:01.000 --> 00:02:05.000]  但是說到瑞利
[00:02:05.000 --> 00:02:09.000]  其實我自己也有一些體會
[00:02:09.000 --> 00:02:16.000]  因為我自己也做過瑞利的工作
[00:02:17.000 --> 00:02:22.000]  特別是做一個核素師的工作
[00:02:22.000 --> 00:02:28.000]  但是核素這件事最主要是為了什麼而做呢
[00:02:28.000 --> 00:02:30.000]  其實在這個過程當中
[00:02:30.000 --> 00:02:32.000]  我自己有很多的學習
[00:02:32.000 --> 00:02:36.000]  其中一個我自己的經歷就是
[00:02:36.000 --> 00:02:39.000]  原來很多人是造假
[00:02:39.000 --> 00:02:44.000]  核素的功夫其實不是找你麻煩
[00:02:45.000 --> 00:02:47.000]  而是幫助你
[00:02:47.000 --> 00:02:50.000]  知道你的麻煩在哪裡
[00:02:50.000 --> 00:02:54.000]  讓你以後再不會有這些麻煩在你身上發生
[00:02:54.000 --> 00:03:00.000]  所以很多時候我從其他人身上就學習
[00:03:00.000 --> 00:03:03.000]  究竟什麼叫做核素什麼叫做Audit
[00:03:03.000 --> 00:03:07.000]  最直接的就是問問我的上司
[00:03:07.000 --> 00:03:11.000]  因為我的上司每逢我做一個評審之後
[00:03:11.000 --> 00:03:15.000]  做了一些決定都會得到他穩準
[00:03:15.000 --> 00:03:19.000]  才可以去到拍板
[00:03:19.000 --> 00:03:25.000]  然後告知每一個應課稅的人身上
[00:03:25.000 --> 00:03:27.000]  究竟他們怎麼做
[00:03:27.000 --> 00:03:30.000]  在一個傾談裡面
[00:03:30.000 --> 00:03:34.000]  我就曾經學到一件事是很寶貴的
[00:03:34.000 --> 00:03:39.000]  就是很多時候我或者是性格所言
[00:03:40.000 --> 00:03:43.000]  我是一個比較嚴謹的人
[00:03:43.000 --> 00:03:46.000]  所以很多時候看到有很多的問題
[00:03:46.000 --> 00:03:48.000]  我都會把它提出來
[00:03:48.000 --> 00:03:51.000]  然後將那些問題就成為了一些理據
[00:03:51.000 --> 00:03:56.000]  我去否定一些人他們在稅務上面的優待
[00:03:56.000 --> 00:03:59.000]  或者他們走私漏稅的地方
[00:03:59.000 --> 00:04:02.000]  我可以找出來追回他們拿的
[00:04:02.000 --> 00:04:08.000]  但是當我將這些議案提出給我的上司
[00:04:08.000 --> 00:04:12.000]  我上司永遠提醒我一件事
[00:04:12.000 --> 00:04:17.000]  他就說當你去做一個決定
[00:04:17.000 --> 00:04:20.000]  要去追這些人去繳稅
[00:04:20.000 --> 00:04:25.000]  或者是你放鬆讓他們得到稅務優惠的時候
[00:04:25.000 --> 00:04:29.000]  你要明白你做這個決定
[00:04:29.000 --> 00:04:35.000]  究竟是否值得你去做這個決定所帶來的後果呢
[00:04:35.000 --> 00:04:38.000]  他們就用了一個字眼叫做
[00:04:38.000 --> 00:04:41.000]  有沒有實質的影響
[00:04:41.000 --> 00:04:44.000]  英文叫做materialist
[00:04:44.000 --> 00:04:46.000]  究竟不是material
[00:04:46.000 --> 00:04:49.000]  那樣東西是不是那麼重要呢
