
[00:00:00.000 --> 00:00:02.740]  上一次跟大家講了上半講
[00:00:02.740 --> 00:00:05.740]  「靠聖靈成性」
[00:00:05.740 --> 00:00:09.020]  我們主要是從《羅馬書》第八章的經文
[00:00:09.020 --> 00:00:10.420]  來一起學習
[00:00:10.420 --> 00:00:14.320]  以及成為我們追求
[00:00:14.320 --> 00:00:21.420]  「靠聖靈成性」的一切的湖面
[00:00:21.420 --> 00:00:22.520]  我們感謝神
[00:00:22.520 --> 00:00:24.400]  天父賜下救恩
[00:00:24.400 --> 00:00:26.700]  耶穌基督為我們完成
[00:00:26.700 --> 00:00:30.100]  聖靈幫助我們去接受
[00:00:30.100 --> 00:00:33.000]  不單止幫助我們接受神的救恩
[00:00:33.000 --> 00:00:35.600]  叫我們為罪為義為審判
[00:00:35.600 --> 00:00:38.100]  來知罪悔改
[00:00:38.100 --> 00:00:39.400]  接受基督
[00:00:39.400 --> 00:00:42.700]  使我們能夠有一個赦罪的恩典
[00:00:42.700 --> 00:00:43.600]  來領受
[00:00:43.600 --> 00:00:46.400]  和有新的生命來得著
[00:00:46.400 --> 00:00:49.300]  我們更加感謝神
[00:00:49.300 --> 00:00:50.700]  聖靈幫助我們
[00:00:50.700 --> 00:00:53.200]  不單止停在得救的地步
[00:00:53.200 --> 00:00:55.200]  或者甚至是剛剛信主
[00:00:55.200 --> 00:00:57.200]  或者甚至受洗
[00:00:57.200 --> 00:01:00.600]  聖靈幫助我們在信主之後
[00:01:00.600 --> 00:01:01.900]  受洗之後
[00:01:01.900 --> 00:01:07.300]  我們能夠有一個生命的成性
[00:01:07.300 --> 00:01:09.300]  生命的成長
[00:01:09.300 --> 00:01:10.800]  這個就是神的心意
[00:01:10.800 --> 00:01:13.200]  不是叫我們一信耶穌就回天家
[00:01:13.200 --> 00:01:14.500]  是叫我們在地上
[00:01:14.500 --> 00:01:17.500]  繼續透過聖靈
[00:01:17.500 --> 00:01:21.000]  更新我們有了新的生命
[00:01:21.000 --> 00:01:22.300]  以致長大成人
[00:01:22.300 --> 00:01:24.600]  滿有基督長成的新娘
[00:01:24.600 --> 00:01:26.100]  越來越似主耶穌
[00:01:26.100 --> 00:01:28.100]  在地上為祂作見證
[00:01:28.100 --> 00:01:30.600]  這個就是神拯救我們
[00:01:30.600 --> 00:01:32.200]  叫我們成性
[00:01:32.200 --> 00:01:33.700]  越來越似主
[00:01:33.700 --> 00:01:36.100]  越來越能夠代表祂
[00:01:36.100 --> 00:01:39.000]  一種美好的祝福
[00:01:39.000 --> 00:01:40.600]  所以不單止有聖父有聖子
[00:01:40.600 --> 00:01:41.800]  有聖靈保衛師
[00:01:41.800 --> 00:01:43.700]  成為我們的良師益友
[00:01:43.700 --> 00:01:46.100]  成為我們成性的過程中
[00:01:46.100 --> 00:01:48.100]  最大的幫助
[00:01:48.100 --> 00:01:50.000]  當然三方面是配合的
[00:01:50.000 --> 00:01:51.400]  耶穌基督完成的救恩
[00:01:51.400 --> 00:01:53.200]  如果沒有十字架的救恩
[00:01:53.200 --> 00:01:56.000]  我們是沒有辦法成性的
[00:01:56.000 --> 00:01:58.800]  但是聖靈就是透過基督完成的救恩幫助
[00:01:58.800 --> 00:02:00.700]  我們實現出來
[00:02:00.700 --> 00:02:04.100]  上一次我們在上個月
[00:02:04.100 --> 00:02:07.000]  和大家分享到羅馬書
[00:02:07.000 --> 00:02:08.900]  有三章連起來
