
[00:00:00.000 --> 00:00:03.000]  今天我們要分享的題目是活的盼望
[00:00:03.000 --> 00:00:07.000]  記載在彼得前書的一章一至十二節
[00:00:07.000 --> 00:00:11.000]  大家知不知道後日是甚麼日子
[00:00:11.000 --> 00:00:13.000]  很好啊
[00:00:13.000 --> 00:00:16.000]  我們的成年區的粉絲
[00:00:16.000 --> 00:00:21.000]  後日是端午節
[00:00:21.000 --> 00:00:23.000]  我們知道端午節除了是吃粽之外
[00:00:23.000 --> 00:00:27.000]  這個日子都會跟一個人有關
[00:00:27.000 --> 00:00:28.000]  很多人都認識他
[00:00:28.000 --> 00:00:30.000]  例如屈原
[00:00:30.000 --> 00:00:32.000]  一個可能甚至乎不只是跟一個人有關
[00:00:32.000 --> 00:00:36.000]  而是跟一個死亡有關的日子
[00:00:36.000 --> 00:00:37.000]  當然對我們來說
[00:00:37.000 --> 00:00:42.000]  死亡到底是意味著甚麼呢
[00:00:42.000 --> 00:00:43.000]  有人這樣說
[00:00:43.000 --> 00:00:47.000]  他就說死亡是人生最大的絕望
[00:00:47.000 --> 00:00:50.000]  絕望這個字在字典裡面可以說是
[00:00:50.000 --> 00:00:53.000]  完全失去了希望
[00:00:53.000 --> 00:00:54.000]  那是真的
[00:00:54.000 --> 00:00:55.000]  一個人死了之後
[00:00:55.000 --> 00:00:57.000]  他就會失去他所有的一切
[00:00:57.000 --> 00:00:59.000]  他追求的一切
[00:00:59.000 --> 00:01:04.000]  他一切的希望都會因為死亡而消失
[00:01:04.000 --> 00:01:06.000]  今天想跟大家一起很簡單的
[00:01:06.000 --> 00:01:08.000]  來重溫一下一段歷史
[00:01:08.000 --> 00:01:09.000]  就是聖經裡面所說
[00:01:09.000 --> 00:01:12.000]  到底死亡是怎樣來的呢
[00:01:12.000 --> 00:01:13.000]  我們知道
[00:01:13.000 --> 00:01:16.000]  一開始的時候聖經記載人的歷史
[00:01:16.000 --> 00:01:19.000]  從人就是亞當和夏娃
[00:01:19.000 --> 00:01:21.000]  他們當時候被試探
[00:01:21.000 --> 00:01:22.000]  經常跟他說
[00:01:22.000 --> 00:01:25.000]  樹上吃的那個就不一定死
[00:01:25.000 --> 00:01:27.000]  神說你吃的日子必定死
[00:01:27.000 --> 00:01:28.000]  但他說不一定死
[00:01:28.000 --> 00:01:30.000]  結果人就被試探
[00:01:30.000 --> 00:01:35.000]  然後吃了這個死去必死的果子
[00:01:35.000 --> 00:01:36.000]  之後我們知道
[00:01:36.000 --> 00:01:39.000]  死亡就進入了人間
[00:01:39.000 --> 00:01:43.000]  而亞當和夏娃就被趕出了伊甸園
[00:01:43.000 --> 00:01:45.000]  死進入了世界
[00:01:45.000 --> 00:01:49.000]  這個是我們所知的一個死亡的歷史
[00:01:49.000 --> 00:01:50.000]  我們知道
[00:01:50.000 --> 00:01:53.000]  其實死亡裡面你說是很慘
[00:01:53.000 --> 00:01:55.000]  還是很失望呢
[00:01:55.000 --> 00:01:57.000]  其實如果從聖經裡面看
[00:01:57.000 --> 00:01:58.000]  在另類的死亡
[00:01:58.000 --> 00:02:02.000]  更加是一個永遠的絕望
[00:02:02.000 --> 00:02:03.000]  有一個哲學家
[00:02:03.000 --> 00:02:04.000]  他這樣說
[00:02:04.000 --> 00:02:06.000]  他說人最大的絕望
[00:02:06.000 --> 00:02:10.000]  就是在於自我不能連結自我
[00:02:10.000 --> 00:02:11.000]  是不是不明白呢
[00:02:11.000 --> 00:02:12.000]  所以哲學家說的話
[00:02:12.000 --> 00:02:13.000]  就是令你不明白的
[00:02:13.000 --> 00:02:14.000]  簡單來說就是
[00:02:14.000 --> 00:02:16.000]  當你自己都不知道自己是誰
[00:02:16.000 --> 00:02:18.000]  當你自己都不能夠連結
[00:02:18.000 --> 00:02:20.000]  真正的自己的時候
[00:02:20.000 --> 00:02:23.000]  你就人生最大的絕望
[00:02:23.000 --> 00:02:25.000]  我從一個屬靈的角度去看
[00:02:25.000 --> 00:02:26.000]  我覺得就是
