
[00:00:00.000 --> 00:00:04.200]  我用了一百多年的歷史和歷史經驗
[00:00:04.200 --> 00:00:07.400]  來寫文章
[00:00:07.400 --> 00:00:10.500]  我用了一百多年歷史和歷史經驗
[00:00:10.500 --> 00:00:12.300]  來寫文章
[00:00:12.300 --> 00:00:14.000]  我用了一百多年歷史經驗
[00:00:14.000 --> 00:00:15.800]  來寫文章
[00:00:15.800 --> 00:00:17.800]  我用了一百多年歷史經驗
[00:00:17.800 --> 00:00:19.500]  來寫文章
[00:00:19.500 --> 00:00:21.700]  我用了一百多年歷史經驗
[00:00:21.700 --> 00:00:23.200]  來寫文章
[00:00:23.200 --> 00:00:24.500]  我用了一百多年歷史經驗
[00:00:24.500 --> 00:00:25.800]  來寫文章
[00:00:25.800 --> 00:00:29.100]  我用了一百多年歷史經驗
[00:00:29.100 --> 00:00:31.300]  來寫文章
[00:00:31.300 --> 00:00:33.100]  我用了一百多年歷史經驗
[00:00:33.100 --> 00:00:35.100]  來寫文章
[00:00:35.100 --> 00:00:36.600]  我用了一百多年歷史經驗
[00:00:36.600 --> 00:00:38.100]  來寫文章
[00:00:38.100 --> 00:00:40.200]  我用了一百多年歷史經驗
[00:00:40.200 --> 00:00:42.300]  來寫文章
[00:00:42.300 --> 00:00:44.200]  我用了一百多年歷史經驗
[00:00:44.200 --> 00:00:45.400]  來寫文章
[00:00:45.400 --> 00:00:46.600]  我用了一百多年歷史經驗
[00:00:46.600 --> 00:00:48.500]  來寫文章
[00:00:48.500 --> 00:00:49.900]  我用了一百多年歷史經驗
[00:00:49.900 --> 00:00:51.500]  來寫文章
[00:00:51.500 --> 00:00:52.900]  我用了一百多年歷史經驗
[00:00:52.900 --> 00:00:54.600]  來寫文章
[00:00:54.600 --> 00:00:55.900]  我用了一百多年歷史經驗
[00:00:55.900 --> 00:00:57.800]  來寫文章
[00:00:57.800 --> 00:00:59.100]  我用了一百多年歷史經驗
[00:00:59.100 --> 00:01:00.800]  來寫文章
[00:01:00.800 --> 00:01:02.100]  我用了一百多年歷史經驗
[00:01:02.100 --> 00:01:04.200]  來寫文章
[00:01:04.200 --> 00:01:05.400]  我用了一百多年歷史經驗
[00:01:05.400 --> 00:01:07.300]  來寫文章
[00:01:07.300 --> 00:01:09.200]  我用了一百多年歷史經驗
[00:01:09.200 --> 00:01:11.300]  來寫文章
[00:01:11.300 --> 00:01:12.500]  我用了一百多年歷史經驗
[00:01:12.500 --> 00:01:13.800]  來寫文章
[00:01:13.800 --> 00:01:14.700]  我用了一百多年歷史經驗
[00:01:14.700 --> 00:01:16.100]  來寫文章
[00:01:28.100 --> 00:01:29.600]  我用了一百多年歷史經驗
[00:01:29.600 --> 00:01:30.900]  來寫文章
[00:01:30.900 --> 00:01:32.400]  我用了一百多年歷史經驗
[00:01:32.400 --> 00:01:34.100]  來寫文章
[00:01:34.100 --> 00:01:36.000]  我用了一百多年歷史經驗
[00:01:36.000 --> 00:01:38.000]  來寫文章
[00:01:38.000 --> 00:01:39.300]  我用了一百多年歷史經驗
[00:01:39.300 --> 00:01:40.600]  來寫文章
[00:01:40.600 --> 00:01:42.900]  我用了一百多年歷史經驗
[00:01:42.900 --> 00:01:45.200]  來寫文章
[00:01:45.200 --> 00:01:47.100]  我用了一百多年歷史經驗
[00:01:47.100 --> 00:01:49.000]  來寫文章
[00:01:49.000 --> 00:01:51.000]  我用了一百多年歷史經驗
[00:01:51.000 --> 00:01:52.500]  來寫文章
[00:01:52.500 --> 00:01:54.400]  我用了一百多年歷史經驗
[00:01:54.400 --> 00:01:56.600]  來寫文章
[00:01:56.600 --> 00:01:58.600]  我用了一百多年歷史經驗
[00:01:58.600 --> 00:02:00.600]  來寫文章
[00:02:00.600 --> 00:02:02.400]  我用了一百多年歷史經驗
[00:02:02.400 --> 00:02:04.300]  來寫文章
[00:02:04.300 --> 00:02:05.600]  我用了一百多年歷史經驗
[00:02:05.600 --> 00:02:07.300]  來寫文章
[00:02:07.300 --> 00:02:08.800]  我用了一百多年歷史經驗
[00:02:08.800 --> 00:02:10.700]  來寫文章
[00:02:10.700 --> 00:02:12.800]  我用了一百多年歷史經驗
[00:02:12.800 --> 00:02:14.600]  來寫文章
[00:02:14.600 --> 00:02:15.900]  我用了一百多年歷史經驗
[00:02:15.900 --> 00:02:17.500]  來寫文章
[00:02:17.500 --> 00:02:19.500]  我用了一百多年歷史經驗
[00:02:19.500 --> 00:02:21.800]  來寫文章
[00:02:21.800 --> 00:02:24.200]  我用了一百多年歷史經驗
[00:02:24.200 --> 00:02:25.500]  來寫文章
[00:02:25.500 --> 00:02:26.800]  我用了一百多年歷史經驗
[00:02:26.800 --> 00:02:28.600]  來寫文章
[00:02:28.600 --> 00:02:30.200]  我用了一百多年歷史經驗
[00:02:30.200 --> 00:02:32.200]  來寫文章
[00:02:32.200 --> 00:02:33.400]  我用了一百多年歷史經驗
[00:02:33.400 --> 00:02:34.800]  來寫文章
[00:02:34.800 --> 00:02:36.300]  我用了一百多年歷史經驗
[00:02:36.300 --> 00:02:37.800]  來寫文章
[00:02:37.800 --> 00:02:39.200]  我用了一百多年歷史經驗
[00:02:39.200 --> 00:02:41.200]  來寫文章
[00:02:41.200 --> 00:02:42.500]  我用了一百多年歷史經驗
[00:02:42.500 --> 00:02:43.800]  來寫文章
[00:02:43.800 --> 00:02:45.200]  我用了一百多年歷史經驗
[00:02:45.200 --> 00:02:47.000]  來寫文章
[00:02:47.000 --> 00:02:48.800]  我用了一百多年歷史經驗
[00:02:48.800 --> 00:02:50.600]  來寫文章
[00:02:50.600 --> 00:02:53.000]  我用了一百多年歷史經驗
[00:02:53.000 --> 00:02:54.400]  來寫文章
[00:02:54.400 --> 00:02:56.000]  我用了一百多年歷史經驗
[00:02:56.000 --> 00:02:57.600]  來寫文章
[00:02:57.600 --> 00:02:58.700]  我用了一百多年歷史經驗
[00:02:58.700 --> 00:03:00.100]  來寫文章
[00:03:00.100 --> 00:03:01.300]  我用了一百多年歷史經驗
[00:03:01.300 --> 00:03:02.600]  來寫文章
[00:03:02.600 --> 00:03:03.900]  我用了一百多年歷史經驗
[00:03:03.900 --> 00:03:05.200]  來寫文章
[00:03:05.200 --> 00:03:06.500]  我用了一百多年歷史經驗
[00:03:06.500 --> 00:03:07.900]  來寫文章
[00:03:07.900 --> 00:03:09.500]  我用了一百多年歷史經驗
[00:03:09.500 --> 00:03:11.100]  來寫文章
[00:03:11.100 --> 00:03:12.400]  我用了一百多年歷史經驗
[00:03:12.400 --> 00:03:14.500]  來寫文章
[00:03:14.500 --> 00:03:16.200]  我用了一百多年歷史經驗
[00:03:16.200 --> 00:03:17.700]  來寫文章
[00:03:17.700 --> 00:03:19.200]  我用了一百多年歷史經驗
[00:03:19.200 --> 00:03:20.500]  來寫文章
[00:03:20.500 --> 00:03:24.500]  我用了一百多年歷史經驗
[00:03:24.500 --> 00:03:26.100]  來寫文章
[00:03:26.100 --> 00:03:27.400]  我用了一百多年歷史經驗
[00:03:27.400 --> 00:03:29.100]  來寫文章
[00:03:29.100 --> 00:03:30.100]  我用了一百多年歷史經驗
[00:03:30.100 --> 00:03:31.600]  來寫文章
[00:03:31.600 --> 00:03:33.200]  我用了一百多年歷史經驗
[00:03:33.200 --> 00:03:35.600]  來寫文章
[00:03:35.600 --> 00:03:37.600]  我用了一百多年歷史經驗
[00:03:37.600 --> 00:03:39.200]  來寫文章
[00:03:39.200 --> 00:03:41.700]  我用了一百多年歷史經驗
[00:03:41.700 --> 00:03:45.100]  來寫文章
[00:03:45.100 --> 00:03:46.600]  我用了一百多年歷史經驗
[00:03:46.600 --> 00:03:48.100]  來寫文章
[00:03:48.100 --> 00:03:49.800]  我用了一百多年歷史經驗
[00:03:49.800 --> 00:03:51.500]  來寫文章
[00:03:51.500 --> 00:03:53.000]  我用了一百多年歷史經驗
[00:03:53.000 --> 00:03:54.900]  來寫文章
[00:03:54.900 --> 00:03:56.900]  我用了一百多年歷史經驗
[00:03:56.900 --> 00:03:58.800]  來寫文章
[00:03:58.800 --> 00:04:01.100]  我用了一百多年歷史經驗
[00:04:01.100 --> 00:04:02.800]  來寫文章
[00:04:02.800 --> 00:04:05.700]  我用了一百多年歷史經驗
[00:04:05.700 --> 00:04:08.900]  來寫文章
[00:04:08.900 --> 00:04:11.200]  我用了一百多年歷史經驗
[00:04:11.200 --> 00:04:12.900]  來寫文章
[00:04:12.900 --> 00:04:14.300]  我用了一百多年歷史經驗
[00:04:14.300 --> 00:04:16.600]  來寫文章
[00:04:16.600 --> 00:04:18.400]  我用了一百多年歷史經驗
[00:04:18.400 --> 00:04:20.500]  來寫文章
[00:04:20.500 --> 00:04:21.900]  我用了一百多年歷史經驗
[00:04:21.900 --> 00:04:24.000]  來寫文章
[00:04:24.000 --> 00:04:25.600]  我用了一百多年歷史經驗
[00:04:25.600 --> 00:04:26.900]  來寫文章
[00:04:26.900 --> 00:04:28.400]  我用了一百多年歷史經驗
[00:04:28.400 --> 00:04:31.000]  來寫文章
[00:04:31.000 --> 00:04:32.700]  我用了一百多年歷史經驗
[00:04:32.700 --> 00:04:34.100]  來寫文章
[00:04:34.100 --> 00:04:35.200]  我用了一百多年歷史經驗
[00:04:35.200 --> 00:04:36.500]  來寫文章
[00:04:36.500 --> 00:04:39.000]  我用了一百多年歷史經驗
[00:04:39.000 --> 00:04:40.900]  來寫文章
[00:04:40.900 --> 00:04:43.200]  我用了一百多年歷史經驗
[00:04:43.200 --> 00:04:45.000]  來寫文章
[00:04:45.000 --> 00:04:46.400]  我用了一百多年歷史經驗
