
[00:00:00.000 --> 00:00:02.000]  頂尖會主內平安
[00:00:02.000 --> 00:00:07.000]  想在這裏先問第一個問題
[00:00:07.000 --> 00:00:10.000]  如果有一天你要去一個你完全未去過的地方
[00:00:10.000 --> 00:00:11.000]  很不熟悉的地方
[00:00:11.000 --> 00:00:13.000]  你會怎樣預備呢?
[00:00:13.000 --> 00:00:17.000]  在以前可能你會找一本地圖
[00:00:17.000 --> 00:00:18.000]  揭到那一頁
[00:00:18.000 --> 00:00:19.000]  帶過去
[00:00:19.000 --> 00:00:21.000]  去到那個地方一路走
[00:00:21.000 --> 00:00:23.000]  就一路看著那個地圖
[00:00:23.000 --> 00:00:26.000]  但是自從有一個技術之後
[00:00:26.000 --> 00:00:29.000]  這十年其實都不需要用這個地圖
[00:00:29.000 --> 00:00:31.000]  不需要用手拿的地圖
[00:00:31.000 --> 00:00:33.000]  這個技術就是
[00:00:33.000 --> 00:00:58.000]  去到第一頁
[00:00:58.000 --> 00:01:01.000]  這個技術就是GPS
[00:01:01.000 --> 00:01:05.000]  GPS是全球定位系統
[00:01:05.000 --> 00:01:10.000]  是美國國防部研製和維護的衛星導航系統
[00:01:10.000 --> 00:01:15.000]  當中它有98%的覆蓋
[00:01:15.000 --> 00:01:17.000]  有導航和定位的功能
[00:01:17.000 --> 00:01:19.000]  雖然在天氣不好的時候
[00:01:19.000 --> 00:01:21.000]  都不太影響它的功能
[00:01:21.000 --> 00:01:24.000]  我們見到GPS有很多
[00:01:24.000 --> 00:01:27.000]  在不同的方面都有導航的功能
[00:01:29.000 --> 00:01:32.000]  而我們現在日常有機會用到的
[00:01:32.000 --> 00:01:34.000]  就是我們可能是手機或平板電腦
[00:01:34.000 --> 00:01:36.000]  我們都會用的Google Map
[00:01:36.000 --> 00:01:39.000]  當中有些特點就是
[00:01:39.000 --> 00:01:41.000]  有很多國家的地圖
[00:01:41.000 --> 00:01:44.000]  亦都會提供步行或駕駛的距離
[00:01:44.000 --> 00:01:46.000]  有路徑的預覽
[00:01:46.000 --> 00:01:49.000]  以及行程導航的提示
[00:01:49.000 --> 00:01:52.000]  亦都有語音的導航的作用
[00:01:52.000 --> 00:01:54.000]  無論你自己開車
[00:01:54.000 --> 00:01:56.000]  踩單車或步行
[00:01:56.000 --> 00:01:58.000]  都變得更加輕鬆
[00:01:58.000 --> 00:02:00.000]  去哪裏都容易很多
[00:02:00.000 --> 00:02:04.000]  如果你要去一個很繁忙的地方
[00:02:04.000 --> 00:02:06.000]  但你又不是很熟悉那條路
[00:02:06.000 --> 00:02:08.000]  如果你開車的話
[00:02:08.000 --> 00:02:12.000]  可能你會事先在GPS調查路徑
[00:02:12.000 --> 00:02:15.000]  不會去到臨時臨急的時候
[00:02:15.000 --> 00:02:17.000]  才發覺要臨時轉彎
[00:02:17.000 --> 00:02:20.000]  造成駕駛的危險
[00:02:20.000 --> 00:02:22.000]  大家可以想想
[00:02:22.000 --> 00:02:24.000]  如果在我們人生當中
[00:02:24.000 --> 00:02:26.000]  我們有一個屬靈生命的師傅
[00:02:26.000 --> 00:02:29.000]  好像GPS那樣去導航幫助我們
[00:02:29.000 --> 00:02:32.000]  不單止提供適時的指引
[00:02:32.000 --> 00:02:36.000]  更加在未發生任何危險的情況的時候
[00:02:36.000 --> 00:02:39.000]  對我們作出鼓勵和提醒
[00:02:39.000 --> 00:02:43.000]  以致我們能夠走在正確的人生道路當中
[00:02:43.000 --> 00:02:45.000]  那就非常好了
[00:02:45.000 --> 00:02:48.000]  今天我們會嘗試用提摩泰後書
[00:02:48.000 --> 00:02:50.000]  跟大家來看看
[00:02:50.000 --> 00:02:54.000]  保羅如何成為提摩泰的屬靈GPS
[00:02:54.000 --> 00:02:57.000]  為他屬靈的生命導航
[00:02:57.000 --> 00:02:59.000]  從中我們也來看看
[00:02:59.000 --> 00:03:02.000]  我們如何能夠成為別人的屬靈GPS
[00:03:02.000 --> 00:03:04.000]  在我們聽到這些之前
[00:03:04.000 --> 00:03:06.000]  我們先來低頭祈禱
[00:03:06.000 --> 00:03:11.000]  親愛的主,我們感謝祢
[00:03:11.000 --> 00:03:13.000]  我們感謝祢在黃雨當中
[00:03:13.000 --> 00:03:17.000]  也讓我們能夠平安來到祢的殿當中
[00:03:17.000 --> 00:03:20.000]  一起來敬拜聆聽上帝的話語
[00:03:20.000 --> 00:03:22.000]  求聖靈幫助我們
[00:03:22.000 --> 00:03:24.000]  按照我們屬靈的光景
[00:03:24.000 --> 00:03:27.000]  安慰、鼓勵、提醒、教導我們
[00:03:27.000 --> 00:03:29.000]  成為屬靈的GPS
[00:03:29.000 --> 00:03:31.000]  將人帶到祢的庚前
[00:03:31.000 --> 00:03:32.000]  我們感恩祈禱
[00:03:32.000 --> 00:03:34.000]  奉耶穌基督明求,阿們
[00:03:34.000 --> 00:03:37.000]  在我們看今天的經文之前
[00:03:37.000 --> 00:03:41.000]  我們先來看看提摩泰後書的背景
[00:03:41.000 --> 00:03:45.000]  當時是公元66、67年成書
[00:03:45.000 --> 00:03:48.000]  保羅寫這封書信的情況
[00:03:48.000 --> 00:03:51.000]  其實是他在監獄裡
