
[00:00:00.000 --> 00:00:04.620]  這個世界每一天都有很多事發生
[00:00:04.620 --> 00:00:08.640]  有些事表面看似平凡
[00:00:08.640 --> 00:00:14.860]  但實際卻蘊藏一些玄機和驚喜
[00:00:14.860 --> 00:00:19.600]  大家記不記得香港以前有很多招牌
[00:00:19.600 --> 00:00:21.000]  五顏六色
[00:00:21.000 --> 00:00:23.780]  好像告訴你這裡有一間酒樓
[00:00:23.780 --> 00:00:25.320]  那裡有一間當舖
[00:00:25.320 --> 00:00:30.120]  但是其實背後另有乾坤
[00:00:30.120 --> 00:00:36.880]  以前香港的住宅大廈密密麻麻
[00:00:36.880 --> 00:00:39.040]  道路彎彎曲曲
[00:00:39.040 --> 00:00:45.640]  司機和行人如何在遠處已經知道他們要去的目的地呢
[00:00:45.640 --> 00:00:48.340]  就是這些凸出來
[00:00:48.340 --> 00:00:51.400]  一個比一個搶眼的招牌
[00:00:51.400 --> 00:00:53.080]  當我見到全將軍
[00:00:53.080 --> 00:00:57.020]  就知道車轉彎就是我舅父住的地方
[00:00:57.020 --> 00:01:01.560]  當我見到落星牌的招牌就知道快要落車了
[00:01:01.560 --> 00:01:02.600]  預先見到
[00:01:02.600 --> 00:01:04.480]  所以這些不單只是招牌
[00:01:04.480 --> 00:01:06.240]  並且是路標
[00:01:06.240 --> 00:01:07.720]  更加厲害的是什麼呢
[00:01:07.720 --> 00:01:11.000]  做這些招牌的師傅全部都讀過設計
[00:01:11.000 --> 00:01:13.880]  他只是憑直覺、技能、操練
[00:01:13.880 --> 00:01:20.400]  就在街上弄到一個又一個超級傑作的藝術品
[00:01:20.400 --> 00:01:21.920]  表面平凡的東西
[00:01:21.920 --> 00:01:25.960]  背後是另有玄機和驚喜
[00:01:25.960 --> 00:01:30.520]  大家又記不記得茶餐廳的粗聲粗氣
[00:01:30.520 --> 00:01:32.520]  你去茶餐廳一坐下
[00:01:32.520 --> 00:01:33.920]  那個惡伙計就說
[00:01:33.920 --> 00:01:35.640]  要什麼呀
[00:01:35.640 --> 00:01:39.120]  壓著個煙在耳朵那裡
[00:01:39.120 --> 00:01:44.320]  或者你在茶餐廳叫洋蔥豬扒飯
[00:01:44.320 --> 00:01:47.640]  當那個伙計拿飯出來的時候
[00:01:47.640 --> 00:01:48.440]  就大聲喊
[00:01:48.440 --> 00:01:50.240]  誰是豬扒呀
[00:01:50.240 --> 00:01:52.240]  又誰敢承認
[00:01:52.240 --> 00:01:54.240]  或者拿著杯奶茶
[00:01:54.240 --> 00:01:56.040]  啪一聲震在你那裡
[00:01:56.040 --> 00:01:57.160]  好像很兇
[00:01:57.160 --> 00:01:58.200]  好像很兇惡
[00:01:58.200 --> 00:01:59.520]  好像很粗魯
[00:01:59.520 --> 00:02:02.880]  其實背後又另有乾坤
[00:02:02.880 --> 00:02:03.960]  原來呢
[00:02:03.960 --> 00:02:12.040]  這個是香港操練了幾十年所練成的快速文化
[00:02:12.040 --> 00:02:14.440]  茶餐廳在下午的時候
[00:02:14.440 --> 00:02:17.040]  如果大家去吃午餐就知道好像打仗一樣
[00:02:17.040 --> 00:02:21.640]  他怎樣在那個伙計用最快最直接的方式
[00:02:21.640 --> 00:02:25.120]  make sure你在15分鐘之內吃完一碟熱飯
[00:02:25.120 --> 00:02:28.480]  然後你上班的時候不再遲到呢
[00:02:28.480 --> 00:02:29.720]  就是這樣了
[00:02:29.720 --> 00:02:31.520]  他將飯放在你那裡
[00:02:31.520 --> 00:02:33.840]  就要make sure你盡快吃完
[00:02:33.840 --> 00:02:37.640]  他將杯奶茶放在你的前面
[00:02:37.640 --> 00:02:38.960]  啪一聲放在那裡
[00:02:38.960 --> 00:02:41.680]  力度角度剛剛好
[00:02:41.680 --> 00:02:43.680]  杯奶茶是不捨的
[00:02:43.680 --> 00:02:45.360]  又要剛好放在你旁邊
[00:02:45.360 --> 00:02:48.280]  一點力都沒有浪費
[00:02:48.280 --> 00:02:50.960]  但是最奇妙的是什麼呢
[00:02:50.960 --> 00:02:55.440]  原來那個惡伙計是靜靜留意你的
[00:02:55.440 --> 00:02:56.760]  這個是我的親身經歷
[00:02:56.760 --> 00:02:57.760]  我住在北角
[00:02:57.760 --> 00:02:59.640]  北角有很多茶餐廳
[00:02:59.640 --> 00:03:00.800]  我那次在樓下
[00:03:00.800 --> 00:03:02.400]  一坐下還沒開口
[00:03:02.400 --> 00:03:04.560]  那個惡伙計就說
[00:03:04.560 --> 00:03:05.840]  時菜肉片飯
[00:03:05.840 --> 00:03:08.440]  冬奶茶酒甜
[00:03:08.440 --> 00:03:10.240]  我說是喔
[00:03:10.240 --> 00:03:13.640]  原來這些粗聲粗氣的背後
[00:03:13.640 --> 00:03:16.000]  都是帶有溫情的
[00:03:16.000 --> 00:03:19.720]  有很多事表面上好像很平凡
[00:03:19.720 --> 00:03:23.200]  但是背後卻有玄機和驚喜
[00:03:23.200 --> 00:03:23.960]  同樣
[00:03:23.960 --> 00:03:27.240]  今天我們所說的士司記兩章的聖經
[00:03:27.240 --> 00:03:30.360]  士司記的第四章和第五章
[00:03:30.360 --> 00:03:33.400]  如果你單單看士司記的第四章
[00:03:33.400 --> 00:03:36.920]  你只是覺得是一場普通的戰爭而已
[00:03:36.920 --> 00:03:39.320]  但是如果你看完第五章
[00:03:39.320 --> 00:03:43.200]  你就知道原來這個好像普通的戰爭
[00:03:43.200 --> 00:03:48.360]  原來幕後有隱藏著玄機和驚喜
[00:03:48.360 --> 00:03:51.640]  等我們看第四章和第五章之前
[00:03:51.640 --> 00:03:54.480]  我們要先看第三章的開頭
[00:03:54.480 --> 00:03:57.680]  原來神在第三章開頭
[00:03:57.680 --> 00:04:01.040]  已經說了祂要藉著這場戰爭
[00:04:01.040 --> 00:04:03.560]  教曉以色列兩個功課
[00:04:03.560 --> 00:04:06.280]  讓我們先讀讀士司記的三章
[00:04:06.280 --> 00:04:07.280]  一至四字
[00:04:07.280 --> 00:04:07.880]  我們一起讀
[00:04:07.880 --> 00:04:09.080]  一二三
[00:04:09.080 --> 00:04:18.400]  耶和華留下這幾族為要試驗那不曾知道與迦南爭戰之時的以色列人
[00:04:18.400 --> 00:04:25.520]  好叫以色列的後代又知道又學習未曾曉得的戰事
[00:04:25.520 --> 00:04:29.560]  留下這幾族為要試驗以色列人
[00:04:29.560 --> 00:04:33.840]  知道他們肯聽從耶和華藉著摩西
[00:04:33.840 --> 00:04:37.800]  吩咐他們列祖的誡命不幸
[00:04:37.800 --> 00:04:40.320]  大家留意到我們剛才讀的聖經
[00:04:40.320 --> 00:04:41.360]  有兩個字
[00:04:41.360 --> 00:04:44.400]  試驗我用紅色表達
[00:04:44.400 --> 00:04:47.280]  有時大家可能有些弟子會說
[00:04:47.280 --> 00:04:49.640]  神無所不知
[00:04:49.640 --> 00:04:50.760]  祂知道一切
[00:04:50.760 --> 00:04:52.680]  還試驗我們來做什麼呢
[00:04:52.680 --> 00:04:53.600]  弟子們
[00:04:53.600 --> 00:04:57.080]  神的試驗不是為祂自己的好處
[00:04:57.080 --> 00:04:58.880]  是為你的好處
