
[00:00:00.000 --> 00:00:03.000]  好,弟兄姊妹平安,我們再一次低頭禱告
[00:00:03.000 --> 00:00:11.000]  天父願你帶領我們,當我們讀起你的說話的時候,主比我們更加明白你的心意
[00:00:11.000 --> 00:00:18.000]  亦都更加明白一個奉獻給你的人,我們應該存著什麼態度行事為人
[00:00:18.000 --> 00:00:24.000]  叫我們凡事都對得起主,蒙你的月立,奉耶穌基督的名其求,阿們
[00:00:26.000 --> 00:00:32.000]  我們繼續看《菲勒比書》第1章第12至第20節,今天我們會一齊思想
[00:00:32.000 --> 00:00:40.000]  上一次都已經說過,菲勒比是一個不算是非常資源豐富的教會
[00:00:40.000 --> 00:00:49.000]  但是菲勒比的教會在保羅的侍功當中,一直都是負擔起一個很積極參與的角色
[00:00:50.000 --> 00:00:57.000]  而正正就是因為菲勒比的信徒,他們可以說和保羅同心
[00:00:57.000 --> 00:01:07.000]  保羅在《菲勒比書》當中就將他的,好像是一個和很親密的朋友,將他的一些心思意念
[00:01:07.000 --> 00:01:14.000]  或者說做了一些心事,都好像赤路躺開的,跟他們去毫無保留的分享
[00:01:15.000 --> 00:01:20.000]  所以讀到《菲勒比書》的時候,你就明白一個服侍基督的人的心腸
[00:01:20.000 --> 00:01:28.000]  剛才我們讀過很多年《聖經》,講到一開始的時候保羅就說
[00:01:28.000 --> 00:01:34.000]  「弟兄們,我願意你們知道,我所遭遇的事便是叫福音興旺」
[00:01:34.000 --> 00:01:40.000]  上一次都講到其實保羅在寫《菲勒比書》的時候,其實他是在坐牢的
[00:01:41.000 --> 00:01:49.000]  大部分的聖經學者都覺得保羅其實是坐了幾次牢的
[00:01:49.000 --> 00:01:59.000]  大部分的人都有一個共識,極有可能保羅是在羅馬坐牢的時候寫的
[00:01:59.000 --> 00:02:03.000]  如果你讀《仕途行傳》,你就知道《仕途行傳》最後的時候
[00:02:03.000 --> 00:02:09.000]  保羅其實是將一些錢送去耶路撒冷的時候,就被人抓了
[00:02:10.000 --> 00:02:15.000]  然後他就在蓋薩利亞坐了幾年牢
[00:02:15.000 --> 00:02:23.000]  但是一直那個巡撫都不肯放他,於是他就要上訴去羅馬那裡
[00:02:23.000 --> 00:02:31.000]  而《仕途行傳》最後就是說他坐船去羅馬那裡,然後去羅馬那裡坐牢
[00:02:31.000 --> 00:02:37.000]  《仕途行傳》都有些特別,就是他沒有寫到結果是怎樣的
[00:02:38.000 --> 00:02:41.000]  當時就是說他坐牢,然後就完了
[00:02:41.000 --> 00:02:47.000]  當然《仕途行傳》有他自己的獨特的編排,他這樣寫是有他的意思的
[00:02:47.000 --> 00:02:56.000]  不是因為說時間夠了就收筆,其實他是想表達福音的訊息
[00:02:56.000 --> 00:02:59.000]  是不會因為一個人坐牢而停在那裡
[00:02:59.000 --> 00:03:07.000]  而相反來說一個人坐了牢的時候,而福音的棒就更加承接給那些讀《仕途行傳》的信徒
[00:03:08.000 --> 00:03:13.000]  那個已經是另外一個題目了,就在這裡沒時間說了
[00:03:13.000 --> 00:03:18.000]  所以在這裡菲律賓書的時候,就是保羅坐牢的時候
[00:03:18.000 --> 00:03:25.000]  當時那種坐牢就是因為他是上訴,他不是一些重犯被人抓去坐牢
[00:03:25.000 --> 00:03:31.000]  而因為他是要上訴拘留,等到他說該殺的法庭
[00:03:32.000 --> 00:03:39.000]  那些羅馬皇帝,如果美國來說就是最高法院這些法庭那裡等宣判
[00:03:39.000 --> 00:03:48.000]  所以他有一定程度的自由,其實我們現在的說話就叫做House Arrest
[00:03:48.000 --> 00:03:58.000]  就是家居拘留令,就派了一些士兵看守著他,他也沒得出街
[00:03:59.000 --> 00:04:03.000]  也有人可以探望他,所以就是一個這樣的情況
