
[00:00:00.000 --> 00:00:04.380]  讓我們在聆聽主的說話裡同心低頭祈禱
[00:00:04.380 --> 00:00:11.400]  父神多謝祢讓我們再次回到祢的啟示當中
[00:00:11.400 --> 00:00:14.200]  去明白祢的心思意念
[00:00:14.200 --> 00:00:17.400]  即將愛之耶穌所成就的救恩
[00:00:17.400 --> 00:00:23.200]  也讓我們有基礎去明白這個救恩的來源
[00:00:23.200 --> 00:00:27.800]  並且讓我們能夠有一個非常穩固
[00:00:27.800 --> 00:00:32.400]  永恆不變的屬靈的生命的基石
[00:00:32.400 --> 00:00:37.600]  好使我們能夠在其中不斷地生根建造
[00:00:37.600 --> 00:00:39.400]  求祢的帶領
[00:00:39.400 --> 00:00:42.600]  讓每一個聽的、說的
[00:00:42.600 --> 00:00:47.200]  都能夠同樣在今天這段訊息當中
[00:00:47.200 --> 00:00:49.400]  能夠好好地拿捏
[00:00:49.400 --> 00:00:54.600]  怎樣去作一個合神心意的神的指紋
[00:00:54.600 --> 00:01:01.400]  活在這個地上能夠真正活出一個有神生命的人
[00:01:01.400 --> 00:01:04.000]  應有的生命力
[00:01:04.000 --> 00:01:05.400]  求祢的帶領
[00:01:05.400 --> 00:01:11.400]  讓每一個虛心學習的人都能夠同蒙主祢的孕服
[00:01:11.400 --> 00:01:15.600]  禱告奉靠主耶穌基督得勝的明智而求
[00:01:15.600 --> 00:01:16.600]  阿們
[00:01:18.600 --> 00:01:26.000]  在公元1587年的時候
[00:01:26.000 --> 00:01:33.000]  在天主教教會其中當時作為教皇的司道五世
[00:01:33.000 --> 00:01:37.400]  Pope Sixtus V
[00:01:37.400 --> 00:01:42.400]  他在天主教的教廷裏面
[00:01:42.400 --> 00:01:48.400]  設立了一個史無前例的職位
[00:01:48.400 --> 00:01:51.200]  這個職位是甚麼呢?
[00:01:51.200 --> 00:01:53.000]  這個職位有個名
[00:01:53.000 --> 00:01:58.000]  拉丁文叫 Avocatus Diaboli
[00:01:58.000 --> 00:02:02.000]  如果正式地讓他去翻譯為英文的話
[00:02:02.000 --> 00:02:05.800]  就叫做 Devil's Advocate
[00:02:05.800 --> 00:02:08.800]  如果中文的翻譯
[00:02:08.800 --> 00:02:12.000]  就應該準確地去描述為
[00:02:12.000 --> 00:02:16.400]  魔鬼的擁護者
[00:02:16.400 --> 00:02:18.800]  當你聽到這裏的時候你一定會說
[00:02:18.800 --> 00:02:19.400]  是不是呢?
[00:02:19.400 --> 00:02:22.800]  我都說天主教是邪教
[00:02:22.800 --> 00:02:28.200]  沒理由一個教皇去設立在一個教廷裏面
[00:02:28.200 --> 00:02:29.200]  或者教會
[00:02:29.200 --> 00:02:33.000]  不過我們應該正式看天主教是一個政治體制
[00:02:33.000 --> 00:02:40.600]  在裏面要設立一個魔鬼的擁護者這個角色
[00:02:40.600 --> 00:02:43.200]  他其實真真正正做些甚麼呢?
[00:02:43.200 --> 00:02:50.000]  如果當大兄姐妹當你帶著一些已經預先前設的思維去看每一件事
[00:02:50.000 --> 00:02:55.200]  其實你這種的思想是很缺乏客觀性的
[00:02:55.200 --> 00:03:03.200]  司道五世他決定要設立這個職位
[00:03:03.200 --> 00:03:05.600]  最主要一個原因
[00:03:05.600 --> 00:03:12.200]  就是要達至促成信仰的純正
[00:03:12.200 --> 00:03:15.800]  你聽下去很矛盾
