
[00:00:00.000 --> 00:00:03.340]  讓我們一起聽神一度以先先同心的禱告
[00:00:03.340 --> 00:00:06.520]  讓我們在聽神的禱語前一起同心奉祂
[00:00:06.520 --> 00:00:08.900]  慈悲的父神多謝祢
[00:00:08.900 --> 00:00:10.660]  讓我們能夠再次回到祢
[00:00:10.660 --> 00:00:13.020]  在祢的說話當中去言論
[00:00:13.020 --> 00:00:16.460]  父神求祢幫助我們
[00:00:16.460 --> 00:00:19.480]  讓我們的心思意念
[00:00:19.480 --> 00:00:23.500]  都能夠在祢的聖靈的誘導當中去明白
[00:00:23.500 --> 00:00:27.080]  並且將我們屬靈的生命
[00:00:27.080 --> 00:00:32.560]  提升到另一個更合主理心意的光明當中
[00:00:32.560 --> 00:00:34.940]  靠祢的幫助
[00:00:34.940 --> 00:00:35.800]  親愛的主
[00:00:35.800 --> 00:00:39.020]  感謝祢給我們今天來到祢的跟前
[00:00:39.020 --> 00:00:44.780]  讓我們再次聆聽父神祢的指示
[00:00:44.780 --> 00:00:48.420]  祢在聖經裏面的作為
[00:00:48.420 --> 00:00:52.920]  我們很求祢帶領我們心思意念
[00:00:52.920 --> 00:00:57.280]  而是今天我們聽過之後
[00:00:57.280 --> 00:01:02.400]  我們的屬靈生命能夠提升到另外一個光景
[00:01:02.400 --> 00:01:09.540]  去更合乎更像祢的樣式的一個基督徒
[00:01:09.540 --> 00:01:10.400]  求祢的帶領
[00:01:10.400 --> 00:01:12.920]  我們禱告 奉主耶穌的名就
[00:01:12.920 --> 00:01:14.920]  Amen
[00:01:14.920 --> 00:01:19.400]  罪所帶來的牽連是非常之廣的
[00:01:19.400 --> 00:01:21.960]  罪帶來的牽連是非常之廣
[00:01:21.960 --> 00:01:26.640]  不單止是不同年紀的人會受到罪的牽連
[00:01:26.640 --> 00:01:30.520]  不單止不同年紀的人會受到罪的牽連
[00:01:30.520 --> 00:01:35.000]  罪甚至影響到我們今天的創造
[00:01:35.000 --> 00:01:38.320]  罪甚至影響到我們今天的創造
[00:01:38.320 --> 00:01:42.440]  因為當我們活在這個世界當中
[00:01:42.440 --> 00:01:47.400]  每一樣東西都以自我為中心的時候開始思想的話
[00:01:47.400 --> 00:01:52.040]  每一樣東西都以自我為中心的時候開始思想的話
[00:01:52.040 --> 00:01:57.640]  我們就很容易活在一個好像神一樣的光景
[00:01:57.640 --> 00:02:00.640]  我們就很容易陷入一個好像神的光景
[00:02:00.640 --> 00:02:03.240]  你說多好啊 牧師 像神
[00:02:03.240 --> 00:02:05.600]  你說多好啊 有像神多好啊
[00:02:05.600 --> 00:02:08.040]  不是啊 其實我們是要好像神
[00:02:08.040 --> 00:02:09.680]  我作主啊
[00:02:09.680 --> 00:02:11.960]  但是問題是我們要好像神說
[00:02:11.960 --> 00:02:14.680]  我拿主意
[00:02:14.680 --> 00:02:20.560]  所以其實罪可以影響到我們很多不同的生活環節
[00:02:20.560 --> 00:02:23.800]  其實罪可以影響到我們不同的生活環節
[00:02:23.800 --> 00:02:26.880]  有時甚至我們可以從周邊的人身上
[00:02:26.880 --> 00:02:29.240]  都看到罪怎樣影響著我們
[00:02:29.240 --> 00:02:33.320]  有時候從我們周邊的人也可以看見罪怎樣影響我們
[00:02:33.320 --> 00:02:35.040]  有時我們基督徒又很虔誠的
[00:02:35.040 --> 00:02:36.600]  我們很聽上帝的說話
[00:02:36.600 --> 00:02:38.520]  聽主耶穌基督的教訓
[00:02:38.520 --> 00:02:41.640]  有時候我們基督徒很虔誠的聽上帝的話
[00:02:41.640 --> 00:02:43.200]  聽主耶穌基督的教訓
[00:02:43.200 --> 00:02:46.880]  曾經在《馬可福音》第十章第十三至十六節裏面說
[00:02:46.880 --> 00:02:50.160]  曾經在《馬可福音》第十章十六節裏面說
