
[00:00:00.000 --> 00:00:02.000]  兄弟姐妹,我們一起來禱告
[00:00:02.000 --> 00:00:04.000]  天父,我們多謝祢
[00:00:04.000 --> 00:00:07.000]  因為祢是創造宇宙萬物的神
[00:00:07.000 --> 00:00:10.000]  祢也是揭示真理的神
[00:00:10.000 --> 00:00:13.000]  我們活在這個世界之上
[00:00:13.000 --> 00:00:17.000]  因為祢是將祢的心意向我們顯明
[00:00:17.000 --> 00:00:19.000]  祢教導我們更加明白
[00:00:19.000 --> 00:00:22.000]  祢的創造也更加明白
[00:00:22.000 --> 00:00:24.000]  我們在這個世界當中
[00:00:24.000 --> 00:00:27.000]  我們是怎樣可以經歷神
[00:00:27.000 --> 00:00:30.000]  以致我們更能夠活出祢的心意
[00:00:30.000 --> 00:00:32.000]  奉耶穌基督的名其靠
[00:00:32.000 --> 00:00:33.000]  阿門
[00:00:33.000 --> 00:00:35.000]  不知道你有沒有問過一個問題呢
[00:00:35.000 --> 00:00:39.000]  究竟這個世界究竟是一個怎樣的世界呢
[00:00:39.000 --> 00:00:42.000]  其實這個也是一個挺重要的問題
[00:00:42.000 --> 00:00:44.000]  因為可能即使你沒有問
[00:00:44.000 --> 00:00:49.000]  但是其實在背後裡面
[00:00:49.000 --> 00:00:51.000]  你怎樣去看這個世界呢
[00:00:51.000 --> 00:00:54.000]  其實就影響了你怎樣去生活
[00:00:54.000 --> 00:00:56.000]  做決定
[00:00:56.000 --> 00:01:00.000]  因為你所看的世界是怎樣呢
[00:01:00.000 --> 00:01:04.000]  你就會根據你所認為這個世界
[00:01:04.000 --> 00:01:06.000]  是這樣運作的時候
[00:01:06.000 --> 00:01:09.000]  去做決定
[00:01:09.000 --> 00:01:13.000]  我記得有一次有一個朋友
[00:01:13.000 --> 00:01:20.000]  他說他們一家人都是沒有信仰的
[00:01:20.000 --> 00:01:26.000]  但是他說他的兒子有一次
[00:01:26.000 --> 00:01:29.000]  他的兒子已經搬到外州讀大學
[00:01:29.000 --> 00:01:31.000]  讀完大學就在外州讀書
[00:01:31.000 --> 00:01:34.000]  有一次他就去外州探望他的兒子
[00:01:34.000 --> 00:01:38.000]  探望他的兒子的時候
[00:01:38.000 --> 00:01:40.000]  他們就坐的士
[00:01:40.000 --> 00:01:42.000]  因為他們不在加州
[00:01:42.000 --> 00:01:44.000]  他們比較少人有車
[00:01:44.000 --> 00:01:46.000]  他那次就叫的士坐
[00:01:46.000 --> 00:01:50.000]  就在後座發現了一個錢包
[00:01:50.000 --> 00:01:52.000]  發現了一個錢包
[00:01:52.000 --> 00:01:59.000]  那個朋友他就看看
[00:01:59.000 --> 00:02:02.000]  有些證件 有些錢
[00:02:02.000 --> 00:02:04.000]  他們沒有信仰的
[00:02:04.000 --> 00:02:07.000]  也都看到有一個錢包在那裡
[00:02:07.000 --> 00:02:12.000]  都是正在想怎樣處理的時候
[00:02:12.000 --> 00:02:15.000]  他的兒子就很堅持
[00:02:15.000 --> 00:02:19.000]  就說不行 一定要聯絡這個人
