
[00:00:00.000 --> 00:00:02.000]  嘿!大型節目好!
[00:00:02.000 --> 00:00:05.480]  感謝主下,剛才我聽麗仙分享
[00:00:05.480 --> 00:00:08.840]  我發現這個講章,我預備的講章沒什麼吸引力
[00:00:08.840 --> 00:00:11.640]  因為我沒說吃東西
[00:00:11.640 --> 00:00:15.640]  你知道我們那些去玩,我們很多時都不理會文化背景
[00:00:15.640 --> 00:00:17.880]  社會裡面的東西,總之有東西吃就行了
[00:00:17.880 --> 00:00:21.720]  我們就是這樣的人,你知道在以色列很出名的一件事
[00:00:21.720 --> 00:00:23.920]  就是那些中國大陸來的旅客
[00:00:23.920 --> 00:00:26.120]  那些導遊最大的抱怨是什麼呢?
[00:00:26.120 --> 00:00:28.120]  就是那些人去到
[00:00:28.120 --> 00:00:32.360]  不知為什麼中國大陸,有時可能都不是教會的人
[00:00:32.360 --> 00:00:35.360]  是非教會的人,他就共了去以色列
[00:00:35.360 --> 00:00:37.800]  然後就在那裡玩兩個星期
[00:00:37.800 --> 00:00:41.640]  那些當地的導遊,那些中國大陸來的人
[00:00:41.640 --> 00:00:43.640]  最大的抱怨是什麼呢?
[00:00:43.640 --> 00:00:46.640]  就是,上車就睡覺
[00:00:46.640 --> 00:00:48.640]  下車就拍照
[00:00:48.640 --> 00:00:50.640]  拍完照就上車又睡覺
[00:00:50.640 --> 00:00:53.680]  然後導遊說些什麼,他就完全不理會
[00:00:53.680 --> 00:00:55.680]  然後回去拍了很多照
[00:00:55.680 --> 00:00:57.680]  百幾張,二百幾張,幾百張
[00:00:57.680 --> 00:00:59.680]  然後他就說,拍了些什麼?
[00:00:59.680 --> 00:01:03.680]  他所關心的就不知是什麼
[00:01:03.680 --> 00:01:05.680]  然後呢?哪裡有好東西吃
[00:01:05.680 --> 00:01:07.680]  他才覺得是心滿意足的
[00:01:07.680 --> 00:01:11.680]  我覺得很奇怪,這個文化
[00:01:11.680 --> 00:01:15.680]  我相信聖地不可以這樣玩的
[00:01:15.680 --> 00:01:17.680]  你可能去夏威夷可以這樣玩
[00:01:17.680 --> 00:01:21.680]  你可能去,因為夏威夷都有很多歷史,應該去看看
[00:01:21.680 --> 00:01:25.680]  你去其他地方可以這樣
[00:01:25.680 --> 00:01:27.680]  但在那裡是不可以的
[00:01:27.680 --> 00:01:32.680]  因為我相信那個地方是有很多豐富的資訊
[00:01:32.680 --> 00:01:34.680]  豐富的資料
[00:01:34.680 --> 00:01:37.680]  我相信你去兩個星期
[00:01:37.680 --> 00:01:43.680]  等於你讀幾堂神學的課程
[00:01:43.680 --> 00:01:47.680]  我意思是科無的神學院的課程
[00:01:47.680 --> 00:01:49.680]  當然你一定要跟一個好的導遊
[00:01:49.680 --> 00:01:52.680]  這個世界有很多好的導遊
[00:01:52.680 --> 00:01:54.680]  我只是其中一個
[00:01:54.680 --> 00:01:57.680]  說起這件事,我也有點後悔
[00:01:57.680 --> 00:01:59.680]  有件事是後悔的
[00:01:59.680 --> 00:02:05.680]  有一天我們去了納沙拉
[00:02:05.680 --> 00:02:09.680]  納沙拉有很多山路,路很窄
[00:02:09.680 --> 00:02:12.680]  我們有兩輛車,我一輛,然後Ronald一輛
[00:02:12.680 --> 00:02:16.680]  我就走錯路了
[00:02:16.680 --> 00:02:19.680]  我共進去一個很窄很窄的巷
[00:02:19.680 --> 00:02:22.680]  剛剛一輛車是下不了車的,是這麼窄的
[00:02:22.680 --> 00:02:24.680]  我以為那條巷是出得去的
[00:02:24.680 --> 00:02:26.680]  誰知道是出不了去的
[00:02:26.680 --> 00:02:31.680]  在一個45度的斜坡,我們要調頭
[00:02:31.680 --> 00:02:33.680]  那次真的很驚險
[00:02:33.680 --> 00:02:36.680]  那些車輪出煙了等等
[00:02:36.680 --> 00:02:38.680]  真的很厲害
[00:02:38.680 --> 00:02:43.680]  我非常欣賞Ronald的車,是可以OK
[00:02:43.680 --> 00:02:45.680]  我們成功脫險
[00:02:45.680 --> 00:02:47.680]  我最大的後悔不是走錯路
[00:02:47.680 --> 00:02:52.680]  我最大的後悔是我們脫車時,我沒有拍攝
[00:02:52.680 --> 00:02:55.680]  我應該下車,裝回鏡頭
[00:02:55.680 --> 00:02:59.680]  然後錄下最有用的情況
[00:02:59.680 --> 00:03:01.680]  所以這個世界有很多好的導遊
[00:03:01.680 --> 00:03:04.680]  有些事不會走錯路
[00:03:04.680 --> 00:03:09.680]  我們這次開始拿一些題材
[00:03:09.680 --> 00:03:12.680]  在聖經裡面講到聖經的節期
[00:03:12.680 --> 00:03:15.680]  你可能留意到舊約新約的時候
[00:03:15.680 --> 00:03:19.680]  都會提到一些節日
[00:03:19.680 --> 00:03:21.680]  聖經裡面其實有很多
[00:03:21.680 --> 00:03:23.680]  我們不講聖地了
[00:03:23.680 --> 00:03:26.680]  我們講聖經裡面的時間
[00:03:26.680 --> 00:03:29.680]  一年裡面有很多不同的節期
[00:03:29.680 --> 00:03:33.680]  即是春夏秋冬都會有
[00:03:33.680 --> 00:03:35.680]  其實對我們有什麼意思呢
[00:03:35.680 --> 00:03:37.680]  除了歷史裡面有發生過
[00:03:37.680 --> 00:03:39.680]  記載不同的事蹟
[00:03:39.680 --> 00:03:41.680]  其實對我們有很多的提醒
[00:03:41.680 --> 00:03:45.680]  你想起節期的時候,佳節
[00:03:45.680 --> 00:03:46.680]  佳節,佩斯因
[00:03:46.680 --> 00:03:49.680]  想起佳節,想起一些假期
[00:03:49.680 --> 00:03:51.680]  一些重要的日子
[00:03:51.680 --> 00:03:53.680]  你會想起什麼?
[00:03:53.680 --> 00:03:55.680]  想起什麼日子?
[00:03:55.680 --> 00:03:58.680]  最近有工作日,是嗎?
[00:03:58.680 --> 00:04:01.680]  勞工的假期,勞工節
[00:04:01.680 --> 00:04:03.680]  911呢?
[00:04:03.680 --> 00:04:06.680]  特別是美國,如果是紐約的朋友
[00:04:06.680 --> 00:04:10.680]  一定是最大的印象,最深的印象
[00:04:10.680 --> 00:04:13.680]  911的時候可能有不同的紀念項目等等
[00:04:13.680 --> 00:04:15.680]  紀念日,是嗎?
[00:04:15.680 --> 00:04:17.680]  接下來有什麼節日?
[00:04:17.680 --> 00:04:19.680]  感恩節,沒錯
[00:04:19.680 --> 00:04:20.680]  感恩節,是嗎?
[00:04:20.680 --> 00:04:23.680]  又是吃的時候了
[00:04:23.680 --> 00:04:25.680]  然後年底就是聖誕節,是嗎?
[00:04:25.680 --> 00:04:30.680]  這些節日,很多時候就是一些標籤
[00:04:30.680 --> 00:04:32.680]  去提醒我們某一些東西
[00:04:32.680 --> 00:04:36.680]  我們不要水過鴨背,然後就過去
[00:04:36.680 --> 00:04:40.680]  有一些reminder,都是一些重要的節日
[00:04:40.680 --> 00:04:42.680]  譬如有一些什麼reminder
[00:04:42.680 --> 00:04:44.680]  對你來說可能你不會錯過
[00:04:44.680 --> 00:04:46.680]  生日,是嗎?
[00:04:46.680 --> 00:04:48.680]  生日
[00:04:48.680 --> 00:04:51.680]  你有沒有想過生日蛋糕是哪裡來的?
[00:04:51.680 --> 00:04:53.680]  有沒有想過?
[00:04:53.680 --> 00:04:55.680]  我們就知道總之是買個生日蛋糕去
[00:04:55.680 --> 00:04:57.680]  大概應該是中世紀的時候
[00:04:57.680 --> 00:04:59.680]  在德國有一幫人
[00:04:59.680 --> 00:05:01.680]  開始為小朋友生日的時候
[00:05:01.680 --> 00:05:03.680]  做一個蛋糕
[00:05:03.680 --> 00:05:05.680]  然後越做就越甜
[00:05:05.680 --> 00:05:07.680]  然後來到美國就更加甜
[00:05:07.680 --> 00:05:11.680]  所以生日蛋糕是這樣的來由
[00:05:11.680 --> 00:05:13.680]  去慶祝某一些東西,是嗎?
[00:05:13.680 --> 00:05:15.680]  但是你想起節日的時候
[00:05:15.680 --> 00:05:17.680]  festival, holidays
[00:05:17.680 --> 00:05:19.680]  或者一些重要的日子
[00:05:19.680 --> 00:05:22.680]  我們就一定想起某一些reminder,是嗎?
[00:05:22.680 --> 00:05:25.680]  想一想聖經,聖經裡面有一些節日
[00:05:25.680 --> 00:05:27.680]  一些festival
[00:05:27.680 --> 00:05:30.680]  都是去到有這樣的目的
[00:05:30.680 --> 00:05:33.680]  在五經裡面,新明記第十六章
[00:05:33.680 --> 00:05:36.680]  他說你們所有的男丁
[00:05:36.680 --> 00:05:38.680]  當然當時的社會是男人
[00:05:38.680 --> 00:05:41.680]  就是擔起頭家,是嗎?
[00:05:41.680 --> 00:05:43.680]  in fact 今天都應該是,是嗎?
[00:05:43.680 --> 00:05:45.680]  男丁
[00:05:45.680 --> 00:05:47.680]  他們就是代表整個家庭
[00:05:47.680 --> 00:05:49.680]  他說要在三個節日裡面
[00:05:49.680 --> 00:05:51.680]  一年三次,去到耶和華
[00:05:51.680 --> 00:05:53.680]  所揀選的地方
[00:05:53.680 --> 00:05:55.680]  去見神,去敬拜祂
[00:05:55.680 --> 00:05:57.680]  這個是特別的敬拜
[00:05:57.680 --> 00:05:59.680]  除了每個禮拜有一個shabbat
[00:05:59.680 --> 00:06:01.680]  shabbat去到安息日,去會堂敬拜
[00:06:01.680 --> 00:06:04.680]  或者去聖殿敬拜等等
[00:06:04.680 --> 00:06:07.680]  一年三次,特別的節日
[00:06:07.680 --> 00:06:09.680]  一些的holidays,一些的festival
[00:06:09.680 --> 00:06:12.680]  就不可以空手去見耶和華
[00:06:12.680 --> 00:06:14.680]  各人要按照自己手中的能力
[00:06:14.680 --> 00:06:16.680]  招惹耶和華神
[00:06:16.680 --> 00:06:18.680]  你上帝所賜你的福
[00:06:18.680 --> 00:06:22.680]  去到奉獻禮物
[00:06:22.680 --> 00:06:24.680]  三個是什麼節日呢?
[00:06:24.680 --> 00:06:26.680]  第一個,徐孝節
[00:06:26.680 --> 00:06:28.680]  a feast of unleavened bread
[00:06:28.680 --> 00:06:30.680]  即是其實past over
[00:06:30.680 --> 00:06:32.680]  那是唯一一天
[00:06:32.680 --> 00:06:34.680]  然後就是一個星期七天的徐孝節
[00:06:34.680 --> 00:06:36.680]  他們吃的東西就是
[00:06:36.680 --> 00:06:38.680]  不會有east,不會有孝
[00:06:38.680 --> 00:06:40.680]  就是紀念到什麼人
[00:06:40.680 --> 00:06:42.680]  他們出埃及的時候
[00:06:42.680 --> 00:06:44.680]  是趕著出去的
[00:06:44.680 --> 00:06:46.680]  趕著出去的時候
[00:06:46.680 --> 00:06:48.680]  你做那些所謂麵包的時候
[00:06:48.680 --> 00:06:50.680]  做你的食物的時候
