
[00:00:00.000 --> 00:00:03.060]  好,我們繼續這個聖週的講道
[00:00:03.060 --> 00:00:04.060]  這個Holy Week
[00:00:04.060 --> 00:00:07.600]  今天呢,剛才《敬拜隊》已經提醒我們了
[00:00:07.600 --> 00:00:09.360]  今天是Palm Sunday
[00:00:09.360 --> 00:00:12.300]  這個中樹節的主日
[00:00:12.300 --> 00:00:15.040]  所以呢,是一個很重要的
[00:00:15.040 --> 00:00:18.140]  在基督教的日曆裡面
[00:00:18.140 --> 00:00:20.340]  一個最重要的一個聖期
[00:00:20.340 --> 00:00:24.260]  就是耶穌在地上聲明的最後一個禮拜
[00:00:24.260 --> 00:00:25.940]  The Final Week
[00:00:25.940 --> 00:00:28.760]  我們有兩次講到這個話題的時候
[00:00:28.760 --> 00:00:31.760]  我們一直都是在跟進
[00:00:31.760 --> 00:00:35.500]  這個Final Week裡面發生了什麼事
[00:00:35.500 --> 00:00:37.700]  但是我這裡想大家留意
[00:00:37.700 --> 00:00:40.100]  在我們這個聖週,Holy Week
[00:00:40.100 --> 00:00:41.660]  或者Passion Week的時候
[00:00:41.660 --> 00:00:43.660]  我們希望你們回家去看看
[00:00:43.660 --> 00:00:46.560]  聖經裡面四福音怎麼去記載
[00:00:46.560 --> 00:00:49.000]  耶穌基督最後最後一個禮拜
[00:00:49.000 --> 00:00:53.860]  這裡很簡單,我只是將一些章節總結出來
[00:00:53.860 --> 00:00:55.600]  就是每一個的福音書
[00:00:55.600 --> 00:00:58.400]  馬太、馬可、路加和約翰
[00:00:58.400 --> 00:01:00.300]  都花了很多的篇幅
[00:01:00.300 --> 00:01:04.260]  來記載最後這七天
[00:01:04.260 --> 00:01:06.200]  耶穌發生了什麼事
[00:01:06.200 --> 00:01:08.100]  The Final Week of Jesus
[00:01:08.100 --> 00:01:11.560]  馬太21章至28章,有八章的聖經
[00:01:11.560 --> 00:01:16.300]  就是整本馬太福音裡面的四分之一以上的篇幅
[00:01:16.300 --> 00:01:19.600]  就是講最後這七天
[00:01:19.600 --> 00:01:21.500]  馬可福音11至16章
[00:01:21.500 --> 00:01:24.000]  六章也是多於四分之一的
[00:01:24.000 --> 00:01:26.100]  路加也是多於四分之一
[00:01:26.100 --> 00:01:29.360]  約翰更加不用說了,約翰你將它斬一半
[00:01:29.360 --> 00:01:33.800]  下面那一半全部都是講他最後最後這七天
[00:01:33.800 --> 00:01:37.260]  所以內容的比重是很重要的
[00:01:37.260 --> 00:01:39.260]  為什麼呢?
[00:01:39.260 --> 00:01:41.700]  保羅不只是他先說
[00:01:41.700 --> 00:01:47.600]  說我們傳的是釘十字架的耶穌
[00:01:47.600 --> 00:01:49.460]  福音書也是這樣說的
[00:01:49.460 --> 00:01:50.720]  有很多的篇幅
[00:01:50.720 --> 00:01:53.420]  最後這七天就是最重要的
[00:01:53.420 --> 00:01:55.000]  如果你加起來的話
[00:01:55.000 --> 00:01:58.100]  整本新約的聖經只計算四福音的話
[00:01:58.100 --> 00:02:02.100]  有三分之一到甚至一半的內容
[00:02:02.100 --> 00:02:04.660]  都是講到最後這七天的
[00:02:04.660 --> 00:02:08.260]  所以我們不妨看看這七天到底發生了什麼事
[00:02:08.260 --> 00:02:10.700]  這個表我們三個星期都有看
[00:02:10.700 --> 00:02:13.760]  你不用很留心地看
[00:02:13.760 --> 00:02:15.260]  因為字很小
[00:02:15.260 --> 00:02:17.120]  你只需要留意左邊
[00:02:17.120 --> 00:02:18.660]  有一個星期
[00:02:18.660 --> 00:02:19.660]  大概是這樣
[00:02:19.660 --> 00:02:23.660]  我們講到這個中庶的主日就是第一個星期的日子
[00:02:23.660 --> 00:02:25.020]   Palm Sunday
[00:02:25.020 --> 00:02:27.020]  耶穌榮進耶路撒肯
[00:02:27.020 --> 00:02:29.460]  然後第二第三
[00:02:29.460 --> 00:02:31.260]  Monday to Wednesday
[00:02:31.260 --> 00:02:33.360]  就是耶穌去到耶路撒肯
[00:02:33.360 --> 00:02:36.920]  跟這些民事啊祭司長啊
[00:02:36.920 --> 00:02:39.560]  那些權貴去爭辯
[00:02:39.560 --> 00:02:44.020]  然後今天我們去到大概星期四至星期五的時間
[00:02:44.020 --> 00:02:46.420]  就是耶穌去預備最後的晚餐
[00:02:46.420 --> 00:02:47.960]  道別的廣横
[00:02:47.960 --> 00:02:50.460]  然後祂去到鑑安山的山腳
[00:02:50.460 --> 00:02:52.700]  一個地方叫做赫西瑪利園
[00:02:52.700 --> 00:02:54.660]  祂去到祈禱不按照我的意思
[00:02:54.660 --> 00:02:55.700]  按照天父的意思
[00:02:55.700 --> 00:02:58.160]  然後祂被出賣
[00:02:58.160 --> 00:02:59.560]  被捕
[00:02:59.560 --> 00:03:02.560]  然後就被審查
[00:03:02.560 --> 00:03:05.400]  門徒全部都雞飛狗走
[00:03:05.400 --> 00:03:11.560]  然後耶穌就接受不只是猶太人議會的審議
[00:03:11.560 --> 00:03:14.820]  也是接受羅馬人議會的審議
[00:03:14.820 --> 00:03:17.060]  就是比拉多
[00:03:17.060 --> 00:03:20.020]  於是祂就被判釘十字架
[00:03:20.020 --> 00:03:21.420]  死在十字架上面
[00:03:21.420 --> 00:03:24.200]  然後聖殿的萬子上下分為兩半
[00:03:24.200 --> 00:03:25.800]  耶穌就被埋葬
[00:03:25.800 --> 00:03:27.800]  然後就沙巴來到了
[00:03:27.800 --> 00:03:30.660]  接著就是到下個星期日
[00:03:30.660 --> 00:03:32.360]  就是Easter Sunday
[00:03:32.360 --> 00:03:34.960]  就是復活節的主日
[00:03:34.960 --> 00:03:35.820]  門徒呢
[00:03:35.820 --> 00:03:38.900]  特別是女的門徒先發現這個空墳墓
[00:03:38.900 --> 00:03:42.620]  然後他們就將這個消息來告訴門徒聽
[00:03:42.620 --> 00:03:44.020]  這個就是很簡單
[00:03:44.020 --> 00:03:48.560]  這個禮拜聖週Holy Week裡面發生過的事
[00:03:48.560 --> 00:03:51.060]  有什麼章節可以回去自己看一下
[00:03:51.060 --> 00:03:56.060]  我們在三大平台裡面都有發放出來
[00:03:56.060 --> 00:03:58.900]  但我想你知道的就是
[00:03:58.900 --> 00:04:00.460]  那個重要性
