
[00:00:00.000 --> 00:00:04.360]  感謝神,兩個多禮拜前,我們在二十週年的慶典的聚會,
[00:00:04.360 --> 00:00:08.640]  真是一個充滿神恩典的一個聚會,Amen?
[00:00:08.640 --> 00:00:14.360]  一方面,我再次在這裡代表教會感謝每一位參與侍奉的弟兄姊妹,
[00:00:14.360 --> 00:00:16.560]  還有每一個侍奉的團隊,
[00:00:16.560 --> 00:00:22.460]  你們為神盡心盡力的擺上上帝都必要紀念你們。
[00:00:22.460 --> 00:00:28.660]  另一方面,我想在這次特會這個慶典當中,我也看見兩件事情。
[00:00:28.660 --> 00:00:35.400]  第一個,我看見同心合一所帶出來的果孝,Amen?
[00:00:35.400 --> 00:00:39.700]  其實要在convention center辦一個三千多人的聚會,
[00:00:39.700 --> 00:00:42.300]  本身就不是一件容易的事情,
[00:00:42.300 --> 00:00:47.400]  每一個環節的背後都面對很多不同的挑戰,
[00:00:47.400 --> 00:00:51.300]  可是當弟兄姊妹同心合一一同來擺上的時候,
[00:00:51.300 --> 00:00:56.000]  我真的就看見再神沒有難成的事情,Amen?
[00:00:56.000 --> 00:01:04.800]  第二個,我似乎能夠隱約的能夠看見一個榮耀教會的景象。
[00:01:04.800 --> 00:01:08.200]  以前我們常常講榮耀的教會,要建造榮耀的教會,
[00:01:08.200 --> 00:01:11.200]  但對很多人來講還是很抽象,
[00:01:11.200 --> 00:01:14.200]  什麼是神榮耀的教會?
[00:01:14.200 --> 00:01:20.200]  可是那一天,我還記得當我坐在下面看每一個節目在進行的時候,
[00:01:20.200 --> 00:01:28.200]  我似乎在我靈裡面我可以清楚的看見一個榮耀教會的樣子。
[00:01:28.200 --> 00:01:32.900]  正好像雅各書第六章第十節裡面,
[00:01:32.900 --> 00:01:37.400]  我們看見當主在這裡形容他的心腹的時候,
[00:01:37.400 --> 00:01:42.600]  講到主的心腹就是教會美麗如月亮,
[00:01:42.600 --> 00:01:49.200]  皎潔如日頭,威武如展開驚奇的軍隊。
[00:01:49.200 --> 00:01:53.700]  哇,那一天早上我好像就看見,
[00:01:53.700 --> 00:02:01.200]  第一次看見好像我們的教會真的就像一支展開驚奇的軍隊,
[00:02:01.200 --> 00:02:06.200]  已經準備好被神所使用,Amen?
[00:02:06.200 --> 00:02:09.200]  回顧過去的二十年,
[00:02:09.200 --> 00:02:13.700]  我看見神好像就是用各樣的方法在磨練我們,
[00:02:13.700 --> 00:02:20.200]  在塑造我們的目的,就是要為神建立一支奄華的大軍隊。
[00:02:20.200 --> 00:02:25.200]  而今天當我們站在這樣一個關口向前看的時候,
[00:02:25.200 --> 00:02:30.200]  很多時候我們在想,到底神要在這支大軍隊身上做些什麼呢?
[00:02:30.200 --> 00:02:34.200]  我還記得在二十週年特會第一天晚上,
[00:02:34.200 --> 00:02:37.200]  David Connolly Stacey牧師他就用,
[00:02:37.200 --> 00:02:44.200]  一期結束三十七章的經文,他用枯骨復生的信息來教導我們說,
[00:02:44.200 --> 00:02:47.700]  要向我們的未來發預言。
[00:02:47.700 --> 00:02:50.700]  我相信很多人參加那天晚上覺得非常得激勵,
[00:02:50.700 --> 00:02:54.700]  要向我們的未來發預言。
[00:02:54.700 --> 00:02:58.700]  我相信他所說的叫我們向未來發預言,
[00:02:58.700 --> 00:03:01.700]  不是要我們隨便按照自己的意思,
[00:03:01.700 --> 00:03:05.200]  隨便按照自己的喜好來發預言。
[00:03:05.200 --> 00:03:09.200]  我相信他的意思叫我們按照神的心意來發出預言。
[00:03:09.200 --> 00:03:13.700]  就好像在以西傑書裡面,你看見天使怎麼教導以西傑,
[00:03:13.700 --> 00:03:18.700]  不是隨便發預言,是按照神教導他的方式,
[00:03:18.700 --> 00:03:23.200]  教導他的話語,向那些枯骨發預言。
[00:03:23.200 --> 00:03:26.700]  同樣今天我們要向我們的未來發預言,
[00:03:26.700 --> 00:03:29.200]  你說我們怎麼樣來發出預言呢?
[00:03:29.200 --> 00:03:32.200]  很有意思,我就開始繼續讀下去,
[00:03:32.200 --> 00:03:38.200]  以前我們多半讀到一節到第十節講枯骨復生。
[00:03:38.200 --> 00:03:41.200]  剛才我跟大家讀到一節到十四節,
[00:03:41.200 --> 00:03:47.200]  我就發現當神建立這一支大軍隊之後,
[00:03:47.200 --> 00:03:51.200]  全面的軍隊興起來之後,十一節開始,
[00:03:51.200 --> 00:03:58.700]  神就教導以西傑要對這支新的大軍隊發出預言來。
[00:03:58.700 --> 00:04:04.200]  今天我就看見我們教會似乎也就是站在這樣一個關口上,
[00:04:04.200 --> 00:04:08.700]  神已經按照他的心意在這裡建立一支大軍隊,
[00:04:08.700 --> 00:04:12.200]  從今天開始神要帶領我們這個教會進入一個新的階段,
[00:04:12.200 --> 00:04:17.200]  新的領域,我們同樣要憑信心,
[00:04:17.200 --> 00:04:19.200]  就像以西傑的時代,
[00:04:19.200 --> 00:04:23.200]  神教導他怎麼向耶和華大軍發預言一樣,
[00:04:23.200 --> 00:04:28.700]  我們同樣要憑信心領受這個神的應許。
[00:04:28.700 --> 00:04:30.700]  這不但是神的應許,
[00:04:30.700 --> 00:04:36.700]  這也是說明了神要在這支大軍隊上要做的三件事情。
[00:04:36.700 --> 00:04:38.200]  第一件事情我們看見,
[00:04:38.200 --> 00:04:41.200]  這裡說神要打開我們的墳墓,
