
[00:00:00.000 --> 00:00:05.000]  親愛的早安,母親節快樂,感謝主
[00:00:05.000 --> 00:00:16.000]  在過去這幾個月裡面,我們失去了三位非常摯愛的長輩
[00:00:16.000 --> 00:00:24.000]  除了我的母親之外,其中一位是喬阿姨的姐姐,燕眉阿姨
[00:00:24.000 --> 00:00:28.000]  還有阿弟的母親王伯母
[00:00:29.000 --> 00:00:35.000]  他們的年齡都是相仿,這三個老人家的年齡都相仿
[00:00:35.000 --> 00:00:38.000]  而且都是在92歲上下的年齡
[00:00:38.000 --> 00:00:47.000]  燕眉阿姨除了她的耳朵比較背,腦筋有一點退化之外
[00:00:47.000 --> 00:00:52.000]  她能難每天讀經、禱告、傳福音
[00:00:52.000 --> 00:00:58.000]  王伯母更不用說了,她的腦筋sharp like whistle
[00:00:59.000 --> 00:01:10.000]  但是很遺憾的就是說,他們跟他們的女兒們都有問題
[00:01:10.000 --> 00:01:16.000]  燕眉阿姨的女兒從小就跟母親過不去
[00:01:16.000 --> 00:01:21.000]  每次跟媽媽打電話,她心裡面就有一股莫名的怒氣
[00:01:21.000 --> 00:01:24.000]  非常地鬱悶,非常地糾結
[00:01:24.000 --> 00:01:27.000]  她信主以後心裡面也很掙扎
[00:01:28.000 --> 00:01:30.000]  但是一直克服不了
[00:01:30.000 --> 00:01:34.000]  一直到燕眉阿姨過世的前三個禮拜
[00:01:34.000 --> 00:01:40.000]  有一天她跟母親打電話的時候,忽然間她被聖靈充滿
[00:01:40.000 --> 00:01:45.000]  從她的心到她的口,口中充滿溫柔
[00:01:45.000 --> 00:01:50.000]  有說有笑地跟母親聊得非常愉快
[00:01:51.000 --> 00:01:58.000]  之後她非常興奮地不停地跟喬阿姨敘述她這個很奇妙的經歷
[00:01:58.000 --> 00:02:05.000]  那三個禮拜之後,有一個夜晚,燕眉阿姨就腦溢血
[00:02:05.000 --> 00:02:10.000]  三天之後,平平安安地就走了
[00:02:10.000 --> 00:02:17.000]  阿弟跟他母親之間也有很多的恩恩怨怨
[00:02:17.000 --> 00:02:19.000]  說不清理不清的
[00:02:20.000 --> 00:02:26.000]  那前幾年王伯伯過世以後,王伯伯就下定決心說,到此為止
[00:02:26.000 --> 00:02:33.000]  但是對一個屬主的基督徒來說,這不是神的心意
[00:02:33.000 --> 00:02:38.000]  所以聖靈就不停地攪動阿弟的心
[00:02:38.000 --> 00:02:43.000]  所以兩週以前,阿弟就下定決心
[00:02:43.000 --> 00:02:47.000]  他誰也沒說,就飛到丹佛去看他的媽媽
[00:02:50.000 --> 00:02:55.000]  他說當他走進他媽媽的房間的時候,兩個人都嚇了一跳
[00:02:55.000 --> 00:02:59.000]  他媽媽完全不知道他要來看她
[00:02:59.000 --> 00:03:01.000]  所以高興得不得了
[00:03:01.000 --> 00:03:06.000]  那聖靈問媽媽說,你知道我是誰嗎?
[00:03:06.000 --> 00:03:13.000]  王媽媽說,我當然知道阿,你是我的寶貝女兒聖靈
[00:03:15.000 --> 00:03:21.000]  在那一個禮拜裡面,王媽媽每一天都把自己打扮得漂漂亮亮的
[00:03:21.000 --> 00:03:25.000]  又戴耳環,又戴項鍊
[00:03:25.000 --> 00:03:30.000]  然後聖靈每天晨昏就去探望王媽媽
[00:03:30.000 --> 00:03:36.000]  然後聖靈說,在跟媽媽相處的時候,他心中充滿了平安
[00:03:36.000 --> 00:03:40.000]  以前的那些怒氣怨氣都不見了
[00:03:41.000 --> 00:03:48.000]  而且王媽媽還會說,今天是禮拜二,是我們唱歌的日子
[00:03:48.000 --> 00:03:54.000]  所以那個禮拜,當聖靈離開丹佛的時候
[00:03:54.000 --> 00:04:00.000]  他心裡想,老媽沒有問題可以活到一百歲
[00:04:00.000 --> 00:04:06.000]  上個禮拜五的晚上,聖靈的女兒聖靈打電話給我
[00:04:07.000 --> 00:04:12.000]  她說,婆婆在急診室裡面,身上插滿了管子
[00:04:12.000 --> 00:04:15.000]  不知道是怎麼回事,就是醒不過來
[00:04:15.000 --> 00:04:21.000]  這個禮拜一的下午四點鐘,王媽媽就回天家了
[00:04:21.000 --> 00:04:29.000]  親愛的弟兄姊妹,你知道神在我們每一個人的身上,都有他的計畫
[00:04:30.000 --> 00:04:37.000]  那神的工作,神工作的時候,你若是順服,那他的旨意很快就成就了
[00:04:37.000 --> 00:04:43.000]  葉梅阿姨的女兒,在母親回天家之後,她不會有任何的遺憾
[00:04:43.000 --> 00:04:49.000]  因為她跟母親已經和好了,那是神的祝福和恩典
[00:04:49.000 --> 00:04:55.000]  神也在等聖靈,當聖靈順服聖靈的感動,去看媽媽之後
[00:04:56.000 --> 00:05:02.000]  四月二十六號才回到西雅圖來,那個看起來要活一百歲的媽媽
[00:05:02.000 --> 00:05:09.000]  就無緣無故的住了急診室,到五月二號下午四點鐘,就回天家了
[00:05:09.000 --> 00:05:18.000]  神裡面也滿有安息,他讚嘆天父的奇妙和偉大
