
[00:00:00.000 --> 00:00:02.880]  今日繼續和大家思想到四行尊第十三章
[00:00:02.880 --> 00:00:04.180]  題目是
[00:00:04.180 --> 00:00:07.920]  我們是否一個重視普世宣教的教會呢?
[00:00:07.920 --> 00:00:11.040]  今日經文揀到去安提柯教會
[00:00:11.040 --> 00:00:16.720]  安提柯教會是一個對外邦傳聞的猜拳的教會
[00:00:16.720 --> 00:00:19.160]  歷代很多不同的國家、不同的地方
[00:00:19.160 --> 00:00:20.900]  講到猜拳的時候
[00:00:20.900 --> 00:00:23.120]  很多時候就思想到安提柯
[00:00:23.120 --> 00:00:24.280]  這個教會很奇妙
[00:00:24.280 --> 00:00:27.680]  首先他們被稱為基督徒
[00:00:27.680 --> 00:00:33.000]  但他們在經文裏面有不同的領袖走在一起祈禱的時候
[00:00:33.000 --> 00:00:35.680]  聖靈就推動這個宣教的運動
[00:00:35.680 --> 00:00:39.280]  去參拜他們教會裏最出色的兩位神的僕人
[00:00:39.280 --> 00:00:41.160]  巴拿巴、保羅
[00:00:41.160 --> 00:00:42.520]  他們宣教
[00:00:42.520 --> 00:00:45.560]  產生這個很波瀾洶湧影響教會
[00:00:45.560 --> 00:00:48.000]  影響歷史的宣教運動
[00:00:48.000 --> 00:00:49.200]  我看今日的經文
[00:00:49.200 --> 00:00:51.480]  四行尊第十三章一到十三節
[00:00:51.480 --> 00:00:53.040]  我請弟兄讀單數節
[00:00:53.040 --> 00:00:54.120]  節目讀雙數節
[00:00:54.120 --> 00:00:55.600]  請先生弟兄
[00:00:55.600 --> 00:00:57.840]  在安提柯的教會中
[00:00:57.840 --> 00:01:00.360]  有幾位先知和教師
[00:01:00.360 --> 00:01:03.680]  就是巴拿巴和稱呼彌潔的西面
[00:01:03.680 --> 00:01:05.320]  鼓勵內人路求
[00:01:05.320 --> 00:01:09.600]  與分崩之王希律同樣的馬廉並掃羅
[00:01:09.600 --> 00:01:20.120]  (喊禮儀)
[00:01:20.120 --> 00:01:22.080]  於是禁食禱告
[00:01:22.080 --> 00:01:24.160]  按手在他們頭上
[00:01:24.160 --> 00:01:26.520]  就打發他們去了
[00:01:26.520 --> 00:01:34.120]  (喊禮儀)
[00:01:34.120 --> 00:01:35.640]  到了撒拉米
[00:01:35.640 --> 00:01:39.320]  就在猶太人國會堂裏傳講神的道
[00:01:39.320 --> 00:01:42.480]  也有約翰作他們的幫手
[00:01:42.480 --> 00:01:52.400]  (喊禮儀)
[00:01:52.400 --> 00:01:56.440]  這人常和方伯自求保羅同在
[00:01:56.440 --> 00:01:58.920]  自求保羅是個通達人
