
[00:00:00.000 --> 00:00:06.500]  這個系列叫"講男講女",我們連續三個禮拜去講關於男女的關係
[00:00:06.500 --> 00:00:12.200]  第一禮拜我們講男,上禮拜我們講女,這個禮拜我們講男女的關係
[00:00:12.200 --> 00:00:21.500]  有男,有女,結合在一起就有關係,那個關係我們稱之爲"婚姻"
[00:00:21.500 --> 00:00:29.500]  婚姻是一個關係,即是我們今天討論的關係,男女的關係
[00:00:29.500 --> 00:00:35.000]  究竟在神眼中婚姻是怎樣的?在神眼中男女的關係應該是怎樣的?
[00:00:35.000 --> 00:00:39.500]  先問這個問題,當聖經問答比賽又來了
[00:00:39.500 --> 00:00:45.500]  究竟這個世界一開始,原裝正版
[00:00:45.500 --> 00:00:52.000]  一開始第一個關係是什麼關係?第一個,第一個啊
[00:00:52.000 --> 00:00:59.500]  是不是亞當和夏娃的婚姻關係?第一個,再回答一下
[00:00:59.500 --> 00:01:04.000]  是不是神和人的關係?
[00:01:04.000 --> 00:01:13.000]  什麼答案?神和自己的關係,神和自己的關係很奇怪
[00:01:13.000 --> 00:01:19.500]  原裝正版的,我們要了解關係,翻開原裝正版的,第一個版本究竟是怎樣的?
[00:01:19.500 --> 00:01:25.000]  第一個關係,我們看聖經不是自己說的,在聖經裏面,第一個關係是怎樣的?
[00:01:25.000 --> 00:01:29.500]  聖經開始,創世紀,第一章26-27節,我們一起讀
[00:01:29.500 --> 00:01:31.000]  1,2,3
[00:01:31.000 --> 00:01:38.500]  "神說,我們要照着我們的形象,按照我們的樣式做人"
[00:01:38.500 --> 00:01:45.500]  "使他們管理海里的魚,空中的鳥,地上的生畜和泉地"
[00:01:45.500 --> 00:01:52.500]  "並地上所爬的一切昆蟲,神就照着自己的形象做人"
[00:01:52.500 --> 00:01:57.500]  "乃是照着他的形象做男做女"
[00:01:57.500 --> 00:02:03.500]  大家看聖經有沒有小心看呢?一打開就遇到困難了
[00:02:03.500 --> 00:02:06.500]  還是大家說,看不到,看不到,結果是怎樣呢?
[00:02:06.500 --> 00:02:10.500]  "神說,我們"
[00:02:10.500 --> 00:02:15.500]  哇,死了,好害怕,死了,Jason你的聖經是錯了,不是我們,是虛脣
[00:02:15.500 --> 00:02:17.500]  爲什麼是"我們"?不是一個神嗎?
[00:02:17.500 --> 00:02:19.500]  爲什麼神說"我們"?
[00:02:19.500 --> 00:02:21.500]  你那本是什麼聖經?
[00:02:21.500 --> 00:02:24.500]  我那本是和合本,看過很多和合本都是這樣寫的
[00:02:24.500 --> 00:02:27.500]  英文都是,King James是寫"us"的
[00:02:27.500 --> 00:02:29.500]  爲什麼是"我們"?
[00:02:29.500 --> 00:02:34.500]  這裏涉及到一個基督徒聽到都很害怕的概念
[00:02:34.500 --> 00:02:40.500]  大家一問起就說,這是奧祕來的,什麼奧祕呢?
[00:02:40.500 --> 00:02:43.500]  "三位一體的神"
[00:02:43.500 --> 00:02:47.500]  哇,死了,連頂尖都遇到困難的
[00:02:47.500 --> 00:02:50.500]  整天都說三位一體,三位一體是什麼啊?
[00:02:50.500 --> 00:02:55.500]  一個神,我們相信只有一位神,獨一的神,只有一位,創天造地的神
[00:02:55.500 --> 00:02:59.500]  但是又說三位一體,整天說什麼聖父,聖子,聖靈
[00:02:59.500 --> 00:03:01.500]  有天父,有耶穌,有聖靈
[00:03:01.500 --> 00:03:06.500]  他們都是神,但是一個裏面有三個,三個又是一個
[00:03:06.500 --> 00:03:11.500]  你現在去Safeway還是Target買東西?買三送一?
[00:03:11.500 --> 00:03:14.500]  什麼什麼三個一個?我們很難理解
[00:03:14.500 --> 00:03:17.500]  用你的腦袋想來想去都想不通
[00:03:17.500 --> 00:03:21.500]  第一件事,因爲在形容神是怎樣的
[00:03:21.500 --> 00:03:24.500]  神是獨一的,只有一個
[00:03:24.500 --> 00:03:27.500]  世界沒有東西和祂是相似的,祂是特別的
[00:03:27.500 --> 00:03:31.500]  所以我們很難去理解,我們沒有辦法用一些東西去比較
[00:03:31.500 --> 00:03:34.500]  讓我們去明白神是怎樣的
[00:03:34.500 --> 00:03:37.500]  我剛剛信主的時候都有一個很大的困難
[00:03:37.500 --> 00:03:40.500]  想知道什麼是三位一體
[00:03:40.500 --> 00:03:43.500]  神啊,禰說禰是三位一體,禰讓我們知道禰是三位一體
[00:03:43.500 --> 00:03:46.500]  我想知道,我一直同神祈禱,禰讓我明白
[00:03:46.500 --> 00:03:51.500]  神經過很多安排,讓我一路一路去經歷
[00:03:51.500 --> 00:03:54.500]  去體會的時候,知道神是怎樣的
[00:03:54.500 --> 00:03:56.500]  什麼是三位一體
[00:03:56.500 --> 00:04:02.500]  我想說的是,你要去體會和去經歷
[00:04:02.500 --> 00:04:05.500]  我們經常只會用這裏
[00:04:05.500 --> 00:04:09.500]  用腦分析,我想說你是要體會和經歷的
[00:04:09.500 --> 00:04:11.500]  要感受的
[00:04:11.500 --> 00:04:15.500]  我儘量去說一個比喻,讓大家容易一點去明白
[00:04:15.500 --> 00:04:17.500]  我太太叫Yi Ling
[00:04:17.500 --> 00:04:19.500]  我怎樣形容Yi Ling呢?靚女
[00:04:19.500 --> 00:04:23.500]  這個我一定要說,是真的
[00:04:23.500 --> 00:04:25.500]  她很搞笑的,很空虛的
[00:04:25.500 --> 00:04:27.500]  還有呢,我經常都形容她的
[00:04:27.500 --> 00:04:29.500]  好像個boy
[00:04:29.500 --> 00:04:31.500]  好像個男孩
[00:04:31.500 --> 00:04:34.500]  人家會想,什麼啊,什麼啊,好像個boy
[00:04:34.500 --> 00:04:36.500]  好像個男孩,我不知道你說什麼
[00:04:36.500 --> 00:04:39.500]  你想知道的話,你就去認識一下她
[00:04:39.500 --> 00:04:42.500]  去聊聊天,出去玩,喫喫飯,經歷一下
