
[00:00:00.000 --> 00:00:03.280]  我相信這兩年大家都經過了很多
[00:00:03.280 --> 00:00:06.440]  其實兩年多的時間,我很感恩
[00:00:06.440 --> 00:00:09.560]  我上一次離開之後
[00:00:09.560 --> 00:00:11.920]  我記得我跟大家分享的訊息是
[00:00:11.920 --> 00:00:15.960]  叫做夕陽無限好,柳暗花明又一村
[00:00:15.960 --> 00:00:18.560]  我最後用一首歌來結束
[00:00:18.560 --> 00:00:21.960]  就是梅艷芳的一首《夕陽之歌》
[00:00:21.960 --> 00:00:26.960]  人世間很多事情是不能夠永恆的
[00:00:26.960 --> 00:00:29.600]  我還記得上次在福音主日裏
[00:00:29.600 --> 00:00:33.240]  我最後提到梅姐提升她的歌迷
[00:00:33.240 --> 00:00:34.440]  她錯過了
[00:00:34.440 --> 00:00:37.320]  大家如果記得她最後一個告別演唱會
[00:00:37.320 --> 00:00:40.160]  是穿著婚紗唱最後那首歌
[00:00:40.160 --> 00:00:42.280]  劉培基幫她設計的婚紗
[00:00:42.280 --> 00:00:44.000]  她說她曾經錯過了
[00:00:44.000 --> 00:00:46.800]  她說大家不要再錯過
[00:00:46.800 --> 00:00:48.920]  同樣我們人世間我們都明白
[00:00:48.920 --> 00:00:53.360]  今天用這兩個主題就是歲月無情人間悠哀
[00:00:53.360 --> 00:00:58.320]  很多事情不是好像《天國一方》那首歌說
[00:00:58.320 --> 00:01:01.440]  什麼是恆久又有價值呢
[00:01:01.440 --> 00:01:03.720]  很多事情我們發現我們想它持久
[00:01:03.720 --> 00:01:04.960]  它不會持久
[00:01:04.960 --> 00:01:06.120]  很多事情是持久
[00:01:06.120 --> 00:01:09.200]  我們不知道它是持久
[00:01:09.200 --> 00:01:11.120]  人世間的生命很寶貴
[00:01:11.120 --> 00:01:13.800]  人世間的愛也是很寶貴
[00:01:13.800 --> 00:01:16.640]  我自己是一個比較感性的人
[00:01:16.640 --> 00:01:20.000]  我從小就已經很懂得哭
[00:01:20.000 --> 00:01:21.560]  不用別人教的
[00:01:21.560 --> 00:01:25.640]  我小時候只要家人跟我說我很可憐
[00:01:25.640 --> 00:01:27.040]  我就會哭
[00:01:27.040 --> 00:01:29.440]  當有人問我有什麼可憐
[00:01:29.440 --> 00:01:30.560]  我說不知道
[00:01:30.560 --> 00:01:32.000]  但姐姐說我很可憐
[00:01:32.000 --> 00:01:33.120]  所以我就哭
[00:01:33.120 --> 00:01:35.240]  我哭一哭就收不到聲音
[00:01:35.240 --> 00:01:37.280]  要哭很久才停下來
[00:01:37.280 --> 00:01:39.240]  我女兒跟我一樣
[00:01:39.240 --> 00:01:40.480]  有時候她哭了很久
[00:01:40.480 --> 00:01:41.440]  為什麼哭這麼久
[00:01:41.440 --> 00:01:43.720]  她說爸爸你的遺傳
[00:01:43.720 --> 00:01:46.240]  我很懂得哭
[00:01:46.240 --> 00:01:48.320]  所以小時候我的綽號叫哭包
[00:01:48.320 --> 00:01:49.880]  家裡六兄弟姐妹
[00:01:49.880 --> 00:01:52.160]  我就是大哭五
[00:01:52.160 --> 00:01:53.040]  我是排第五
[00:01:53.040 --> 00:01:54.040]  我是大哭五
[00:01:54.040 --> 00:01:55.360]  經常都哭
[00:01:55.360 --> 00:01:59.840]  我對人與人之間的關係和感情是很敏感的
[00:01:59.840 --> 00:02:01.880]  但我發現一個人太敏感的時候
[00:02:01.880 --> 00:02:03.680]  其實是很痛苦的
[00:02:03.680 --> 00:02:05.840]  有些人覺得有時候無知無覺
[00:02:05.840 --> 00:02:08.800]  比先知先覺更痛苦
[00:02:08.800 --> 00:02:10.120]  愛是很痛苦
[00:02:10.120 --> 00:02:11.760]  哭是很辛苦
[00:02:11.760 --> 00:02:14.040]  但我有時候情願痛苦辛苦
[00:02:14.040 --> 00:02:17.160]  比無感性甚至無人性好
[00:02:17.160 --> 00:02:19.160]  幾年前我女兒回來香港
[00:02:19.160 --> 00:02:21.000]  在一間銀行做實習
[00:02:21.000 --> 00:02:22.440]  做暑期實習
[00:02:22.440 --> 00:02:24.080]  我剛剛分開中國
[00:02:24.080 --> 00:02:26.440]  在中國要回多倫多的時候
[00:02:26.440 --> 00:02:27.640]  經過香港
[00:02:27.640 --> 00:02:29.000]  其實我特意留一留
[00:02:29.000 --> 00:02:31.040]  想見一見我女兒才走
[00:02:31.040 --> 00:02:32.800]  去到我女兒住的地方
[00:02:32.800 --> 00:02:35.200]  跟她出去吃完宵夜
[00:02:35.200 --> 00:02:36.640]  回來就睡一覺
[00:02:36.640 --> 00:02:38.360]  第二天早上我就要走了
[00:02:38.360 --> 00:02:40.960]  我記得我女兒上床睡著的時候
[00:02:40.960 --> 00:02:42.320]  我在客廳睡
[00:02:42.320 --> 00:02:44.200]  見到我女兒的背影
[00:02:44.200 --> 00:02:45.840]  我就很難過
[00:02:45.840 --> 00:02:48.080]  因為我明天早上就要走
[00:02:48.080 --> 00:02:49.280]  我沒辦法睡著
[00:02:49.280 --> 00:02:52.680]  我記得那天晚上我進了小廚房裡面
[00:02:52.680 --> 00:02:55.640]  打電話給我加拿大一位牧師
[00:02:55.640 --> 00:02:57.160]  他那邊是早上
[00:02:57.160 --> 00:02:58.040]  我那邊是晚上
[00:02:58.040 --> 00:03:01.120]  我一打通我就哭了很久
[00:03:01.120 --> 00:03:02.760]  那位牧師問我什麼事
[00:03:02.760 --> 00:03:06.360]  我說原來分開是這麼痛苦的
[00:03:06.360 --> 00:03:07.960]  我很不捨得我的女兒
[00:03:07.960 --> 00:03:09.680]  但第二天早上我也要離開
[00:03:09.680 --> 00:03:11.760]  也要回到多倫多
[00:03:11.760 --> 00:03:13.680]  愛是很痛苦是很辛苦
[00:03:13.680 --> 00:03:15.040]  但有時候人與人之間
[00:03:15.040 --> 00:03:17.760]  是需要有這種感情
[00:03:17.760 --> 00:03:19.800]  起了一本小說《神鵰俠侶》
[00:03:19.800 --> 00:03:21.360]  我想有些人可能看過
[00:03:21.360 --> 00:03:23.240]  李莫愁說過一句話
[00:03:23.240 --> 00:03:25.040]  她說問世間情為何物
[00:03:25.040 --> 00:03:27.880]  直教人生死相許
[00:03:27.880 --> 00:03:29.000]  人很想愛
[00:03:29.000 --> 00:03:31.080]  但有時候人不懂愛
[00:03:31.080 --> 00:03:32.080]  人要愛
[00:03:32.080 --> 00:03:33.520]  人也需要被愛
[00:03:33.520 --> 00:03:35.440]  這是人的本性
[00:03:35.440 --> 00:03:37.080]  是人的人性
[00:03:37.080 --> 00:03:38.160]  人不懂愛
[00:03:38.160 --> 00:03:40.400]  以致產生了很多的悲劇
[00:03:40.400 --> 00:03:43.600]  帶來了很多的痛苦
[00:03:43.600 --> 00:03:44.880]  我自己另外看一本小說
[00:03:44.880 --> 00:03:46.120]  是《倚天屠龍記》
[00:03:46.120 --> 00:03:48.760]  大家如果知道裡面的主角就是張無忌
[00:03:48.760 --> 00:03:50.200]  其實我看完也不是很明白
[00:03:50.200 --> 00:03:52.960]  為何那麼多人會喜歡他
[00:03:52.960 --> 00:03:54.200]  真的不是很明白
[00:03:54.200 --> 00:03:57.080]  小超 趙敏 紫若 朱怡
[00:03:57.080 --> 00:03:59.160]  嘩 那麼多人喜歡他
[00:03:59.160 --> 00:04:01.880]  為何我只有一個人喜歡我
[00:04:01.880 --> 00:04:02.800]  我不是很明白
[00:04:02.800 --> 00:04:04.280]  我看到他其實很煩
[00:04:04.280 --> 00:04:06.200]  因為他帶給人很多痛苦
[00:04:06.200 --> 00:04:08.360]  包括宋青書在內
[00:04:08.360 --> 00:04:09.880]  如果你看過你就知道
[00:04:09.880 --> 00:04:10.800]  真的很淒涼
[00:04:10.800 --> 00:04:12.040]  有時候我們發現
[00:04:12.040 --> 00:04:13.760]  愛我們很想愛
[00:04:13.760 --> 00:04:15.680]  也很需要愛
[00:04:15.680 --> 00:04:18.320]  但很多時候我們不懂得被愛
[00:04:18.320 --> 00:04:20.680]  以致變成了悲哀
[00:04:20.680 --> 00:04:21.880]  愛是很自然
[00:04:21.880 --> 00:04:23.200]  但並不容易的
[00:04:23.200 --> 00:04:25.160]  因為是本性 是人性
[00:04:25.160 --> 00:04:26.080]  可惜的是甚麼呢
[00:04:26.080 --> 00:04:28.200]  人的本性和人性當中
[00:04:28.200 --> 00:04:31.080]  往往參雜了一些罪性
[00:04:31.080 --> 00:04:33.800]  人因為自私和自我
[00:04:33.800 --> 00:04:37.200]  可以傷害甚至他最親的人
[00:04:37.200 --> 00:04:38.880]  我發現傷害最親的人
[00:04:38.880 --> 00:04:41.920]  其實真的是很痛苦的一件事
[00:04:41.920 --> 00:04:43.840]  我記得我兒子很小的時候
[00:04:43.840 --> 00:04:45.840]  他應該已經29歲了
[00:04:45.840 --> 00:04:47.280]  他已經不太懂中文
[00:04:47.280 --> 00:04:48.520]  他在加拿大出生
[00:04:48.520 --> 00:04:50.680]  他很小的時候學了一首歌
[00:04:50.680 --> 00:04:54.240]  就是黎瑞恩的《一人有一個夢想》
[00:04:54.240 --> 00:04:56.360]  對不起我引的歌比較舊
[00:04:56.360 --> 00:04:58.560]  因為我年紀差不多
