
[00:00:00.000 --> 00:00:03.060]  今天是教會三個語言一起講
[00:00:03.060 --> 00:00:06.980]  是一個肥辣比書最後一個章的時候
[00:00:06.980 --> 00:00:10.980]  在這個世代當中
[00:00:10.980 --> 00:00:13.800]  我們都是習慣了用手機
[00:00:13.800 --> 00:00:17.020]  手機呢 我們有很多互聯網
[00:00:17.020 --> 00:00:19.700]  無論你是用IG或者Facebook
[00:00:19.700 --> 00:00:22.520]  你都是知道很多世界各地的事情
[00:00:22.520 --> 00:00:23.820]  知道很多朋友的事情
[00:00:23.820 --> 00:00:26.460]  但是呢
[00:00:26.460 --> 00:00:28.580]  好像科技越來越發達
[00:00:28.580 --> 00:00:31.900]  人的緊密性是不是真的這麼緊密呢
[00:00:31.900 --> 00:00:34.740]  好像越來越都是有些疏遠的時間
[00:00:34.740 --> 00:00:37.360]  昨天有一個組長跟我說
[00:00:37.360 --> 00:00:39.040]  他們的小組正在討論
[00:00:39.040 --> 00:00:42.940]  究竟我們是不是網上崇拜
[00:00:42.940 --> 00:00:45.420]  是應該繼續還是不應該繼續呢
[00:00:45.420 --> 00:00:47.300]  我總言之網上崇拜就可以了
[00:00:47.300 --> 00:00:49.000]  不需要回來實體崇拜
[00:00:49.000 --> 00:00:50.720]  那麼
[00:00:50.720 --> 00:00:53.800]  這個是值得他們再思考的事情的時候
[00:00:53.800 --> 00:00:56.680]  好像彷彿我們在這個世代當中
[00:00:56.680 --> 00:00:59.020]  仍然有很多的個人主義
[00:00:59.020 --> 00:01:01.280]  那麼我們就要問為什麼要網上崇拜
[00:01:01.280 --> 00:01:05.160]  網上崇拜可能是給一些軟弱的肢體
[00:01:05.160 --> 00:01:07.760]  或者是長者的弟兄姊妹
[00:01:07.760 --> 00:01:08.820]  能夠方便
[00:01:08.820 --> 00:01:11.760]  但是這些方便往往好像都
[00:01:11.760 --> 00:01:13.600]  圍著自己的喜好
[00:01:13.600 --> 00:01:16.220]  所以我們很多時候都想網上崇拜
[00:01:16.220 --> 00:01:19.040]  而好像沒有什麼方法
[00:01:19.040 --> 00:01:22.540]  就是說純粹滿足自己的個人主義
[00:01:22.540 --> 00:01:23.520]  但是呢
[00:01:23.520 --> 00:01:27.040]  是未遺及到我們怎麼一起來獻祭
[00:01:27.040 --> 00:01:28.220]  我們的信仰
[00:01:28.220 --> 00:01:31.260]  有時候回來崇拜
[00:01:31.260 --> 00:01:33.760]  早點回來跟弟兄姊妹打招呼
[00:01:33.760 --> 00:01:34.980]  打招呼
[00:01:34.980 --> 00:01:37.500]  有一個連結
[00:01:37.500 --> 00:01:39.880]  不只是單單來聽一場道
[00:01:39.880 --> 00:01:41.220]  或者是來見拜主
[00:01:41.220 --> 00:01:42.460]  早點見面
[00:01:42.460 --> 00:01:43.620]  見弟兄姊妹
[00:01:43.620 --> 00:01:44.720]  能夠有一個連結
[00:01:44.720 --> 00:01:46.340]  或者是崇拜之後
[00:01:46.340 --> 00:01:47.500]  不要這麼快離開
[00:01:47.500 --> 00:01:49.980]  而是跟弟兄姊妹有一個連結
[00:01:49.980 --> 00:01:52.920]  有時候信了耶穌一段日子的時候
[00:01:52.920 --> 00:01:55.140]  我們問一問
[00:01:55.140 --> 00:01:58.260]  究竟我是哪一個真同伴呢?
[00:01:58.260 --> 00:02:00.540]  在信了耶穌這麼久的時候
[00:02:00.540 --> 00:02:03.800]  我究竟除了為了我自己的信仰
[00:02:03.800 --> 00:02:05.500]  去守望的時候
[00:02:05.500 --> 00:02:09.120]  我有沒有為了弟兄姊妹的信仰
[00:02:09.120 --> 00:02:10.820]  能夠禱告守望呢?
[00:02:10.820 --> 00:02:12.940]  我為誰去守望?
[00:02:12.940 --> 00:02:14.120]  同時你也要問
[00:02:14.120 --> 00:02:17.120]  今天誰為我的生命去守望?
[00:02:17.120 --> 00:02:19.800]  我今天希望能夠在這個
[00:02:19.800 --> 00:02:22.740]  我們在基督律同心前行
[00:02:22.740 --> 00:02:25.280]  其實除了我們有意象方受
