
[00:00:00.000 --> 00:00:02.300]  很開心大家一起有敬拜的時間
[00:00:02.300 --> 00:00:04.860]  我們先說到這裡,我們一起去禱告
[00:00:04.860 --> 00:00:07.980]  師父,我們感謝祢,也要我們一起去敬拜祢
[00:00:07.980 --> 00:00:11.500]  去親近祢,願祢的靈親自在我們當中幫助我們
[00:00:11.500 --> 00:00:13.940]  讓我們能夠真的去貼近祢的心意
[00:00:13.940 --> 00:00:16.160]  讓我們能夠緊緊地去跟隨祢
[00:00:16.160 --> 00:00:18.620]  讓祢的使命能夠成為我們的人生
[00:00:18.620 --> 00:00:21.260]  好讓我們緊緊地去服侍祢的時候
[00:00:21.260 --> 00:00:22.580]  我們經歷更豐盛
[00:00:22.580 --> 00:00:25.900]  禱告奉靠主耶穌,基督阿明,阿們
[00:00:25.900 --> 00:00:29.980]  好,弟兄姊妹,今天我們已經是去到這一季
[00:00:29.980 --> 00:00:34.600]  是第三...一至三月,最後呢
[00:00:34.600 --> 00:00:39.100]  應該一說了,因為下個星期林牧師,可能他會說另外一些題目也好
[00:00:39.100 --> 00:00:41.020]  想做一些 round up 一下的
[00:00:41.020 --> 00:00:44.420]  去年為什麼會想頂這個的季題呢
[00:00:44.420 --> 00:00:47.660]  是因為其實經歷了三年的疫情
[00:00:47.660 --> 00:00:49.460]  大家都有各自的困難
[00:00:49.460 --> 00:00:51.760]  去年是年尾計劃的時候就覺得
[00:00:51.760 --> 00:00:56.780]  今年應該是會向好的了,大家應該慢慢慢慢可以復常的了
[00:00:56.780 --> 00:01:00.500]  事實上我們看到的狀態,大家都頗為復常的,是吧
[00:01:00.500 --> 00:01:04.900]  所以就各自看到小組就開始一人去旅行了
[00:01:04.900 --> 00:01:07.340]  弟兄姊妹呢,上班就要上班
[00:01:07.340 --> 00:01:09.500]  出旅行的都已經出旅行的了
[00:01:09.500 --> 00:01:13.740]  但問題就是,是不是真的所有事情過了這個疫情之後
[00:01:13.740 --> 00:01:16.460]  我們就可以回復回以前呢
[00:01:16.460 --> 00:01:18.620]  其實呢,你和我都不知道的
[00:01:18.620 --> 00:01:23.460]  在過往這一個多月裡面,我們各個木區一邊開會一邊開會,又去聊天的時候
[00:01:23.460 --> 00:01:28.380]  我們都知道大家都開始向著我們的小組目標進發的了,是吧
