
[00:00:00.000 --> 00:00:08.980]  (主席) 今日的講道是八月份的年輕人什麼愛的續篇
[00:00:08.980 --> 00:00:12.700]  今日的題目是年輕人講真
[00:00:12.700 --> 00:00:16.700]  不過見到這個PPT 講愛真都幾特別
[00:00:16.700 --> 00:00:20.280]  都可以的 其實原本就是講真
[00:00:20.280 --> 00:00:25.220]  今日我們繼續講道就是神所愛的年輕人
[00:00:25.220 --> 00:00:28.840]  我們曾經在八月二十一號和二十二號
[00:00:28.840 --> 00:00:31.780]  我們談及十二歲的主耶穌基督
[00:00:31.780 --> 00:00:34.280]  所以我不再重覆太多
[00:00:34.280 --> 00:00:38.360]  假如大家想再記得解經的部分
[00:00:38.360 --> 00:00:44.460]  大家可以回到八月二十二號的講道錄音去聽
[00:00:44.460 --> 00:00:46.860]  但是我們都要溫習一下
[00:00:46.860 --> 00:00:49.420]  我們一同進入經文
[00:00:49.420 --> 00:00:56.060]  由經文去細想年輕人的模樣
[00:00:56.060 --> 00:01:05.060]  我們一起讀 請聽我讀《路加福音》第二章四十一節
[00:01:26.060 --> 00:01:30.500]  「在同行的人中間 走了一天的路程
[00:01:30.500 --> 00:01:34.820]  才在親屬和熟悉的人當中找他
[00:01:34.820 --> 00:01:40.360]  既找不著他 就回耶路撒冷去找他
[00:01:40.360 --> 00:01:43.660]  過了三天 他們發現他在聖殿裡
[00:01:43.660 --> 00:01:47.900]  坐在教師中間 一面聽 一面聞
[00:01:47.900 --> 00:01:54.500]  凡聽見他的人 都對他的聰明和應對感到驚奇」
[00:01:54.500 --> 00:01:59.200]  五十二節「耶穌的智慧和新量
[00:01:59.200 --> 00:02:04.740]  並臣和人喜愛他的心 都一齊增長」
[00:02:04.740 --> 00:02:07.840]  耶穌基督在祂十二歲的時候
[00:02:07.840 --> 00:02:11.120]  祂是跟著父親
[00:02:11.120 --> 00:02:16.060]  一家人去到耶路撒冷去守如月節
[00:02:16.060 --> 00:02:21.160]  一家人守滿了節期之後就回去
[00:02:21.160 --> 00:02:26.180]  在第一天的回程的晚上 父母發現耶穌不在
[00:02:26.180 --> 00:02:30.140]  於是又花一天的時間 又回到耶路撒冷
[00:02:30.140 --> 00:02:33.180]  在聖殿當中找到耶穌
[00:02:33.180 --> 00:02:35.260]  耶穌基督在聖殿當中做什麼?
[00:02:35.260 --> 00:02:40.080]  祂在聖殿當中聽老師講話 又在當中發問
[00:02:40.080 --> 00:02:45.740]  在第一世紀的猶太人的弟弟 男孩子
[00:02:45.740 --> 00:02:53.000]  跟拉比讀書的時候 上課的方法是用文答式
[00:02:53.000 --> 00:02:54.820]  討論方式來學習的
[00:02:54.820 --> 00:02:57.840]  因為他們認為最佳的學習就是
[00:02:57.840 --> 00:03:01.540]  當學生對有關的內容有一定的理解
[00:03:01.540 --> 00:03:05.600]  而他發問最好的問題 就顯示他更明白了
[00:03:05.600 --> 00:03:09.640]  耶穌基督就在那裏問問題
[00:03:09.640 --> 00:03:12.940]  顯示出他對神有相當多的認識
[00:03:12.940 --> 00:03:19.100]  我們見到耶穌基督是一個尋真求真 講真的一個慕道者
[00:03:19.100 --> 00:03:22.940]  祂學求真理 學慕神
[00:03:22.940 --> 00:03:27.620]  祂的學習是使到眾人十分驚訝的
[00:03:27.620 --> 00:03:33.120]  相信大家都記得這位叫人驚訝的年輕人的故事
[00:03:33.120 --> 00:03:36.760]  大家有沒有跟年輕人聊天
[00:03:36.760 --> 00:03:41.840]  聽到他們的問題而感到驚訝?
[00:03:41.840 --> 00:03:48.580]  他們的問題其實顯示他們很喜歡講求真實的東西
[00:03:48.580 --> 00:03:55.100]  所以其中一個特點就是年輕人會追尋自己的身份
[00:03:55.100 --> 00:03:59.440]  他們會問「我是誰?我是誰?」
[00:03:59.440 --> 00:04:03.700]  我們試想想 如果是兩三代前的父母
[00:04:03.700 --> 00:04:07.060]  可以很嚴格地跟子女說
[00:04:07.060 --> 00:04:12.020]  這樣的價值觀是重要的 這樣的身份是重要的
[00:04:12.020 --> 00:04:14.520]  但是現在可行嗎?
[00:04:14.520 --> 00:04:17.040]  現在當然不太可行
[00:04:17.040 --> 00:04:19.340]  因為社會大眾的文化都認為
[00:04:19.340 --> 00:04:24.660]  如果父母強迫孩子接受身份 接受某種價值觀
[00:04:24.660 --> 00:04:28.360]  這就糟糕了 吵架了
[00:04:28.360 --> 00:04:32.060]  況且我們的年輕人到了某個時間
[00:04:32.060 --> 00:04:37.420]  他們就會走出來宣佈「這就是我」 明不明白?
[00:04:37.420 --> 00:04:41.880]  「這就是我的身份」
[00:04:41.880 --> 00:04:44.680]  父母可以怎樣做呢?
[00:04:44.680 --> 00:04:48.120]  父母的做法就是等待
[00:04:48.120 --> 00:04:54.680]  等待到孩子出來說「我告訴你 我是誰?」
[00:04:54.680 --> 00:04:59.600]  所以父母現在的做法就是用很多的活動
[00:04:59.600 --> 00:05:04.120]  很多的方式讓我們的孩子參加這些活動
[00:05:04.120 --> 00:05:09.480]  希望這些活動幫助孩子尋找到自己是誰
[00:05:09.480 --> 00:05:12.980]  所以父母 尤其是中產的父母
[00:05:12.980 --> 00:05:16.400]  花了很多精力 你也試過吧
[00:05:16.400 --> 00:05:23.920]  就是培養自己的孩子的一些東西
[00:05:23.920 --> 00:05:32.860]  意思就是這些東西能夠建立到年輕人的身份
[00:05:32.860 --> 00:05:34.580]  如果這樣的話
[00:05:34.580 --> 00:05:39.300]  究竟這些家長和孩子
[00:05:39.300 --> 00:05:43.340]  他們怎樣想回教會呢?
[00:05:43.340 --> 00:05:46.920]  他們必須要決定哪些是真實的
[00:05:46.920 --> 00:05:51.520]  要比較一下 鋼琴回教會
[00:05:51.520 --> 00:05:54.420]  很多時候 情況告訴我們
[00:05:54.420 --> 00:06:00.640]  回教會是低於一切的東西
[00:06:00.640 --> 00:06:03.400]  譬如說 週日有比賽
[00:06:03.400 --> 00:06:06.180]  這麼大的比賽 回教會
[00:06:06.180 --> 00:06:08.600]  哦 比賽吧
