
[00:00:00.000 --> 00:00:03.580]  經過兩日的滿城風雨之後
[00:00:03.580 --> 00:00:06.400]  今天可以見到大家
[00:00:06.400 --> 00:00:08.200]  很感恩
[00:00:08.200 --> 00:00:11.520]  在這幅相片裏面
[00:00:11.520 --> 00:00:13.320]  大家見到
[00:00:13.320 --> 00:00:15.360]  有一隻狗狗
[00:00:15.360 --> 00:00:22.020]  這隻狗狗是很特別的,牠有職業的,有功勞的
[00:00:22.020 --> 00:00:23.800]  牠是
[00:00:23.800 --> 00:00:25.340]  一隻軍犬
[00:00:25.340 --> 00:00:29.180]  牠是美國軍隊裏面第一隻
[00:00:29.440 --> 00:00:29.960]  獲得
[00:00:29.960 --> 00:00:32.520]  軍銜的軍犬
[00:00:32.520 --> 00:00:36.860]  1917年,當時是第一次世界大戰的時候
[00:00:36.860 --> 00:00:38.660]  美國正式
[00:00:38.660 --> 00:00:41.220]  向德國宣戰
[00:00:41.220 --> 00:00:44.040]  之後在耶魯大學的附近
[00:00:44.040 --> 00:00:46.340]  有一個步兵團
[00:00:46.340 --> 00:00:48.640]  在那裏要加緊訓練,因為
[00:00:48.640 --> 00:00:52.480]  準備要去歐洲的戰場
[00:00:52.480 --> 00:00:57.080]  有士兵當時見到一隻流浪狗
[00:00:57.080 --> 00:00:58.880]  很可愛
[00:00:59.140 --> 00:01:03.480]  見牠經常在軍營附近出現,於是
[00:01:03.480 --> 00:01:06.300]  將牠偷運入軍隊裏面
[00:01:06.300 --> 00:01:10.660]  並且幫牠起了一個名字,就是Stubby
[00:01:10.660 --> 00:01:13.980]  Stubby後來被
[00:01:13.980 --> 00:01:16.040]  官長發現了
[00:01:16.040 --> 00:01:20.640]  士兵很害怕,一定不能留下,不知道怎麼辦
[00:01:20.640 --> 00:01:24.740]  誰知當時Stubby做了一個動作
[00:01:24.740 --> 00:01:28.320]  他舉起右前腳
[00:01:29.600 --> 00:01:35.740]  做了一個敬禮的動作,當時
[00:01:35.740 --> 00:01:42.400]  官長的心都融化了,准許他留在軍隊
[00:01:42.400 --> 00:01:45.720]  並且讓他成為軍隊裏面的一員
[00:01:45.720 --> 00:01:47.520]  不久之後
[00:01:47.520 --> 00:01:48.300]  Stubby
[00:01:48.300 --> 00:01:50.600]  被派上前線
[00:01:50.600 --> 00:01:52.900]  在一天的清晨
[00:01:52.900 --> 00:01:58.780]  當時大部分的美軍士兵都還在夢鄉之中的時候
[00:01:59.040 --> 00:02:01.600]  德軍向他們施放毒氣
[00:02:01.600 --> 00:02:09.020]  Stubby你知道狗的嗅覺很靈敏,他聞到就馬上狂吠
[00:02:09.020 --> 00:02:14.660]  還不斷挖士兵的衣褲,令他們醒來
[00:02:14.660 --> 00:02:19.000]  Stubby就拯救了他的同袍
[00:02:19.000 --> 00:02:21.060]  很多的美軍都
[00:02:21.060 --> 00:02:25.420]  醒了,不用被毒氣毒死
[00:02:26.440 --> 00:02:29.260]  Stubby就這樣被頒發
[00:02:29.260 --> 00:02:31.060]  二等兵的頭銜
[00:02:31.060 --> 00:02:33.860]  這是他第一個軍階
[00:02:33.860 --> 00:02:40.260]  在另一場戰役裏面,德軍又以接近3000兵力
[00:02:40.260 --> 00:02:42.820]  精銳部隊來的
[00:02:42.820 --> 00:02:46.920]  向600名的美軍進攻
[00:02:46.920 --> 00:02:51.280]  很明顯這場是實力懸殊的一場仗
[00:02:51.280 --> 00:02:53.580]  你想想3000對600
[00:02:54.340 --> 00:02:57.420]  當時美軍傾巢而出
[00:02:57.420 --> 00:02:58.700]  連
[00:02:58.700 --> 00:03:00.740]  司機、火頭
[00:03:00.740 --> 00:03:04.580]  軍樂隊的成員都要派上前線
[00:03:04.580 --> 00:03:08.680]  但他們仍然處於捱打的狀態
[00:03:08.680 --> 00:03:10.460]  死傷無數
[00:03:10.460 --> 00:03:16.620]  在炮火連天的前線戰場上
[00:03:16.620 --> 00:03:22.240]  士兵看著Stubby在戰場跑來跑去
[00:03:22.760 --> 00:03:25.060]  原來他不斷在尋找
[00:03:25.060 --> 00:03:29.680]  看看有哪些士兵和哪些同袍受傷
[00:03:29.680 --> 00:03:36.080]  當他發現有受傷的士兵時,他就趴下,用舌頭去舔那些士兵
[00:03:36.080 --> 00:03:37.860]  使得
[00:03:37.860 --> 00:03:41.700]  他的心情和受傷的傷兵
