
[00:00:00.000 --> 00:00:06.700]  早晨,今天很高興有機會回到UV和大家聚會
[00:00:06.700 --> 00:00:13.000]  今天我們看的經文是看《生命記》第八章一至二十節
[00:00:13.000 --> 00:00:16.920]  我會一邊說一邊讀這段經文
[00:00:16.920 --> 00:00:21.920]  今天的講題是要當紀念你的主
[00:00:21.920 --> 00:00:26.880]  說到紀念,我經常都會想,紀念的反義詞是什麼呢?
[00:00:26.880 --> 00:00:31.600]  你反面來說就是你忘記了一些東西
[00:00:31.600 --> 00:00:35.000]  這是我們生命當中經常發生的事
[00:00:35.000 --> 00:00:39.640]  做學生,我們知道上學背生字或者背數學公式
[00:00:39.640 --> 00:00:43.040]  我們都背得很辛苦,但又經常都忘記了
[00:00:43.040 --> 00:00:46.960]  作為家長,可能要記小朋友今天參加什麼活動
[00:00:46.960 --> 00:00:49.920]  他什麼時候要考試,什麼時候要上學
[00:00:49.920 --> 00:00:52.120]  都很難記的
[00:00:52.120 --> 00:00:55.600]  或者上班或者是侍奉的時候,我們經常都會問
[00:00:55.600 --> 00:00:57.600]  今天我要開什麼會呢?
[00:00:57.600 --> 00:01:02.080]  有什麼我今天要在限期之內做完的事呢?
[00:01:02.080 --> 00:01:06.360]  我們用盡全力去記得我們要記的事
[00:01:06.360 --> 00:01:10.360]  但我們經歷的就是一次又一次的會忘記
[00:01:10.360 --> 00:01:12.560]  會遺忘的
[00:01:12.560 --> 00:01:15.560]  而在《生命記》第八章這一段經文
[00:01:15.560 --> 00:01:19.080]  上帝同樣提醒我們說,我們要去紀念祂
[00:01:19.080 --> 00:01:23.800]  我們要記得祂的作為,我們要記得要遵守祂的律法
[00:01:23.800 --> 00:01:25.720]  上帝知道我們的記性有限
[00:01:25.720 --> 00:01:29.040]  所以他們知道我們經常都要有一個提醒
[00:01:29.040 --> 00:01:31.920]  就是提醒說我們是屬於祂的子民
[00:01:31.920 --> 00:01:35.320]  我們需要遵守祂的旨意
[00:01:35.320 --> 00:01:38.760]  在這段經文當中,我們分為兩個部份
[00:01:38.760 --> 00:01:43.920]  我們首先來看第一部份,是《生命記》第八章的一到十節
[00:01:43.920 --> 00:01:48.280]  如果有聖經的話,我們可以一起翻開來看看
[00:01:48.280 --> 00:01:50.320]  《生命記》第八章第一節
[00:01:50.320 --> 00:01:53.120]  我今天所吩咐的一切誡命
[00:01:53.120 --> 00:01:55.360]  你們都要謹守遵行
[00:01:55.360 --> 00:01:57.960]  好叫你們存活,人數真多
[00:01:57.960 --> 00:02:02.600]  且進去得耶和華向你們列祖,起世應去的那地
[00:02:02.600 --> 00:02:07.400]  你也要記念耶和華你的神是曠野引導你的這四十年
[00:02:07.400 --> 00:02:09.720]  是要苦練你,示現你
[00:02:09.720 --> 00:02:13.520]  要知道你心內如何,狠守他的誡命不幸
[00:02:13.520 --> 00:02:15.560]  他苦練你,任你飢餓
[00:02:15.560 --> 00:02:19.440]  將你和你的列祖所不認識的瑪拿刺給你吃
[00:02:19.440 --> 00:02:22.440]  使你知道人活著,不是單靠食物
[00:02:22.440 --> 00:02:26.160]  乃是靠耶和華口中所出的一切話
[00:02:26.160 --> 00:02:29.000]  這四十年,你的衣服沒有穿破
[00:02:29.000 --> 00:02:30.720]  你的腳也沒有腫
[00:02:30.720 --> 00:02:34.800]  你當心裡思想,耶和華你神管教你
[00:02:34.800 --> 00:02:37.600]  好像人管教兒子一樣
[00:02:37.600 --> 00:02:40.520]  所以你要謹守耶和華你神的誡命
[00:02:40.520 --> 00:02:43.320]  遵行祂的道,敬畏祂
[00:02:43.320 --> 00:02:45.840]  因為耶和華你神領你入美地
[00:02:45.840 --> 00:02:49.480]  那裡有地有河,有泉有源
[00:02:49.480 --> 00:02:54.200]  從山谷中流出水內,那地有小麥、大麥
[00:02:54.200 --> 00:02:58.040]  葡萄樹、無花果樹、石榴樹、橄欖樹和麥
[00:02:58.040 --> 00:03:01.120]  你在那地不缺食物,一無所缺
[00:03:01.120 --> 00:03:05.040]  那地的蛇頭是鐵,山內可以滑動
[00:03:05.040 --> 00:03:08.800]  你吃得飽足,就要稱眾耶和華你神
[00:03:08.800 --> 00:03:12.840]  因祂將那美地賜給你了
