
[00:00:00.000 --> 00:00:06.680]  感謝上帝剛才喜樂詩班所唱這首很有意思的詩歌
[00:00:06.680 --> 00:00:08.760]  《神未曾應許》
[00:00:08.760 --> 00:00:12.360]  也是楊伯倫弟兄的一個很好的作品
[00:00:12.360 --> 00:00:16.080]  我們在當中聽的時候真的很體會
[00:00:16.080 --> 00:00:18.720]  這正正就是基督的信仰
[00:00:18.720 --> 00:00:20.320]  我們今天信耶穌的人
[00:00:20.320 --> 00:00:24.240]  不代表我們人生就風平浪靜
[00:00:24.240 --> 00:00:26.200]  無災無難等上天堂
[00:00:26.200 --> 00:00:27.280]  不是這樣的
[00:00:27.280 --> 00:00:29.600]  我們今天是信耶穌的人
[00:00:29.600 --> 00:00:32.680]  我們正正是因為主耶穌活在我們裏面
[00:00:32.680 --> 00:00:37.920]  所以我們才能夠去面對我們人生各樣的風浪
[00:00:37.920 --> 00:00:39.720]  各樣的挑戰
[00:00:39.720 --> 00:00:42.000]  甚至我們意想不到的事
[00:00:42.000 --> 00:00:44.280]  在2018年剛剛開始的時候
[00:00:44.280 --> 00:00:47.320]  讓我們體會這個事實
[00:00:47.320 --> 00:00:48.840]  我們今天的信仰
[00:00:48.840 --> 00:00:51.400]  有沒有將這種福音
[00:00:51.400 --> 00:00:53.200]  本是神的大能
[00:00:53.200 --> 00:00:55.640]  這種寶貴的地方
[00:00:55.640 --> 00:00:58.040]  我們活現出來
[00:00:58.040 --> 00:01:00.720]  在上個星期余牧師和我們開始
[00:01:00.720 --> 00:01:03.840]  來討論《羅馬書》第一講的時候
[00:01:03.840 --> 00:01:05.560]  非常好的一個悼論
[00:01:05.560 --> 00:01:09.960]  也將《羅馬書》一個核心的主題帶出來
[00:01:09.960 --> 00:01:14.040]  因為福音確是神的大能
[00:01:14.040 --> 00:01:16.040]  要夠一切相信
[00:01:16.040 --> 00:01:19.880]  這個給我們今天作為信徒來看的時候
[00:01:19.880 --> 00:01:22.760]  你說傳福音是不是很容易呢?
[00:01:22.760 --> 00:01:25.000]  其實福音的信息內容
[00:01:25.000 --> 00:01:27.120]  小朋友都可以認識明白
[00:01:27.120 --> 00:01:30.280]  但是到了中年人、大人
[00:01:30.280 --> 00:01:31.840]  甚至老人家
[00:01:31.840 --> 00:01:33.760]  都一樣可以明白的
[00:01:33.760 --> 00:01:40.400]  上帝要所有人能夠認識福音的信息、真義
[00:01:40.400 --> 00:01:43.240]  就不是要用一些很深奧的東西
[00:01:43.240 --> 00:01:44.920]  方寫你明白
[00:01:44.920 --> 00:01:46.080]  要你不明白
[00:01:46.080 --> 00:01:47.440]  其實絕對不是這樣
[00:01:47.440 --> 00:01:50.200]  上帝要我們每一個人都能夠
