
[00:00:00.000 --> 00:00:00.960]  丁師傅,你們好
[00:00:00.960 --> 00:00:01.640]  我是陳牧師
[00:00:01.640 --> 00:00:03.520]  今天很高興來到這裏
[00:00:03.520 --> 00:00:07.280]  和你們分享這個題目
[00:00:07.280 --> 00:00:11.360]  叫做《疫警中鍛鍊忍耐》
[00:00:11.360 --> 00:00:12.960]  在我們開始之前
[00:00:12.960 --> 00:00:15.240]  我們首先作個禱告
[00:00:15.240 --> 00:00:17.480]  主佑我們感謝你今天給我們有機會
[00:00:17.480 --> 00:00:19.520]  我們可以在你的話語裏面
[00:00:19.520 --> 00:00:22.280]  我們可以彼此勉勵、彼此學習
[00:00:22.280 --> 00:00:24.760]  特別在這個疫情裏面
[00:00:24.760 --> 00:00:27.880]  我們真的要學習忍耐的功課
[00:00:27.880 --> 00:00:29.360]  主佑求禰祝福我們
[00:00:29.360 --> 00:00:32.640]  祈求禰的聖靈與我們同在
[00:00:32.640 --> 00:00:37.240]  讓我們能夠打開我們的心
[00:00:37.240 --> 00:00:39.160]  打開我們的心靈
[00:00:39.160 --> 00:00:41.560]  來接受禰的話語
[00:00:41.560 --> 00:00:42.280]  祝福我們
[00:00:42.280 --> 00:00:44.360]  讓我們今天所高舉的
[00:00:44.360 --> 00:00:46.360]  就是這位主耶穌
[00:00:46.360 --> 00:00:48.880]  祈禱奉靠主耶穌的名字而求
[00:00:48.880 --> 00:00:50.080]  Amen
[00:00:50.080 --> 00:00:52.560]  今天的題目就是
[00:00:52.560 --> 00:00:57.360]  《疫警中鍛鍊忍耐》
[00:00:57.360 --> 00:01:04.560]  經文是《雅各書》第五章第七節至第十五節
[00:01:04.560 --> 00:01:06.400]  我讀一次給你們聽
[00:01:06.400 --> 00:01:07.240]  弟兄姊妹
[00:01:07.240 --> 00:01:11.040]  你們要一直忍耐到主來
[00:01:11.040 --> 00:01:17.600]  你們看農夫怎樣耐心等候地裏寶貴的出產
[00:01:17.600 --> 00:01:21.080]  等候秋雨和春雨的降臨
[00:01:21.080 --> 00:01:25.120]  同樣你們也要忍耐心自堅定
[00:01:25.120 --> 00:01:27.640]  因爲主快來了
[00:01:27.640 --> 00:01:32.760]  弟兄姊妹不要互相埋怨免得受審判
[00:01:32.760 --> 00:01:37.760]  你們看審判的主已經站在門外了
[00:01:37.760 --> 00:01:38.680]  弟兄姊妹
[00:01:38.680 --> 00:01:44.600]  你們要效法從前奉主的名說話的先知
[00:01:44.600 --> 00:01:49.000]  以他們的受苦和忍耐爲榜樣
[00:01:49.000 --> 00:01:53.920]  我們認爲那些忍耐到底的人是有福的
[00:01:53.920 --> 00:01:56.840]  你們都知道若白的忍耐
[00:01:56.840 --> 00:02:00.800]  也知道主最終怎樣待他
[00:02:00.800 --> 00:02:05.400]  因爲主充滿憐憫和慈悲
[00:02:05.400 --> 00:02:07.360]  我的弟兄姊妹
[00:02:07.360 --> 00:02:10.040]  最重要的是不可起誓
[00:02:10.040 --> 00:02:12.600]  不可指着天起誓
[00:02:12.600 --> 00:02:15.280]  也不可指着地起誓
[00:02:15.280 --> 00:02:19.120]  不可指着任何東西起誓
[00:02:19.120 --> 00:02:25.640]  你們說事不是就說不是
[00:02:25.640 --> 00:02:28.640]  免得你們受審判
[00:02:28.640 --> 00:02:31.680]  不知道你們有沒有這樣的經驗
[00:02:31.680 --> 00:02:36.760]  去超市或者去Wal-Mart排隊
[00:02:36.760 --> 00:02:43.080]  通常我和師母去Wal-Mart買東西要排隊的時候
[00:02:43.080 --> 00:02:45.240]  通常人多
[00:02:45.240 --> 00:02:48.120]  會叫師母排另一條
[00:02:48.120 --> 00:02:50.000]  我就排這一條
[00:02:50.000 --> 00:02:52.600]  看看哪條龍去得快一點
[00:02:52.600 --> 00:02:56.880]  最後差不多要去到cashier那裏
[00:02:56.880 --> 00:03:01.440]  或者會換位置
[00:03:01.440 --> 00:03:06.320]  這個其實也是現代人的一個寫照
[00:03:06.320 --> 00:03:09.320]  就是說我們很心急
[00:03:09.320 --> 00:03:12.360]  我們沒有什麼耐性
[00:03:12.360 --> 00:03:18.480]  我不知道有多少人都是比較心急的人
[00:03:18.480 --> 00:03:23.160]  特別是開車準備回家
[00:03:23.160 --> 00:03:29.240]  有些人整條街到家之前
[00:03:29.240 --> 00:03:33.760]  已經脫下了安全帶
[00:03:33.760 --> 00:03:38.200]  打算一下車就回家
[00:03:38.200 --> 00:03:45.000]  其實今天我們學習的功課是忍耐的功課
[00:03:45.000 --> 00:03:49.800]  有人說忍耐是最困難的功課
[00:03:49.800 --> 00:03:54.080]  特別是現在每個人都要居家抗疫
[00:03:54.080 --> 00:03:59.720]  在家裏大家困在一起
[00:03:59.720 --> 00:04:03.560]  其實在這段時間裏可以這麼說
[00:04:03.560 --> 00:04:08.440]  我們是一個很好的training ground(訓練基地)
[00:04:08.440 --> 00:04:14.400]  給我們學習忍耐的功課
[00:04:14.400 --> 00:04:17.720]  特別我聽聞有些爸爸
[00:04:17.720 --> 00:04:20.680]  他們就認爲現在困在家裏
[00:04:20.680 --> 00:04:22.200]  其實上班會更加好
[00:04:22.200 --> 00:04:24.720]  因爲太太經常叫他做事
