
[00:00:00.000 --> 00:00:02.000]  各位等姐妹平安
[00:00:02.000 --> 00:00:04.500]  不知道大家還記不記得
[00:00:04.500 --> 00:00:06.500]  上年的落名主人
[00:00:06.500 --> 00:00:08.500]  在上年的11月20號
[00:00:08.500 --> 00:00:10.500]  莫生講了些甚麼呢
[00:00:10.500 --> 00:00:12.500]  我相信一般正常人
[00:00:12.500 --> 00:00:14.500]  都不會記得的
[00:00:14.500 --> 00:00:16.500]  甚至乎我一會問問莫生
[00:00:16.500 --> 00:00:18.500]  看他自己記不記得
[00:00:18.500 --> 00:00:20.500]  我記得不單止是因為
[00:00:20.500 --> 00:00:22.500]  我太太有一個很好的習慣
[00:00:22.500 --> 00:00:24.500]  她做聽到不記的習慣
[00:00:24.500 --> 00:00:26.500]  我可以隨時看一番
[00:00:26.500 --> 00:00:28.500]  還有因為當時莫生引用了
[00:00:28.500 --> 00:00:30.500]  一句說話當時令我很感動
[00:00:30.500 --> 00:00:32.500]  強壯乃少年人的榮耀
[00:00:32.500 --> 00:00:36.500]  白髮為老年人的尊榮
[00:00:36.500 --> 00:00:38.500]  當時就感覺到
[00:00:38.500 --> 00:00:42.500]  一個要求能夠終身去事主
[00:00:42.500 --> 00:00:44.500]  是一件非常榮耀的事
[00:00:44.500 --> 00:00:46.500]  而當時是尚未知道
[00:00:46.500 --> 00:00:48.500]  莫生這麼快就退休了
[00:00:48.500 --> 00:00:50.500]  所以今天想將
[00:00:50.500 --> 00:00:52.500]  尊嚴的另一句送給他
[00:00:52.500 --> 00:00:54.500]  白髮是榮耀的冠冕
[00:00:54.500 --> 00:00:56.500]  在公義的步上
[00:00:56.500 --> 00:00:58.500]  尊嚴獲獎
[00:00:58.500 --> 00:01:00.500]  為什麼上年會這麼感觸呢?
[00:01:00.500 --> 00:01:02.500]  因為當時開始思考到
[00:01:02.500 --> 00:01:04.500]  自己很快就入伍了
[00:01:04.500 --> 00:01:06.500]  其實上個月已經入伍了
[00:01:06.500 --> 00:01:08.500]  人生剩下的日子
[00:01:08.500 --> 00:01:10.500]  其實已經不多了
[00:01:10.500 --> 00:01:12.500]  所以要重新去編排一下
[00:01:12.500 --> 00:01:16.500]  生命上的優先次序
[00:01:16.500 --> 00:01:18.500]  我自小是一個很頑皮的人
[00:01:18.500 --> 00:01:20.500]  很小的時候在教會裏面
[00:01:20.500 --> 00:01:22.500]  見到教會有些氈
[00:01:22.500 --> 00:01:24.500]  我也不知道教會是否這樣安排
[00:01:24.500 --> 00:01:26.500]  因為教會是勞歸主
[00:01:26.500 --> 00:01:28.500]  我就很開心地去跟別人說
[00:01:28.500 --> 00:01:30.500]  哪個白髮婆婆走了
[00:01:30.500 --> 00:01:32.500]  真是太好了
[00:01:32.500 --> 00:01:34.500]  我嘴巴不收
[00:01:34.500 --> 00:01:36.500]  坦白說我到今天仍然覺得是這樣
[00:01:36.500 --> 00:01:38.500]  因為對於我們基督徒來說
[00:01:38.500 --> 00:01:40.500]  擺脫這個世界的困苦
[00:01:40.500 --> 00:01:42.500]  不見主面是好得無比的
[00:01:42.500 --> 00:01:44.500]  因為我們有永生的盼望
[00:01:44.500 --> 00:01:46.500]  基督徒對於生老病死
[00:01:46.500 --> 00:01:50.500]  是不應該有太多的禁忌的
[00:01:50.500 --> 00:01:52.500]  更何況大家在座可能都會想過
[00:01:52.500 --> 00:01:56.500]  死對我們來說其實一點都不可怕
[00:01:56.500 --> 00:01:58.500]  最可怕是什麼呢
[00:01:58.500 --> 00:02:00.500]  是老來不過得逝
[00:02:00.500 --> 00:02:04.500]  這是不少長者最大的憂慮
[00:02:04.500 --> 00:02:06.500]  所以今天的諾明主日
[00:02:06.500 --> 00:02:08.500]  我會分享一個我比較熟悉的
[00:02:08.500 --> 00:02:10.500]  公共政策的範疇
[00:02:10.500 --> 00:02:12.500]  因為往日在政府工作的時候
[00:02:12.500 --> 00:02:14.500]  有三年零八個月
[00:02:14.500 --> 00:02:16.500]  就是在前衛生福利事務局
[00:02:16.500 --> 00:02:18.500]  負責安老的政策
[00:02:18.500 --> 00:02:20.500]  而這幾年我留意到不少人
[00:02:20.500 --> 00:02:22.500]  無論是年輕或者年長
[00:02:22.500 --> 00:02:24.500]  都說自己很關心
[00:02:24.500 --> 00:02:26.500]  所謂人口老化的現象
[00:02:26.500 --> 00:02:28.500]  甚至有些人自己
[00:02:28.500 --> 00:02:30.500]  有段時間都還不是長者
[00:02:30.500 --> 00:02:32.500]  已經說自己很擔心
[00:02:32.500 --> 00:02:34.500]  所以我想和大家一起去認識
[00:02:34.500 --> 00:02:37.500]  所謂全民退保的政策是什麼
[00:02:37.500 --> 00:02:39.500]  不過大家放心
[00:02:39.500 --> 00:02:41.500]  我不會在這裡宣揚
[00:02:41.500 --> 00:02:43.500]  或者倡議什麼
[00:02:43.500 --> 00:02:45.500]  更加不會濫用聖經去說服大家
[00:02:45.500 --> 00:02:47.500]  支持還是反對
[00:02:47.500 --> 00:02:51.500]  所謂那些沒有資產入息審查的全民退保
[00:02:51.500 --> 00:02:53.500]  我只是想去證明
[00:02:53.500 --> 00:02:56.500]  原來聖經的教導對我們基督徒的生活
[00:02:56.500 --> 00:02:58.500]  是有用的
[00:02:58.500 --> 00:03:00.500]  是夠用的
[00:03:00.500 --> 00:03:02.500]  因為不知為什麼
[00:03:02.500 --> 00:03:04.500]  不少基督徒以為一進入現代社會
[00:03:04.500 --> 00:03:06.500]  很複雜的公共領域
[00:03:06.500 --> 00:03:08.500]  那些政策議題
[00:03:08.500 --> 00:03:10.500]  好像全民退保一樣
[00:03:10.500 --> 00:03:12.500]  我們手上這本
[00:03:12.500 --> 00:03:14.500]  二千年前寫成的
[00:03:14.500 --> 00:03:16.500]  聖經
[00:03:16.500 --> 00:03:18.500]  好像忽然之間
[00:03:18.500 --> 00:03:20.500]  是沒有用的
[00:03:20.500 --> 00:03:22.500]  因為聖經是在二千年前
[00:03:22.500 --> 00:03:24.500]  一個中東的農業社會寫成的
[00:03:24.500 --> 00:03:26.500]  裡面的教導
[00:03:26.500 --> 00:03:28.500]  在今天看來好像很多都不work
[00:03:28.500 --> 00:03:30.500]  甚至有些基督徒覺得
[00:03:30.500 --> 00:03:32.500]  聖經講的是廢的
[00:03:32.500 --> 00:03:34.500]  我想反駁
