
[00:00:00.000 --> 00:00:02.480]  根據續航教育的FORWARD PATHWAY
[00:00:02.480 --> 00:00:05.480]  這是美國的一個調查機構
[00:00:05.480 --> 00:00:07.480]  它的報告告訴我
[00:00:07.480 --> 00:00:09.680]  在美國
[00:00:09.680 --> 00:00:13.040]  有五分之一的高中學生
[00:00:13.040 --> 00:00:16.800]  曾經認真考慮過自殺
[00:00:16.800 --> 00:00:19.160]  這個就很可怕
[00:00:19.160 --> 00:00:20.800]  中學生
[00:00:20.800 --> 00:00:24.960]  五分之一曾經考慮過自殺
[00:00:24.960 --> 00:00:27.760]  這反映出美國人
[00:00:27.760 --> 00:00:29.160]  這些年輕人
[00:00:29.440 --> 00:00:31.560]  的心理健康問題
[00:00:31.560 --> 00:00:33.120]  十分嚴重
[00:00:33.120 --> 00:00:37.360]  2007年到2021年
[00:00:37.360 --> 00:00:41.120]  十歲到二十四歲的群組的自殺率
[00:00:41.120 --> 00:00:43.720]  增加了62%
[00:00:43.720 --> 00:00:46.960]  是不是很可怕呢 當你聽到這些的時候
[00:00:46.960 --> 00:00:51.840]  事實上年輕人自殺已經成為
[00:00:51.840 --> 00:00:54.040]  他們第二大的死亡原因
[00:00:54.040 --> 00:00:57.760]  所以你看到這個問題嚴重到一個地步
[00:00:58.240 --> 00:01:00.120]  不過當我看到這些數據的時候
[00:01:00.120 --> 00:01:01.200]  有時候我覺得很奇怪
[00:01:01.200 --> 00:01:02.320]  在美國
[00:01:02.320 --> 00:01:05.480]  在美國這麼闊綽的國家
[00:01:05.480 --> 00:01:07.000]  每個人都湧來美國
[00:01:07.000 --> 00:01:08.400]  來發美國夢
[00:01:08.400 --> 00:01:10.120]  為什麼美國人
[00:01:10.120 --> 00:01:11.840]  特別是這些年輕人
[00:01:11.840 --> 00:01:15.040]  有這麼多人會考慮自殺呢
[00:01:15.040 --> 00:01:17.680]  我們大家都知道美國不會餓死人的
[00:01:17.680 --> 00:01:19.160]  有沒有聽過美國餓死人呢
[00:01:19.160 --> 00:01:20.560]  不會的
[00:01:20.560 --> 00:01:22.640]  那些窮人都很胖很大
[00:01:22.640 --> 00:01:24.120]  胖是大隻的
[00:01:24.120 --> 00:01:25.160]  我們叫窮人
[00:01:25.160 --> 00:01:27.760]  有時候我們很不明白
[00:01:27.760 --> 00:01:29.240]  為什麼會有這種情況呢
[00:01:29.240 --> 00:01:32.000]  我們來美國生活這麼久的時候
[00:01:32.000 --> 00:01:32.960]  我們都會覺得
[00:01:32.960 --> 00:01:34.240]  只要你肯努力
[00:01:34.240 --> 00:01:37.000]  每個人都可以脫貧的
[00:01:37.000 --> 00:01:38.400]  只要你用心
[00:01:38.400 --> 00:01:40.720]  甚至你可以出頭
[00:01:40.720 --> 00:01:42.040]  有成功的日子
[00:01:42.040 --> 00:01:45.240]  所以我有時候很不明白
[00:01:45.240 --> 00:01:48.040]  為什麼美國的年輕一代
[00:01:48.040 --> 00:01:49.600]  會有這樣的情況出現
[00:01:49.600 --> 00:01:52.480]  當然很多的研究告訴我們
[00:01:52.480 --> 00:01:54.360]  其實原因有很多種
[00:01:54.480 --> 00:01:59.320]  例如學業、家庭、社會壓力
[00:01:59.320 --> 00:02:02.560]  以及人們沒有安全感
[00:02:02.560 --> 00:02:05.840]  這些都是導致年輕人自殺的原因
[00:02:05.840 --> 00:02:09.080]  但我發覺原來還有一些研究
[00:02:09.080 --> 00:02:10.440]  他們發現是什麼呢
[00:02:10.440 --> 00:02:13.320]  很多人自殺或者想自殺
[00:02:13.320 --> 00:02:16.960]  是因為得不到人的尊重
[00:02:16.960 --> 00:02:18.760]  這個都很重要
[00:02:18.760 --> 00:02:20.600]  我們人都想人尊重我們
[00:02:20.600 --> 00:02:22.160]  得不到人的尊重
[00:02:22.160 --> 00:02:23.320]  得不到人的認同
[00:02:23.520 --> 00:02:26.000]  或者發覺自己沒有辦法
[00:02:26.000 --> 00:02:29.960]  去實現他們的自我缺乏人性的目標
