
[00:00:00.000 --> 00:00:07.620]  好 八點鐘我們開始一起做一個祈禱
[00:00:07.620 --> 00:00:08.920]  我們是天父 我們很感謝你
[00:00:08.920 --> 00:00:12.600]  讓你來到星期三的晚上
[00:00:12.600 --> 00:00:15.680]  有機會在一個繁忙的一周裏面
[00:00:15.680 --> 00:00:19.600]  在中間可以停步
[00:00:19.600 --> 00:00:23.320]  不單止是安靜在你的面前
[00:00:23.320 --> 00:00:27.420]  更加是要聆聽你的聲音
[00:00:27.420 --> 00:00:33.820]  將祢求祢閲立我們在這裏一起的時間
[00:00:33.820 --> 00:00:39.620]  我們向祢的祈禱 求主祢垂聽
[00:00:39.620 --> 00:00:41.820]  祢對我們的宣講
[00:00:41.820 --> 00:00:48.400]  求我們打開耳朵去聽祢的話
[00:00:48.400 --> 00:00:50.600]  在這個禮拜的主一
[00:00:50.600 --> 00:00:54.460]  我們會紀念主耶穌基督的升天
[00:00:54.460 --> 00:01:00.240]  其實祂的升天是預備祂的聖靈再降臨在地上
[00:01:00.240 --> 00:01:02.320]  今天我們可以來到你的面前
[00:01:02.320 --> 00:01:05.040]  可以一起去思想你的話語
[00:01:05.040 --> 00:01:07.900]  可以一起去聆聽 一起去學習
[00:01:07.900 --> 00:01:11.560]  是完全是因為你聖靈與我們同在
[00:01:11.560 --> 00:01:13.240]  今天晚上我們一樣是這樣
[00:01:13.240 --> 00:01:16.680]  我們祈求的不是靠我們自己的努力
[00:01:16.680 --> 00:01:19.280]  或者聰明智慧
[00:01:19.280 --> 00:01:20.680]  我們可以認識你
[00:01:20.680 --> 00:01:24.980]  而是因著你聖靈在我們當中
[00:01:24.980 --> 00:01:27.880]  你的聖靈讓我們可以認識你的話語
[00:01:27.880 --> 00:01:31.480]  你的聖靈讓我們可以聆聽你的聲音
[00:01:31.480 --> 00:01:35.740]  你的聖靈讓我們有思考的能力
[00:01:35.740 --> 00:01:40.000]  有真正的生命去活你的話語
[00:01:40.000 --> 00:01:44.900]  願今晚成為我們弟兄姊妹的祝福
[00:01:44.900 --> 00:01:49.080]  求主祢聆聽我們的祈禱
[00:01:49.080 --> 00:01:51.680]  祝福我們在一起的時候
[00:01:51.680 --> 00:01:54.320]  我們這樣祈禱是奉主耶穌基督的名禱
[00:01:54.320 --> 00:01:56.320]  阿們
[00:01:56.320 --> 00:02:01.500]  好 歡迎大家來參與今晚夜晚
[00:02:01.500 --> 00:02:06.220]  我們繼續一起去思想《時事記》
[00:02:06.220 --> 00:02:08.600]  如果你之前一直有來
