
[00:00:00.000 --> 00:00:02.640]  問問大家先做一下統計
[00:00:02.640 --> 00:00:07.040]  你們回到現在我們拍攝宣道會
[00:00:07.040 --> 00:00:09.760]  開不開心?
[00:00:09.760 --> 00:00:12.160]  享不享受?
[00:00:12.160 --> 00:00:14.080]  滿足嗎?
[00:00:14.080 --> 00:00:17.840]  如果你覺得是很開心很享受很滿足的
[00:00:17.840 --> 00:00:20.320]  請你舉手來看一下
[00:00:20.320 --> 00:00:24.080]  好,育嬰房的也舉一下,麻煩育嬰房
[00:00:24.080 --> 00:00:26.480]  阿B你可不可以幫我數一下育嬰房裡面有多少隻手
[00:00:26.480 --> 00:00:28.720]  好,舉高一點,麻煩
[00:00:30.000 --> 00:00:53.200]  60個人,有些低一點的我都看到,雖然不敢舉得很高
[00:00:53.200 --> 00:00:56.880]  都覺得低低的,60個人
[00:00:56.880 --> 00:01:02.160]  滿意自己,即是享受自己現在回教會的生活
[00:01:02.160 --> 00:01:05.680]  我又從另一個角度再問一下
[00:01:05.680 --> 00:01:11.440]  你覺得神看回你
[00:01:11.440 --> 00:01:16.800]  神滿不滿意你現在過的教會生活呢?
[00:01:16.800 --> 00:01:18.480]  行不行?明不明白問題?
[00:01:18.480 --> 00:01:19.920]  不是你自己看自己
[00:01:19.920 --> 00:01:24.400]  是神看你,你現在的教會生活,你過的教會生活
[00:01:24.400 --> 00:01:28.880]  在上帝眼裡面,神滿不滿意呢?
[00:01:28.880 --> 00:01:34.320]  好,3秒,預備,1,2,3,請舉手
[00:01:34.320 --> 00:01:37.200]  好,阿B你照樣幫我看一看,麻煩你
[00:01:37.200 --> 00:01:41.600]  好,舉高一點行不行,這一下真的
[00:01:41.600 --> 00:01:53.920]  1,2,3,4,5,6,7,8,9,10,11,12
[00:01:53.920 --> 00:01:58.960]  OK,13個,OK,好
[00:01:58.960 --> 00:02:01.840]  當然每個人可能你們的要求都不同
[00:02:01.840 --> 00:02:04.640]  可能你們看神對你們的要求都不同
[00:02:04.640 --> 00:02:05.920]  但剛才一個統計就是
[00:02:05.920 --> 00:02:08.320]  自己滿意自己的就有60個人
[00:02:08.320 --> 00:02:12.400]  如果你自己覺得神是滿意你自己現在的教會生活
[00:02:12.400 --> 00:02:16.400]  有13個,等一下我們再說
[00:02:16.400 --> 00:02:18.400]  弟兄姊妹,今天我們看這一段的經文
[00:02:18.400 --> 00:02:22.720]  是貼薩羅尼加前書最後一段的經文
[00:02:22.720 --> 00:02:25.680]  當時保羅在貼薩羅尼加教會
[00:02:25.680 --> 00:02:27.680]  其實留了很短的時間
[00:02:27.680 --> 00:02:29.520]  大概可能都不夠一個月
[00:02:29.520 --> 00:02:31.920]  因為其實我們看聖經之道,看《士徒雲傳》
[00:02:31.920 --> 00:02:33.840]  保羅去到很多不同的地方
[00:02:33.840 --> 00:02:36.000]  當他建立教會很興旺的時候
[00:02:36.000 --> 00:02:38.080]  就有些人不斷逼迫他
[00:02:38.080 --> 00:02:42.080]  所以當時保羅就迫不得已離開貼薩羅尼加
[00:02:42.080 --> 00:02:44.640]  去到哥倫多的時候就寫一些信
