
[00:00:00.000 --> 00:00:02.480]  親愛的張叔,我們也感謝你讓我們齊聚在敬拜
[00:00:02.480 --> 00:00:05.280]  當踏入十二月的時候
[00:00:05.280 --> 00:00:08.000]  也讓我們記得張臨期
[00:00:08.000 --> 00:00:10.520]  記得你自己道成肉身來到我們中間
[00:00:10.520 --> 00:00:13.000]  是因為你愛我們的緣故
[00:00:13.000 --> 00:00:14.800]  以致你進入世界
[00:00:14.800 --> 00:00:17.120]  為我們去成就救恩,我們獻上感謝
[00:00:17.120 --> 00:00:20.440]  我也願意將整個敬拜獻上給你
[00:00:20.440 --> 00:00:21.640]  求你閱立
[00:00:21.640 --> 00:00:24.640]  聖靈在我們中間,你親自對我們說話
[00:00:24.640 --> 00:00:25.920]  我們等候你
[00:00:25.920 --> 00:00:27.920]  聽我們祈禱奉主耶穌的名字
[00:00:27.920 --> 00:00:28.800]  阿們
[00:00:30.720 --> 00:00:33.600]  踏入十二月,剛才也很感恩
[00:00:33.600 --> 00:00:35.600]  我們唱了一些聖誕的詩歌
[00:00:35.600 --> 00:00:38.280]  也提醒我們張臨期會來到
[00:00:38.280 --> 00:00:40.880]  我也想過踏入十二月
[00:00:40.880 --> 00:00:44.480]  分享一些張臨期的經文或訊息
[00:00:44.480 --> 00:00:47.760]  但是早前我們一直在分享
[00:00:47.760 --> 00:00:49.760]  啟示錄的七教會的時候
[00:00:49.760 --> 00:00:51.560]  就說了六間教會
[00:00:51.560 --> 00:00:53.200]  有一間還沒說
[00:00:53.200 --> 00:00:55.680]  所以完整一點的話
[00:00:55.680 --> 00:00:58.880]  我想也說第七間的教會
[00:00:59.400 --> 00:01:01.400]  我們之前其實就
[00:01:01.400 --> 00:01:03.200]  說了以弗所教會
[00:01:03.200 --> 00:01:04.080]  說了示梅那
[00:01:04.080 --> 00:01:05.000]  說了別加摩
[00:01:05.000 --> 00:01:05.880]  說了推亞推拉
[00:01:05.880 --> 00:01:06.560]  說了薩迪
[00:01:06.560 --> 00:01:08.080]  菲拉鐵菲
[00:01:08.080 --> 00:01:12.400]  今天會和大家分享魯底加教會
[00:01:12.400 --> 00:01:17.440]  魯底加這個地方其實是當時一個重要的金融中心
[00:01:17.440 --> 00:01:20.000]  當地盛產黑羊毛
[00:01:20.000 --> 00:01:22.760]  也有一間著名的醫院
