
[00:00:00.000 --> 00:00:05.020]  剛才我們說生命是靠著耶穌的德性
[00:00:05.020 --> 00:00:07.560]  這的確是聖經的應許
[00:00:07.560 --> 00:00:09.760]  因為耶穌在祂在世的時候
[00:00:09.760 --> 00:00:10.800]  祂已經跟我們這樣說
[00:00:10.800 --> 00:00:13.160]  跟門徒說,即是跟我們說
[00:00:13.160 --> 00:00:16.320]  不過耶穌在祂離開世界的時候
[00:00:16.320 --> 00:00:20.120]  祂說這個德性的路不是那麼容易的
[00:00:20.120 --> 00:00:23.260]  德性的路也不是說一步就到了
[00:00:23.260 --> 00:00:28.200]  所以有一句說話是耶穌在跟門徒臨離開之前說的
[00:00:28.200 --> 00:00:32.600]  祂說「在世上,你們有苦難」
[00:00:32.600 --> 00:00:34.720]  「在世上,你們有苦難」
[00:00:34.720 --> 00:00:36.260]  但是你們可以放心
[00:00:36.260 --> 00:00:38.660]  因為我已經勝了世界
[00:00:38.660 --> 00:00:42.320]  《約翰福音》的一段告別
[00:00:42.320 --> 00:00:46.860]  跟門徒告別的時候的幾番說話
[00:00:46.860 --> 00:00:48.760]  今天大家分享的聖經
[00:00:48.760 --> 00:00:53.720]  彼得前書裡面再一次回到苦的問題
[00:00:53.720 --> 00:00:58.400]  彼得前書是新約裡面,其中這麼多卷書裡面講苦難
[00:00:58.400 --> 00:01:01.720]  講得最透徹的其中一卷
[00:01:01.720 --> 00:01:03.120]  講得篇幅很多
[00:01:03.120 --> 00:01:10.460]  一至五章裡面差不多每一章都涉及到這個課題
[00:01:10.460 --> 00:01:13.900]  我覺得對著家庭區的人分享這個課題
[00:01:13.900 --> 00:01:16.120]  我覺得是大家會
[00:01:16.120 --> 00:01:18.900]  因為人生的年日都大一點
[00:01:18.900 --> 00:01:21.100]  都年紀長一點
[00:01:21.100 --> 00:01:23.820]  比起青年,比起青城
[00:01:23.820 --> 00:01:28.200]  我想我們對於人生裡面遭遇的困難、患難
[00:01:28.200 --> 00:01:30.100]  其實是特別體會多一點的
[00:01:30.100 --> 00:01:32.260]  不知道你同不同意
[00:01:32.260 --> 00:01:33.960]  所以昨天跟青年區說的時候
[00:01:33.960 --> 00:01:36.600]  我覺得好像不太明白
[00:01:36.600 --> 00:01:39.120]  但是我想我們會明白的
[00:01:39.120 --> 00:01:42.560]  其實人生的苦難
[00:01:42.560 --> 00:01:47.060]  其實是有很多個來源的
[00:01:47.060 --> 00:01:49.920]  彼得前書裡面講及到有兩種來源
[00:01:49.920 --> 00:01:53.420]  第一種是因為行惡而受苦
[00:01:53.420 --> 00:01:55.360]  前面有提及過
[00:01:55.360 --> 00:02:01.260]  第三章的前面,第二章的最後都有提及過
[00:02:01.260 --> 00:02:02.460]  意思就是說
[00:02:02.460 --> 00:02:06.000]  人生我們有時候會遇到這個痛或者這個苦
[00:02:06.000 --> 00:02:09.560]  是因為可能我們自己真的做得不對
[00:02:09.560 --> 00:02:10.960]  做得不好
[00:02:10.960 --> 00:02:12.720]  做錯事
[00:02:12.720 --> 00:02:15.520]  你承受,這是結果
[00:02:15.520 --> 00:02:18.460]  這個是人有時候會面對的
[00:02:18.460 --> 00:02:21.760]  就是你跟你的配偶吵架之後
[00:02:21.760 --> 00:02:24.920]  那些不開心起碼都要有一段時間
[00:02:24.920 --> 00:02:27.920]  那些苦可能是因為你一句說話
[00:02:27.920 --> 00:02:30.060]  可能是一個態度帶來的苦
[00:02:30.060 --> 00:02:31.260]  那就要承受
[00:02:31.260 --> 00:02:33.000]  這些是我們很明白的
[00:02:33.000 --> 00:02:36.520]  第二種的苦是什麼呢
[00:02:36.520 --> 00:02:39.960]  就是即使你行善
[00:02:39.960 --> 00:02:42.160]  即使你努力的是行義
[00:02:42.160 --> 00:02:45.300]  你覺得在你的人生處事裡面
[00:02:45.300 --> 00:02:48.360]  你努力做好的、行義的
[00:02:48.360 --> 00:02:51.320]  但有時候都會面對苦的
[00:02:51.320 --> 00:02:52.960]  特別在彼得前書
[00:02:52.960 --> 00:02:55.220]  他特別在這個處境會說很多這個
[00:02:55.220 --> 00:02:57.020]  因為初期教會的時候
[00:02:57.020 --> 00:03:00.160]  一群剛剛信耶穌的教會群體
[00:03:00.160 --> 00:03:03.660]  在一個外邦的世界裡面慢慢成長的時候
[00:03:03.660 --> 00:03:05.560]  他們會碰到一個問題就是
[00:03:05.560 --> 00:03:07.220]  很多人懷疑他們的
[00:03:07.220 --> 00:03:10.460]  一群很奇怪的人,來自猶太人的信仰
[00:03:10.460 --> 00:03:13.020]  不過怎知道猶太人反對他們
[00:03:13.020 --> 00:03:14.200]  逼迫他們
[00:03:14.200 --> 00:03:18.460]  很多人是因為信了耶穌的緣故,不扮偶像
[00:03:18.460 --> 00:03:22.360]  所以他們就會不再跟當時的朋友
[00:03:22.360 --> 00:03:26.160]  他們城市裡面的人一起同流合污、扮偶像
[00:03:26.160 --> 00:03:30.160]  聖經裡面說,等等說很多什麼行邪淫、惡辱、醉酒、謊言、群飲
[00:03:30.160 --> 00:03:31.660]  我們不做好事情的時候
[00:03:31.660 --> 00:03:34.320]  就會被做好這些事情的對象
[00:03:34.320 --> 00:03:37.760]  人就會誣衊或者被迫害
[00:03:37.760 --> 00:03:39.360]  這個是行義
[00:03:39.360 --> 00:03:40.520]  我們努力做好
[00:03:40.520 --> 00:03:43.260]  但仍然會面對苦的來臨
[00:03:43.260 --> 00:03:45.260]  我覺得除了這兩個之外
[00:03:45.260 --> 00:03:46.560]  有第三種的苦
[00:03:46.560 --> 00:03:48.260]  我覺得在我們人生裡面
[00:03:48.260 --> 00:03:49.760]  經常都會體會到的
[00:03:49.760 --> 00:03:51.960]  就是那些可能不是你做錯的事情
[00:03:51.960 --> 00:03:54.260]  或者不是因為我們做得好
[00:03:54.260 --> 00:03:55.460]  別人迫害我們
[00:03:55.460 --> 00:03:57.660]  就是這個世界
[00:03:57.660 --> 00:03:59.160]  因為有罪入侵
[00:03:59.160 --> 00:04:02.260]  這個世界本來就是一個墮落的世界
[00:04:02.260 --> 00:04:04.160]  有的時候
[00:04:04.160 --> 00:04:07.760]  有些災禍不是我們刻意造成的
[00:04:07.760 --> 00:04:11.260]  但我們就成為承受這些苦果的人
[00:04:11.260 --> 00:04:16.460]  就是如果發生車禍
[00:04:16.460 --> 00:04:19.560]  除了那個事事的司機
[00:04:19.560 --> 00:04:20.560]  可能他不小心
[00:04:20.560 --> 00:04:23.260]  或者他衝紅燈
[00:04:23.260 --> 00:04:24.360]  他不遵守交通規則
[00:04:24.360 --> 00:04:27.560]  他自己受到這個禍的影響之外
[00:04:27.560 --> 00:04:28.860]  有很多人受牽連的
[00:04:28.860 --> 00:04:30.960]  那些無辜者會受牽連的
[00:04:30.960 --> 00:04:33.760]  這些都是苦和禍的來源
[00:04:33.760 --> 00:04:34.960]  有時候病也是的
[00:04:34.960 --> 00:04:35.960]  很多人患病
[00:04:35.960 --> 00:04:37.460]  我們知道我們弟兄姊妹中間
[00:04:37.460 --> 00:04:38.360]  不愛我們自己
[00:04:38.360 --> 00:04:40.660]  或者很多家人都有疾病
[00:04:40.660 --> 00:04:43.160]  有時候這疾病不是我們吃東西不小心
[00:04:43.160 --> 00:04:45.160]  或者不是我們造成的
[00:04:45.160 --> 00:04:47.460]  就是這個世界受到污染
[00:04:47.460 --> 00:04:49.160]  這個世界有很多的問題
[00:04:49.160 --> 00:04:52.660]  我們中間就受到這些的影響
[00:04:52.660 --> 00:04:54.860]  這些都是禍患的來源
[00:04:54.860 --> 00:04:55.560]  我們中間
[00:04:55.560 --> 00:04:56.660]  我們家庭人
[00:04:56.660 --> 00:04:58.560]  我想養兒育女
[00:04:58.560 --> 00:05:03.360]  都給我們有很多很複雜的感覺
[00:05:03.360 --> 00:05:07.060]  就是你養你的新娃兒
[00:05:07.060 --> 00:05:09.460]  有個中國人有句智慧的名言
[00:05:09.460 --> 00:05:12.160]  養兒一百歲
[00:05:12.160 --> 00:05:14.860]  長憂九十九
[00:05:14.860 --> 00:05:16.160]  就是
[00:05:16.160 --> 00:05:17.860]  不知道你是不是這樣的
[00:05:17.860 --> 00:05:19.760]  都會的
[00:05:19.760 --> 00:05:21.060]  所以你想想你爸爸你媽媽
[00:05:21.060 --> 00:05:22.660]  他年紀都七十幾八十幾了
[00:05:22.660 --> 00:05:25.060]  他都可能在憂你
[00:05:25.060 --> 00:05:26.460]  就是這樣
[00:05:26.460 --> 00:05:30.660]  我想是那種的
[00:05:30.660 --> 00:05:33.360]  有時候面對家庭
[00:05:33.360 --> 00:05:34.960]  有時候面對職場工作
[00:05:34.960 --> 00:05:38.560]  我想都會帶給我們這些苦的感覺
[00:05:38.560 --> 00:05:41.060]  聖經在這裡總體來說是鼓勵我們
[00:05:41.060 --> 00:05:43.960]  無論這些苦是來自什麼來源都好
[00:05:43.960 --> 00:05:46.260]  我們要繼續怎樣行善
[00:05:46.260 --> 00:05:47.060]  彼得鼓勵我們
[00:05:47.060 --> 00:05:49.060]  繼續要做一個義人
[00:05:49.060 --> 00:05:50.860]  行善的裏面
[00:05:50.860 --> 00:05:52.760]  就是不要被惡所成過
[00:05:52.760 --> 00:05:54.660]  但是在這過程中間
[00:05:54.660 --> 00:05:56.360]  怎樣可以去跨性呢
[00:05:56.360 --> 00:05:57.760]  我覺得這段經文
[00:05:57.760 --> 00:06:00.860]  今天就給我們有幾個很重要的提醒
[00:06:00.860 --> 00:06:02.060]  或者給我們有幾個信念
[00:06:02.060 --> 00:06:03.760]  是我們要堅持的
[00:06:03.760 --> 00:06:05.460]  大家打開聖經好不好
[00:06:05.460 --> 00:06:08.060]  第三章彼得前書
[00:06:08.060 --> 00:06:10.360]  由第十三節到四中六節
[00:06:10.360 --> 00:06:11.360]  都頗長的
[00:06:11.360 --> 00:06:12.860]  一個連貫的課題
[00:06:12.860 --> 00:06:15.560]  所以今天會講得較長的經文
[00:06:15.560 --> 00:06:19.460]  第一段由十三節開始
[00:06:19.460 --> 00:06:21.360]  一直到第十六節
[00:06:21.360 --> 00:06:24.160]  十三節到第十六節
[00:06:24.160 --> 00:06:25.660]  我們請姊妹讀一次好不好
[00:06:25.660 --> 00:06:26.960]  請
[00:06:26.960 --> 00:06:29.360]  你們若是熱心行善
[00:06:29.360 --> 00:06:31.360]  有誰害你們呢
[00:06:31.360 --> 00:06:33.760]  你們就是為義受苦
[00:06:33.760 --> 00:06:35.460]  也是有福的
[00:06:35.460 --> 00:06:37.360]  不要怕人的威嚇
[00:06:37.360 --> 00:06:39.060]  也不要驚慌
[00:06:39.060 --> 00:06:42.160]  只要心裡專注基督為聖
