
[00:00:00.000 --> 00:00:02.000]  各位 Friends
[00:00:02.000 --> 00:00:04.000]  我們這個題目
[00:00:04.000 --> 00:00:06.000]  會講一年
[00:00:06.000 --> 00:00:08.000]  不知道會講多少次
[00:00:08.000 --> 00:00:10.000]  但安排上
[00:00:10.000 --> 00:00:12.000]  起碼有八次
[00:00:12.000 --> 00:00:14.000]  每一次都是講一個人物
[00:00:14.000 --> 00:00:16.000]  其實每一個人物
[00:00:16.000 --> 00:00:18.000]  都是非常之
[00:00:18.000 --> 00:00:20.000]  可以我們用
[00:00:20.000 --> 00:00:22.000]  很多時間去體會
[00:00:22.000 --> 00:00:24.000]  裡面那個經文的內容
[00:00:24.000 --> 00:00:26.000]  例如這個
[00:00:26.000 --> 00:00:28.000]  一個被誤解的呼召
[00:00:28.000 --> 00:00:30.000]  就是摩西那個經歷
[00:00:30.000 --> 00:00:32.000]  他怎樣被呼召
[00:00:32.000 --> 00:00:34.000]  其實如果你看那段經文
[00:00:34.000 --> 00:00:36.000]  是非常之
[00:00:36.000 --> 00:00:38.000]  長的一段經文
[00:00:38.000 --> 00:00:40.000]  由三章一直打下去
[00:00:40.000 --> 00:00:42.000]  當然讀就讀十 一至十二節
[00:00:42.000 --> 00:00:44.000]  但大家可以自己
[00:00:44.000 --> 00:00:46.000]  拿手機打開聖經 我都會講多一點
[00:00:46.000 --> 00:00:48.000]  希望可以
[00:00:48.000 --> 00:00:50.000]  很快地
[00:00:50.000 --> 00:00:52.000]  讓大家去體會到
[00:00:52.000 --> 00:00:54.000]  一個重點 就是我們思想呼召
[00:00:54.000 --> 00:00:56.000]  的這個問題
[00:00:56.000 --> 00:00:58.000]  我們
[00:00:58.000 --> 00:01:00.000]  看看
[00:01:00.000 --> 00:01:02.000]  看回這個題目
[00:01:02.000 --> 00:01:04.000]  重複再看
[00:01:04.000 --> 00:01:06.000]  和大家思想的問題
[00:01:06.000 --> 00:01:08.000]  這個圖就是
[00:01:08.000 --> 00:01:10.000]  二十幾年前的一套卡通片
[00:01:10.000 --> 00:01:12.000]  叫埃及王子 斯匹堡拍的
[00:01:12.000 --> 00:01:14.000]  他是猶太人
[00:01:14.000 --> 00:01:16.000]  我這套戲也是非常喜歡看
[00:01:16.000 --> 00:01:18.000]  也是講摩西
[00:01:18.000 --> 00:01:20.000]  和法老之間的故事
[00:01:20.000 --> 00:01:22.000]  就是出埃及的故事
[00:01:22.000 --> 00:01:24.000]  這一幕就是
[00:01:24.000 --> 00:01:26.000]  摩西看到這個異象
[00:01:26.000 --> 00:01:28.000]  這個異象就是
[00:01:28.000 --> 00:01:30.000]  火燒荊棘 但荊棘卻不能燒毀
[00:01:30.000 --> 00:01:32.000]  有很多不同的解釋
[00:01:32.000 --> 00:01:34.000]  其中一個解釋就是
[00:01:34.000 --> 00:01:36.000]  荊棘代表以色列人
[00:01:36.000 --> 00:01:38.000]  他在苦難裏面
[00:01:38.000 --> 00:01:40.000]  但似乎在苦難
[00:01:40.000 --> 00:01:42.000]  這個火裏面
[00:01:42.000 --> 00:01:44.000]  他卻不能被燒毀 因為神保守
[00:01:44.000 --> 00:01:46.000]  就由這裏開始
[00:01:46.000 --> 00:01:48.000]  這麼奇特的異象
[00:01:48.000 --> 00:01:50.000]  吸引了摩西八十歲
[00:01:50.000 --> 00:01:52.000]  已經是八十歲的
[00:01:52.000 --> 00:01:54.000]  在曠野裏面
[00:01:54.000 --> 00:01:56.000]  跟他的岳父葉剔郎
