
[00:00:00.000 --> 00:00:02.000]  大家 早安
[00:00:02.000 --> 00:00:05.000]  讓我們再一次同心低頭禱告
[00:00:05.000 --> 00:00:09.000]  天圖我們多謝祢
[00:00:09.000 --> 00:00:12.000]  讓我們在清晨可以去敬拜祢
[00:00:12.000 --> 00:00:15.000]  可以去學習祢的話語
[00:00:15.000 --> 00:00:17.000]  我們禱告 祈求聖靈
[00:00:17.000 --> 00:00:19.000]  引導我們進入真理
[00:00:19.000 --> 00:00:21.000]  在這個末世的時代
[00:00:21.000 --> 00:00:24.000]  讓我們謹慎 警醒
[00:00:24.000 --> 00:00:26.000]  按祢的心意而活
[00:00:26.000 --> 00:00:28.000]  以致我們見祢面的時候
[00:00:28.000 --> 00:00:31.000]  可以得著祢的稱許
[00:00:31.000 --> 00:00:33.000]  求祢幫助 指引我們
[00:00:33.000 --> 00:00:37.000]  奉耶穌基督的聖名 阿們
[00:00:37.000 --> 00:00:41.000]  在日本曾經有一個宗教
[00:00:41.000 --> 00:00:43.000]  一個宗派 叫做奧姆真理教
[00:00:43.000 --> 00:00:46.000]  這個派是不講真理的
[00:00:46.000 --> 00:00:48.000]  他們講什麼呢
[00:00:48.000 --> 00:00:50.000]  他們很喜歡預言
[00:00:50.000 --> 00:00:52.000]  什麼時候末日
[00:00:52.000 --> 00:00:54.000]  末日什麼時候到
[00:00:54.000 --> 00:00:57.000]  你要入教才能夠得救
[00:00:57.000 --> 00:00:59.000]  他們曾經預言
[00:00:59.000 --> 00:01:01.000]  2003年的11月
[00:01:01.000 --> 00:01:03.000]  就是世界末日
[00:01:03.000 --> 00:01:05.000]  結果呢
[00:01:05.000 --> 00:01:07.000]  真是末日
[00:01:07.000 --> 00:01:09.000]  不過不是世界
[00:01:09.000 --> 00:01:12.000]  是他們教主麻原彰晃的世界末日
[00:01:12.000 --> 00:01:14.000]  如果你記得
[00:01:14.000 --> 00:01:16.000]  因為他們麻原彰晃
[00:01:16.000 --> 00:01:21.000]  是主謀策劃東京地鐵的沙林毒氣
[00:01:21.000 --> 00:01:24.000]  在2004年的2月
[00:01:24.000 --> 00:01:26.000]  就被判處死刑
[00:01:27.000 --> 00:01:30.000]  這些邪教當然是不可信
