
[00:00:00.000 --> 00:00:02.000]  我不知道你們的感受是怎樣
[00:00:02.000 --> 00:00:05.460]  過去兩個星期我自己和大家一起
[00:00:05.460 --> 00:00:09.740]  都領受很豐盛的神的瀑人給我們的訊息
[00:00:09.740 --> 00:00:11.560]  給我們激勵的訊息
[00:00:11.560 --> 00:00:13.020]  給我們提醒的訊息
[00:00:13.020 --> 00:00:14.520]  剛才Elkie提過
[00:00:14.520 --> 00:00:16.420]  朱昌靈給我的感受
[00:00:16.420 --> 00:00:18.060]  朱昌靈牧師給我的感受
[00:00:18.060 --> 00:00:20.060]  就是一個很地道
[00:00:20.060 --> 00:00:23.800]  在一個很偏遠的地區多年的服侍
[00:00:23.800 --> 00:00:26.720]  但他不單單是一個多年的服侍
[00:00:26.720 --> 00:00:28.220]  在他的生命裏面
[00:00:28.220 --> 00:00:31.100]  去孕育出很多未來的宣教士
[00:00:31.100 --> 00:00:33.600]  在中福團的侍奉當中
[00:00:33.600 --> 00:00:37.720]  我們看到神興起一代又一代的宣教士
[00:00:37.720 --> 00:00:39.300]  繼續為主去作供
[00:00:39.300 --> 00:00:42.100]  所以他不單單是一個人的努力
[00:00:42.100 --> 00:00:44.100]  在太北幾十年前的工作
[00:00:44.100 --> 00:00:46.860]  而是這個工作一段的延伸下去
[00:00:46.860 --> 00:00:49.900]  黃一平牧師大家可能會比較熟悉
[00:00:49.900 --> 00:00:52.120]  在他的生命裏面我特別記得
[00:00:52.120 --> 00:00:55.240]  他說我五十年來只是做一份工
[00:00:55.580 --> 00:00:58.520]  甚至可能他未來也是做這一份工
[00:00:58.520 --> 00:01:00.780]  我不知道你記不記得他講過
[00:01:00.780 --> 00:01:02.360]  給我們一個很大的激勵
[00:01:02.360 --> 00:01:03.520]  就是說
[00:01:03.520 --> 00:01:06.460]  用一個汽油作一個比喻
[00:01:06.460 --> 00:01:07.660]  比喻作聖靈
[00:01:07.660 --> 00:01:10.360]  汽油可以用來點火
[00:01:10.360 --> 00:01:12.820]  汽油可以用來擦油漬
[00:01:12.820 --> 00:01:15.320]  但是汽油最重要的目的
