
[00:00:00.000 --> 00:00:04.000]  各位早晨,多謝何大兄的讀經
[00:00:04.000 --> 00:00:08.000]  很開心今天來到中間可以分享上帝的訊息
[00:00:08.000 --> 00:00:10.000]  門徒是有記號的
[00:00:10.000 --> 00:00:14.000]  我們門徒不單止有呼吸
[00:00:14.000 --> 00:00:17.000]  我們在聖經裡面是講有生命表達
[00:00:17.000 --> 00:00:22.000]  今天想講門徒其中一種生命表達是愛
[00:00:22.000 --> 00:00:26.000]  愛我想很多人都知道
[00:00:26.000 --> 00:00:30.000]  如果寫一個愛字我想鬥快寫三秒就寫完
[00:00:30.000 --> 00:00:33.000]  英文還有love可能一秒鐘
[00:00:33.000 --> 00:00:39.000]  但是要認識愛可能窮一生才明白裡面的複雜度
[00:00:39.000 --> 00:00:41.000]  我兒女都大了都在工作
[00:00:41.000 --> 00:00:46.000]  他們小時候女兒的志願就是長大後跟爸爸結婚
[00:00:46.000 --> 00:00:48.000]  現在一定不會了
[00:00:48.000 --> 00:00:50.000]  因為跟男朋友都快結婚了
[00:00:50.000 --> 00:00:52.000]  都很開心男朋友很喜歡
[00:00:52.000 --> 00:00:54.000]  今天他再看愛很不同
[00:00:54.000 --> 00:00:57.000]  長大後他的志願就是跟哥哥結婚
[00:00:57.000 --> 00:00:59.000]  當然不會了
[00:00:59.000 --> 00:01:01.000]  因為當時看愛很簡單
[00:01:01.000 --> 00:01:04.000]  走在一起是一個家庭的愛都是很重要
[00:01:04.000 --> 00:01:09.000]  愛有很多層面我們都會有不同的體驗
[00:01:09.000 --> 00:01:12.000]  我想世界不缺乏愛故事
[00:01:12.000 --> 00:01:16.000]  但是彼此相愛人乃至缺乏
[00:01:16.000 --> 00:01:22.000]  在不同的角度我們都會見到不同的方向有描述愛
[00:01:22.000 --> 00:01:24.000]  例如文學角度
[00:01:24.000 --> 00:01:26.000]  如果我們看海明威
[00:01:26.000 --> 00:01:28.000]  我小時候看過他的書老人與海
