
[00:00:00.000 --> 00:00:06.560]  大家好,今天題目是「我要靠一靠」
[00:00:06.560 --> 00:00:10.320]  靠一靠不是靠人,是靠一根柱子
[00:00:10.320 --> 00:00:15.280]  要靠一靠,為何要靠一靠?
[00:00:15.280 --> 00:00:20.240]  因為累、辛苦、索氣
[00:00:20.240 --> 00:00:30.000]  有個好笑的事,很多非洲人喜歡這樣靠一靠
[00:00:30.000 --> 00:00:33.520]  經常靠一靠,好像很沒神氣,為何呢?
[00:00:33.520 --> 00:00:40.240]  原因是有一段時間,非洲有很多地方是饑荒的
[00:00:40.240 --> 00:00:47.280]  很艱難的,人們瘦得像棒骨,為何經常靠一靠?
[00:00:47.280 --> 00:00:53.280]  無力,食不足,無力,所以經常靠一靠
[00:00:53.280 --> 00:00:56.880]  我有一段時間身體不好,都靠一靠
[00:00:56.880 --> 00:01:00.080]  我發覺自己站起來要扶一扶
[00:01:00.080 --> 00:01:04.480]  上樓梯要扶手,扶手覺得有點骯髒
[00:01:04.480 --> 00:01:10.320]  一見到有椅子,如果沒有人爭,我都先坐一坐
[00:01:10.320 --> 00:01:13.120]  雖然坐一坐又起身,但坐一坐都好,為何?
[00:01:13.120 --> 00:01:18.160]  無力,這個無力會否是參酸呢?
[00:01:18.160 --> 00:01:24.000]  參酸不會,恐無有力,不過這是參酸的真實說話
[00:01:24.000 --> 00:01:27.920]  我要靠一靠,我要挨一挨
[00:01:27.920 --> 00:01:31.680]  《生命說》和大家繼續看聖經人、聖經事
[00:01:31.680 --> 00:01:34.240]  看看上主的工作
[00:01:34.240 --> 00:01:37.440]  《禪師經》疑言十六章
[00:01:37.440 --> 00:01:43.520]  菲利士人的首領聚集,經常這樣說,薩姆爾寫出來
[00:01:43.520 --> 00:01:49.360]  有幾個首領沒有說,其實不緊要,薩姆爾都知道這件事
[00:01:49.360 --> 00:01:53.520]  菲利士人的首領聚集,第一件要留意的是
[00:01:53.520 --> 00:01:59.200]  要給他們的神大菌獻大祭,留意讀字
[00:01:59.200 --> 00:02:02.720]  要給他們的神,即是菲利士的神
[00:02:02.720 --> 00:02:08.080]  菲利士的神叫大菌,讀菌,病菌的菌
[00:02:08.080 --> 00:02:13.520]  大菌,不要讀大菌,大菌是什麼呢?
[00:02:13.520 --> 00:02:19.040]  是一個男性的愚昧人生,男性
[00:02:19.040 --> 00:02:22.720]  很大隻,恐無有力,大菌
[00:02:22.720 --> 00:02:28.880]  因此推測菲利士是由海上上岸登陸的民族
[00:02:28.880 --> 00:02:33.200]  要獻不是普通的祭,要獻個大祭,因為很開心
[00:02:33.200 --> 00:02:40.720]  因為我們的神大菌將我們的仇敵參孫交在我們手中了
[00:02:40.720 --> 00:02:44.800]  這麼大力的參孫都被我們贏了
[00:02:44.800 --> 00:02:49.360]  其實他們當時以往的人都非常spiritualized
[00:02:49.360 --> 00:02:57.840]  即是將他們日常生活很多東西都非常迷信地歸因於靈界的工作
[00:02:57.840 --> 00:03:01.040]  我們能夠打贏是因為神幫助我們
[00:03:01.040 --> 00:03:03.840]  我們打輸是因為神不喜歡我們
[00:03:03.840 --> 00:03:07.440]  我們打輸是因為他的神比我們的神厲害
[00:03:07.440 --> 00:03:11.680]  他們經常想,今天不精神,因為我的神沒有給我精神
[00:03:11.680 --> 00:03:14.960]  因為今天不精神,是因為我的神不喜歡我
[00:03:14.960 --> 00:03:17.840]  他們要找一個辦法去討好神
[00:03:17.840 --> 00:03:24.720]  我在印度見到很多,他們什麼都是神今天對我好或不好
[00:03:24.720 --> 00:03:28.960]  這個神作弄我,我要找一個大力的神去壓這個神
[00:03:28.960 --> 00:03:36.400]  很開心,他們要獻祭,歡樂,讚美他們的神
[00:03:36.400 --> 00:03:45.920]  原來這個參孫的被捉失敗是令到外邦的神被榮耀
[00:03:45.920 --> 00:03:48.000]  這真是很不值
[00:03:48.000 --> 00:03:50.320]  本來應該是我們的神得到榮耀
[00:03:50.320 --> 00:03:57.760]  但現在外邦的假神反而要接受大祭禮慶祝
[00:03:57.760 --> 00:04:00.960]  這真是很不好
[00:04:00.960 --> 00:04:05.280]  眾人看見參孫,就讚美他們的神
[00:04:05.280 --> 00:04:10.240]  你看,我們的神將毀壞我們的地殺害我們許多人的仇
[00:04:10.240 --> 00:04:14.400]  你搞在我們手中,見到參孫就讚美他們的神
[00:04:14.400 --> 00:04:24.480]  他們獻祭,獻大禮,參孫反而令到大菌神被讚美
[00:04:24.480 --> 00:04:29.120]  真是很諷刺,也很可悲
[00:04:29.120 --> 00:04:41.920]  他們正燕落的時候,就說不如叫參孫出來在我們面前戲耍戲耍
[00:04:41.920 --> 00:04:50.880]  戲耍戲耍即是甚麼?我們捉他出來看看他,玩他,整他,當猴子般搞他,玩他
[00:04:50.880 --> 00:04:53.680]  不如捉參孫出來
[00:04:53.680 --> 00:05:01.680]  於是就將參孫從監裡提出來,在眾人面前戲耍他
[00:05:01.680 --> 00:05:06.640]  湯姆斯特站在兩處中間,就戲耍他
[00:05:06.640 --> 00:05:16.480]  然後他瞎了,其實也挺慘,他瞎了,你想想當時有沒有眼藥,有沒有眼科
