
[00:00:00.000 --> 00:00:04.120]  巴拉很有可能成為一個新的魔勢
[00:00:04.120 --> 00:00:06.520]  那你說巴拉失敗了什麼呢?
[00:00:06.520 --> 00:00:08.760]  如果你看回這個故事
[00:00:08.760 --> 00:00:11.200]  如果故事只是由一開始然後結束
[00:00:11.200 --> 00:00:12.600]  那它就是新魔勢了
[00:00:12.600 --> 00:00:16.080]  但是這個故事當中發生了三個插曲
[00:00:16.080 --> 00:00:20.120]  而這三個插曲就令到巴拉不斷下降
[00:00:20.120 --> 00:00:25.080]  就是它起初的人氣很高
[00:00:25.080 --> 00:00:27.680]  但是接著因為這三件事情
[00:00:27.680 --> 00:00:30.880]  這裡有兩件事情
[00:00:30.880 --> 00:00:32.760]  這個插曲故事很有趣
[00:00:32.760 --> 00:00:33.920]  都是一男一女
[00:00:33.920 --> 00:00:35.960]  有一個男配角有一個女配角
[00:00:35.960 --> 00:00:38.040]  底波拉與巴拉的故事
[00:00:38.040 --> 00:00:40.680]  發生在榕樹下
[00:00:40.680 --> 00:00:43.120]  接著瓦益和西西拉的故事
[00:00:43.120 --> 00:00:45.400]  發生在帳篷裡面
[00:00:45.400 --> 00:00:47.480]  中間其實還有另外一個故事
[00:00:47.480 --> 00:00:48.880]  那個故事是什麼呢?
[00:00:48.880 --> 00:00:51.240]  就是西西拉走了路
[00:00:51.240 --> 00:00:52.560]  打了仗的時候
[00:00:52.560 --> 00:00:53.280]  輸定了
[00:00:53.280 --> 00:00:54.080]  她走了路
[00:00:54.080 --> 00:00:56.560]  這三個故事告訴我們
[00:00:56.560 --> 00:00:58.120]  巴拉不斷的下降
[00:00:58.120 --> 00:00:59.160]  我想給你看看
[00:00:59.160 --> 00:01:06.360]  巴拉與底波拉的故事
[00:01:06.360 --> 00:01:08.880]  上帝呼召巴拉一個人去
[00:01:08.880 --> 00:01:11.000]  但是巴拉對底波拉說
[00:01:11.000 --> 00:01:13.440]  你若與我去我就去
[00:01:13.440 --> 00:01:16.600]  你若不與我去我就不去
[00:01:16.600 --> 00:01:18.680]  害怕死
[00:01:18.680 --> 00:01:21.880]  底波拉說我一定會與你去
[00:01:21.880 --> 00:01:24.720]  然而你在所行的道路上
[00:01:24.720 --> 00:01:26.720]  必得不著榮耀
[00:01:26.720 --> 00:01:29.360]  因為耶和華要將西西拉
[00:01:29.360 --> 00:01:30.880]  給一個婦人的手裡
[00:01:30.880 --> 00:01:32.200]  如果你就這樣看這裡的時候
[00:01:32.200 --> 00:01:34.960]  你的婦人會是誰呢?
[00:01:34.960 --> 00:01:36.320]  底波拉
[00:01:36.320 --> 00:01:37.280]  但是最後我們知道
[00:01:37.280 --> 00:01:39.000]  那個婦人不是底波拉
[00:01:39.000 --> 00:01:40.600]  在這裡的時候
[00:01:40.600 --> 00:01:42.040]  你可以說巴拉還在想
[00:01:42.040 --> 00:01:42.560]  OK啦
[00:01:42.560 --> 00:01:44.360]  我可以和你分一下榮耀
[00:01:44.360 --> 00:01:45.560]  分薄一點而已
[00:01:45.560 --> 00:01:46.720]  都是有榮耀的
[00:01:46.720 --> 00:01:47.800]  但是到了最後
[00:01:47.800 --> 00:01:50.200]  他連那個榮耀都沒有賣
[00:01:50.200 --> 00:01:51.880]  但是這個故事
[00:01:51.880 --> 00:01:54.360]  不僅是告訴我們
[00:01:54.360 --> 00:01:56.360]  巴拉的無信心
[00:01:56.360 --> 00:01:58.960]  最重要的一點是什麼呢?
[00:01:58.960 --> 00:02:04.080]  就是他和以弗的比較
[00:02:04.080 --> 00:02:05.120]  以弗的比較
[00:02:05.120 --> 00:02:06.320]  如果上個星期你在這裡
[00:02:06.320 --> 00:02:10.160]  你知道我覺得以弗是個狗熊
[00:02:10.160 --> 00:02:12.200]  他其實一生很沒藝
[00:02:12.200 --> 00:02:13.480]  但是他又不是做刺客
[00:02:13.480 --> 00:02:15.680]  他陰陰濕濕去做
[00:02:15.680 --> 00:02:16.960]  但是陰陰濕濕來
[00:02:16.960 --> 00:02:18.960]  他是自己去的
[00:02:18.960 --> 00:02:20.520]  這個比他更壞
[00:02:20.520 --> 00:02:22.920]  這個要人陪
[00:02:22.920 --> 00:02:25.000]  還要找個女人陪
[00:02:25.000 --> 00:02:25.920]  你明白嗎?
[00:02:25.920 --> 00:02:27.800]  所以如果你是有意識的人
[00:02:27.800 --> 00:02:28.840]  一看
[00:02:28.840 --> 00:02:32.280]  以弗是E班的第三名
[00:02:32.280 --> 00:02:34.080]  不是 第二名
[00:02:34.080 --> 00:02:35.320]  是不是 第二名
[00:02:35.320 --> 00:02:36.360]  是 第二名
[00:02:36.360 --> 00:02:39.200]  他就是E班的第三名
[00:02:39.200 --> 00:02:40.880]  這個第三名和第二名
[00:02:40.880 --> 00:02:42.800]  其實是差很遠的
[00:02:42.800 --> 00:02:43.800]  這是他第二個壞的東西
[00:02:43.800 --> 00:02:46.360]  第二個壞的東西
[00:02:46.360 --> 00:02:49.040]  西西拉 圖尼巴拉
[00:02:49.040 --> 00:02:50.000]  OK
[00:02:50.000 --> 00:02:52.480]  他們這個戰車900輛
[00:02:52.480 --> 00:02:55.480]  然後耶和華將西西拉交到他們手中
[00:02:55.480 --> 00:02:56.960]  全軍潰亂
[00:02:56.960 --> 00:02:59.960]  我們知道第五章的時候是因為那些水
[00:02:59.960 --> 00:03:00.560]  OK
[00:03:00.560 --> 00:03:03.040]  西西拉下了車
[00:03:03.040 --> 00:03:05.920]  徒步徒跑
[00:03:05.920 --> 00:03:08.120]  巴拉追趕戰車
[00:03:08.120 --> 00:03:10.760]  直到夏隆茲
[00:03:10.760 --> 00:03:11.600]  阿哥仁
[00:03:11.600 --> 00:03:12.240]  OK
[00:03:12.240 --> 00:03:14.040]  簡單來說
[00:03:14.040 --> 00:03:16.360]  那些星隱學者告訴你
[00:03:16.360 --> 00:03:18.480]  他是走錯了路的
[00:03:18.480 --> 00:03:20.240]  一個走東一個走西
[00:03:20.240 --> 00:03:22.000]  就是說西西拉其實
[00:03:22.000 --> 00:03:25.600]  先看看西西拉是逃東還是逃西
[00:03:25.600 --> 00:03:27.040]  西西拉
[00:03:27.040 --> 00:03:32.360]  忘記了東還是西
[00:03:32.360 --> 00:03:36.440]  總之一個逃走是去東
[00:03:36.440 --> 00:03:39.920]  另一個他追趕的時候去西
[00:03:39.920 --> 00:03:42.360]  如果你就這樣看這個故事
[00:03:42.360 --> 00:03:45.760]  其實他是最後
[00:03:45.760 --> 00:03:48.640]  將他們所有的軍隊
[00:03:48.640 --> 00:03:50.760]  全部都倒在倒下的
[00:03:50.760 --> 00:03:51.640]  OK
[00:03:51.640 --> 00:03:53.880]  就是說我不知道你有沒有跟人家下棋
[00:03:53.880 --> 00:03:56.480]  下得很興奮你想剝他的光珠
[00:03:56.480 --> 00:03:58.400]  但是他剝光珠的當中
[00:03:58.400 --> 00:04:01.840]  其實你被將軍逃脫了
[00:04:01.840 --> 00:04:02.680]  我不知道
[00:04:02.680 --> 00:04:06.640]  其實中國人都有這個古語
[00:04:06.640 --> 00:04:08.800]  擒賊先擒王
[00:04:08.800 --> 00:04:10.240]  如果你看回
[00:04:10.240 --> 00:04:15.120]  這個也是跟前面的故事有關係的
[00:04:15.120 --> 00:04:16.760]  在這份故事裡面
[00:04:16.760 --> 00:04:19.840]  他是先殺了那個皇帝
[00:04:19.840 --> 00:04:22.200]  接著才帶領軍隊
[00:04:22.200 --> 00:04:24.960]  接著他們一塌糊塗就贏了
[00:04:24.960 --> 00:04:26.120]  擒賊先擒王
[00:04:26.120 --> 00:04:27.800]  這個人呢
[00:04:27.800 --> 00:04:28.640]  在這裡殺
[00:04:28.640 --> 00:04:29.640]  上帝幫他殺
[00:04:29.640 --> 00:04:31.280]  他殺得很開心的時候
[00:04:31.280 --> 00:04:36.280]  連軍隊的將軍走了也不知道發生什麼事
[00:04:36.280 --> 00:04:39.000]  接著他追又追錯了
[00:04:39.000 --> 00:04:40.000]  你看到嗎
[00:04:40.000 --> 00:04:42.200]  他在對比第二名和第三名
[00:04:42.200 --> 00:04:46.160]  告訴你這個第三名真的不行
[00:04:46.160 --> 00:04:49.000]  還有一樣東西最後了
[00:04:49.000 --> 00:04:50.720]  雅益征服西塞拉
[00:04:50.720 --> 00:04:51.560]  大家都記得的
[00:04:51.560 --> 00:04:54.680]  最後西塞拉去到雅益那裡
[00:04:54.680 --> 00:04:55.680]  然後他睡著了
[00:04:55.680 --> 00:04:58.840]  而雅益將他在太陽穴裡堆下去
[00:04:58.840 --> 00:05:00.640]  死了
[00:05:00.640 --> 00:05:03.680]  這個故事也是很有趣的
[00:05:03.680 --> 00:05:04.520]  死亡後想告訴你
[00:05:04.520 --> 00:05:07.440]  這個故事跟爾忽的故事是很相似的
[00:05:07.440 --> 00:05:08.640]  相似在哪裡呢
[00:05:08.640 --> 00:05:11.120]  爾忽是說他的刀
[00:05:11.120 --> 00:05:12.840]  擠進肥膏裡
[00:05:12.840 --> 00:05:15.920]  他說那個希伯來文裡面的用詞
[00:05:15.920 --> 00:05:22.200]  很像雅益用釘子釘下去的那一下
[00:05:22.200 --> 00:05:24.360]  兩個詞句一樣
[00:05:24.360 --> 00:05:26.040]  還有一些詞句是相同的
[00:05:26.040 --> 00:05:27.200]  譬如說
[00:05:27.200 --> 00:05:28.440]  去到那裡
[00:05:28.440 --> 00:05:30.760]  他進了帳篷
[00:05:30.760 --> 00:05:31.560]  然後看了
[00:05:31.560 --> 00:05:32.760]  Behold
[00:05:32.760 --> 00:05:33.760]  看看
[00:05:33.760 --> 00:05:34.760]  看看什麼
[00:05:34.760 --> 00:05:35.760]  死了
[00:05:35.760 --> 00:05:39.680]  這個詞句是在爾忽的故事裡面出過來的
[00:05:39.680 --> 00:05:41.040]  在哪裡呢
[00:05:41.040 --> 00:05:44.400]  他的僕人在廁所外面等了很久
[00:05:44.400 --> 00:05:47.080]  聞到臭味不敢去煩他
[00:05:47.080 --> 00:05:49.600]  結果很久之後終於覺得不是對路了
[00:05:49.600 --> 00:05:50.200]  於是進去
[00:05:50.200 --> 00:05:51.200]  接著怎樣呢
[00:05:51.200 --> 00:05:51.920]  Behold
[00:05:51.920 --> 00:05:53.440]  死了
[00:05:53.440 --> 00:05:54.200]  你明白嗎
[00:05:54.200 --> 00:05:55.400]  所以他現在在重複
[00:05:55.400 --> 00:05:56.760]  但是
[00:05:56.760 --> 00:05:58.200]  在那個故事裡面
[00:05:58.200 --> 00:06:00.840]  誰是看著死了呢
[00:06:00.840 --> 00:06:01.760]  是那些僕人
[00:06:01.760 --> 00:06:02.680]  在這個故事裡面
[00:06:02.680 --> 00:06:05.360]  最後誰看著死了呢
[00:06:05.360 --> 00:06:06.720]  巴賴
[00:06:06.720 --> 00:06:09.360]  巴賴本來是主角
[00:06:09.360 --> 00:06:11.040]  慢慢變成了配角
[00:06:11.040 --> 00:06:14.320]  到了故事的最終的時候
[00:06:14.320 --> 00:06:16.880]  他連凱拉菲也不是了
[00:06:16.880 --> 00:06:17.680]  這麼慘
[00:06:17.680 --> 00:06:19.640]  所以整個故事
[00:06:19.640 --> 00:06:21.320]  是要將
[00:06:21.320 --> 00:06:24.440]  當爾忽遇上巴賴
[00:06:24.440 --> 00:06:26.560]  本來他可能是
[00:06:26.560 --> 00:06:28.000]  新的魔勢
[00:06:28.000 --> 00:06:29.480]  接著
[00:06:29.480 --> 00:06:32.560]  一層一層地掉下去
[00:06:32.560 --> 00:06:36.400]  當爾忽冒死行刺伊基倫的時候
[00:06:36.400 --> 00:06:39.080]  巴賴膽怯地迎戰
[00:06:39.080 --> 00:06:39.920]  細細賴
[00:06:39.920 --> 00:06:43.080]  當爾忽英勇統領以色列
[00:06:43.080 --> 00:06:46.080]  他是定要迪波拉同往
[00:06:46.080 --> 00:06:49.360]  當伊基倫難逃一劫
[00:06:49.360 --> 00:06:53.120]  細細賴失去蹤影
[00:06:53.120 --> 00:06:54.840]  爾忽親手
[00:06:54.840 --> 00:06:56.880]  除滅了伊基倫
[00:06:56.880 --> 00:06:59.440]  瓦易代殺了
[00:06:59.440 --> 00:07:00.080]  細細賴
[00:07:00.080 --> 00:07:01.400]  不單只是有人代殺
[00:07:01.400 --> 00:07:02.880]  還是一個女人代殺
[00:07:02.880 --> 00:07:03.960]  他真的沒有面子了
[00:07:03.960 --> 00:07:05.320]  在以色列人的眼中
[00:07:05.320 --> 00:07:06.920]  他真的沒有面子了
[00:07:06.920 --> 00:07:07.720]  最後
[00:07:07.720 --> 00:07:09.800]  侍從發現伊基倫
[00:07:09.800 --> 00:07:12.080]  巴賴發現細細賴
