
[00:00:00.000 --> 00:00:02.000]  在這幾個月
[00:00:02.000 --> 00:00:05.000]  我們崇拜的訊息
[00:00:05.000 --> 00:00:07.600]  都能夠多些集中的是
[00:00:07.600 --> 00:00:09.600]  「認識神」
[00:00:09.600 --> 00:00:13.000]  所以過去我和弟兄姊妹都分享過
[00:00:13.000 --> 00:00:17.000]  「獨行其事的主」這方面的訊息
[00:00:17.000 --> 00:00:22.000]  亦都分享過「耶和華作王」這方面的訊息
[00:00:22.000 --> 00:00:25.000]  更加在上個月的「主餐崇拜」
[00:00:25.000 --> 00:00:27.000]  我們亦都分享過
[00:00:27.000 --> 00:00:31.000]  「願人都尊祢的名為聖」
[00:00:31.000 --> 00:00:33.000]  到了今天
[00:00:33.000 --> 00:00:34.000]  今天的「主餐崇拜」
[00:00:34.000 --> 00:00:36.000]  我很想再一次和弟兄姊妹
[00:00:36.000 --> 00:00:40.000]  思想多些關於神的事
[00:00:40.000 --> 00:00:42.000]  而其中今天我們的焦點就是
[00:00:42.000 --> 00:00:45.000]  「願祢的國降臨」
[00:00:45.000 --> 00:00:48.000]  同樣的好像上一次
[00:00:48.000 --> 00:00:53.000]  我們基於主禱文的經文
[00:00:53.000 --> 00:00:57.000]  「願人都尊祢的名為聖」
[00:00:57.000 --> 00:00:59.000]  之後我們有甚麼願望呢?
[00:00:59.000 --> 00:01:05.000]  是「願神的國降臨」
[00:01:05.000 --> 00:01:08.000]  很多時我們都會念主禱文
[00:01:08.000 --> 00:01:10.000]  思想主禱文
[00:01:10.000 --> 00:01:12.000]  有時我們都說這句說話
[00:01:12.000 --> 00:01:14.000]  究竟我們是否明白呢?
[00:01:14.000 --> 00:01:18.000]  當我們說「願祢的國降臨」的時候
[00:01:18.000 --> 00:01:20.000]  是帶來甚麼意思呢?
[00:01:20.000 --> 00:01:24.000]  我們在中間能夠掌握的內涵是甚麼呢?
[00:01:24.000 --> 00:01:26.000]  願意在今天的崇拜裡面
[00:01:26.000 --> 00:01:28.000]  我們基於神的話語
[00:01:28.000 --> 00:01:30.000]  多些思想這方面
[00:01:30.000 --> 00:01:33.000]  以致我們的信仰更加豐富
[00:01:33.000 --> 00:01:35.000]  更加有基礎
[00:01:35.000 --> 00:01:38.000]  更加有深度
[00:01:38.000 --> 00:01:41.000]  首先讓我們能夠去明白一樣的
[00:01:41.000 --> 00:01:44.000]  就是原來當我們去讀新約的時候
[00:01:44.000 --> 00:01:46.000]  特別是在四福音書
[00:01:46.000 --> 00:01:51.000]  你會發現原來「國」或者「國道」
[00:01:51.000 --> 00:01:53.000]  或者「天國」
[00:01:53.000 --> 00:01:55.000]  或者「神的國」
[00:01:55.000 --> 00:01:57.000]  這方面的信息
[00:01:57.000 --> 00:01:59.000]  這方面的觀念
[00:01:59.000 --> 00:02:02.000]  是非常多的
[00:02:02.000 --> 00:02:05.000]  是非常濃厚的
[00:02:05.000 --> 00:02:08.000]  是一而再再而三出現的
[00:02:08.000 --> 00:02:10.000]  如果是這樣的話
[00:02:10.000 --> 00:02:15.000]  即是說這個觀念是很重要的
[00:02:15.000 --> 00:02:19.000]  所以讓我們當去說到「神的國」、「天國」的時候
[00:02:19.000 --> 00:02:22.000]  我們真是明白中間是說些甚麼
[00:02:22.000 --> 00:02:26.000]  而我們的生命又是不是跟這個「天國」的觀念
[00:02:26.000 --> 00:02:28.000]  是連繫在一起
[00:02:28.000 --> 00:02:32.000]  反映了這種屬靈的境況
[00:02:32.000 --> 00:02:33.000]  我舉一些例子
[00:02:33.000 --> 00:02:35.000]  隨便舉一些例子
[00:02:35.000 --> 00:02:36.000]  找回一些聖經的經文
[00:02:36.000 --> 00:02:37.000]  你就會發現
[00:02:37.000 --> 00:02:41.000]  「國」、「天國」這個觀念是經常出現的
[00:02:41.000 --> 00:02:44.000]  馬太福音的三章二節
[00:02:44.000 --> 00:02:48.000]  司浸約翰出來傳道
[00:02:48.000 --> 00:02:51.000]  成為耶穌基督的先驅者
[00:02:51.000 --> 00:02:53.000]  他說了甚麼呢
[00:02:53.000 --> 00:02:54.000]  聖經就是這樣說的
[00:02:54.000 --> 00:02:56.000]  司浸約翰出來一說的時候
[00:02:56.000 --> 00:02:57.000]  他說甚麼呢
[00:02:57.000 --> 00:03:02.000]  他說「天國近了,你們應當悔改」
[00:03:02.000 --> 00:03:06.000]  一開始打出的是「天國」
[00:03:06.000 --> 00:03:08.000]  很重要的
[00:03:08.000 --> 00:03:11.000]  好了,到耶穌基督了
[00:03:11.000 --> 00:03:13.000]  在馬可福音的一章十五節
[00:03:13.000 --> 00:03:15.000]  當耶穌基督出來傳道的時候
[00:03:15.000 --> 00:03:17.000]  耶穌基督說甚麼呢
[00:03:17.000 --> 00:03:19.000]  在聖經裏面記載的是甚麼呢
[00:03:19.000 --> 00:03:20.000]  一開始的時候
[00:03:20.000 --> 00:03:22.000]  開宗明義
