
[00:00:00.000 --> 00:00:04.820]  今天和大家講的是基督門徒2 甘心擺上
[00:00:04.820 --> 00:00:08.620]  也看看基督門徒有什麼提醒
[00:00:08.620 --> 00:00:11.740]  知不知道一個人叫做宗上教
[00:00:11.740 --> 00:00:15.460]  宗上教,宗上教是一個軍人
[00:00:15.460 --> 00:00:20.660]  他參加過打過很多大大小小的仗
[00:00:20.660 --> 00:00:23.140]  我也認識他很久了
[00:00:23.140 --> 00:00:32.860]  我正在安排,希望到最後,基督門徒最後一次的系列講到的時候,邀請他來和大家分享
[00:00:32.860 --> 00:00:41.960]  我記得上一節和大家講的時候,宗上教我認識他,生命有一個很大的特點就是他很忠心,跟從神
[00:00:41.960 --> 00:00:44.760]  他不單很忠心
[00:00:44.760 --> 00:00:54.760]  他另外有一個很願意擺上自己所擁有一切的東西和身邊的弟兄姊妹朋友分享的心
[00:00:54.760 --> 00:00:57.560]  他很願意擺上自己所有的東西
[00:00:57.560 --> 00:01:01.660]  他不吝嗇的,他覺得有需要就和身邊的人分享
[00:01:01.660 --> 00:01:08.560]  包括用他的時間幫助其他人,用他的財幹服侍教會,服侍社會
[00:01:08.560 --> 00:01:15.560]  用他的金錢來支持神很多的工作,甚至外面很多慈善的工作
[00:01:15.560 --> 00:01:21.960]  他一生裡面他分享到,他有三段的經文對他很有影響
[00:01:21.960 --> 00:01:25.060]  我們很快地看一看這三段經文是什麼經文
[00:01:25.060 --> 00:01:28.160]  第一段,羅馬書十二章第一節
[00:01:28.160 --> 00:01:36.060]  這裡告訴我們,我們要用整個的生命去回應神的愛,服侍神,當作活祭
[00:01:36.060 --> 00:01:37.360]  很熟悉吧
[00:01:37.360 --> 00:01:41.960]  第二段經文,彼得前書四章十節
[00:01:41.960 --> 00:01:49.160]  「各人要照所得的恩賜彼此服侍,作神百般恩賜的好管家」
[00:01:49.160 --> 00:01:55.160]  第三節,在馬可福音十二章四十一至四十四節
[00:01:55.160 --> 00:02:00.960]  「耶穌對銀庫坐著,看眾人怎樣投錢入庫
