
[00:00:00.000 --> 00:00:08.000]  好,弟兄姊妹,平安,今天我們繼續講全道書第三章
[00:00:08.000 --> 00:00:10.000]  我們一起先低頭祈禱
[00:00:10.000 --> 00:00:13.000]  天父,我們求祢帶領我們
[00:00:13.000 --> 00:00:16.000]  主,讓我們一起去讀你的聖經的時候
[00:00:16.000 --> 00:00:20.000]  讓我們看到我們如何活在世上人生的智慧
[00:00:20.000 --> 00:00:22.000]  求祢藉著你的話語教導我們
[00:00:22.000 --> 00:00:25.000]  我們與你的聖靈在中間開我們的心
[00:00:25.000 --> 00:00:28.000]  和耶穌基督的名氣,阿們
[00:00:31.000 --> 00:00:38.000]  好,我們今天講全道書第三章的時候
[00:00:38.000 --> 00:00:43.000]  一開始的時候,我們看到全道書第三章
[00:00:43.000 --> 00:00:48.000]  一開始就說凡事都有定期,天下萬物都有定時
[00:00:48.000 --> 00:00:54.000]  這裡有很多時候人對於這一段聖經
[00:00:54.000 --> 00:00:59.000]  都是有錯誤的一種看法
[00:00:59.000 --> 00:01:02.000]  那種看法的意思是怎樣呢?
[00:01:02.000 --> 00:01:09.000]  意思是所有的事情發生都已經有固定的時間
[00:01:09.000 --> 00:01:13.000]  所有的事情發生已經有固定的時間
[00:01:13.000 --> 00:01:19.000]  這個是人一看下去,很直接就有一種
[00:01:19.000 --> 00:01:23.000]  因為他說天下萬物都有定時
[00:01:23.000 --> 00:01:25.000]  生有時,死有時,災眾有時
[00:01:25.000 --> 00:01:27.000]  不出所災眾有時
[00:01:27.000 --> 00:01:31.000]  這樣講的時候,似乎很容易就給人一種感覺
[00:01:31.000 --> 00:01:35.000]  就說所有世界發生的事情
[00:01:35.000 --> 00:01:39.000]  已經是一種宿命論這樣的看法
[00:01:39.000 --> 00:01:43.000]  就是都是固定了的,都是一定是這樣
[00:01:43.000 --> 00:01:49.000]  都是這樣發生的,都走不出有任何的改變
[00:01:49.000 --> 00:01:52.000]  事實上,這種這樣的看法
[00:01:52.000 --> 00:01:57.000]  有些悲觀的人其實都頗受落的
[00:01:57.000 --> 00:02:00.000]  因為都覺得沒辦法了,真的要整定了
[00:02:00.000 --> 00:02:04.000]  廣東話講「整定」,你知道什麼意思吧
[00:02:04.000 --> 00:02:09.000]  都要唯有接受這樣
[00:02:09.000 --> 00:02:13.000]  但是記在聖經那裡
[00:02:13.000 --> 00:02:16.000]  是不是就是代表聖經都是在傳遞的
[00:02:16.000 --> 00:02:21.000]  這一種宿命論,每樣東西都固定了的想法
[00:02:21.000 --> 00:02:25.000]  這一段的聖經是不是這樣解釋呢
[00:02:25.000 --> 00:02:27.000]  我相信其實不是
