
[00:00:00.000 --> 00:00:02.860]  我們一起來祈禱,好嗎?
[00:00:02.860 --> 00:00:07.000]  親愛的阿爸父,我們感謝祢
[00:00:07.000 --> 00:00:09.660]  祢親自釋放祢的話語
[00:00:09.660 --> 00:00:11.360]  願祢開我們的心智
[00:00:11.360 --> 00:00:13.380]  讓我們看見祢
[00:00:13.380 --> 00:00:15.240]  讓我們更深的認識祢
[00:00:15.240 --> 00:00:17.600]  知道祢是次盼望的神
[00:00:17.600 --> 00:00:19.840]  祢要叫我們生命得著復興
[00:00:19.840 --> 00:00:21.740]  成為一群大能的子民
[00:00:21.740 --> 00:00:23.740]  去見證神祢的美善
[00:00:23.740 --> 00:00:25.420]  願主看顧、帶領我們
[00:00:25.420 --> 00:00:26.380]  多謝祢聽我們祈禱
[00:00:26.380 --> 00:00:28.420]  奉主耶穌基督得性命祈求
[00:00:28.420 --> 00:00:30.420]  阿們
[00:00:30.420 --> 00:00:34.300]  我想問問大家有沒有試過迷路?
[00:00:34.300 --> 00:00:36.060]  我想這個問題
[00:00:36.060 --> 00:00:37.440]  都很容易回答,是嗎?
[00:00:37.440 --> 00:00:39.840]  我是一個沒有方向感的人
[00:00:39.840 --> 00:00:41.540]  所以我很容易迷路
[00:00:41.540 --> 00:00:43.540]  我記得我一來到歐洲
[00:00:43.540 --> 00:00:44.840]  那時是2001年
[00:00:44.840 --> 00:00:47.740]  來到澳洲考了車牌
[00:00:47.740 --> 00:00:49.740]  駕駛執照就要開車
[00:00:49.740 --> 00:00:53.720]  然後東南西北我都未分得到
[00:00:53.720 --> 00:00:58.520]  自己就開車去探訪
[00:00:58.520 --> 00:01:00.920]  一轉錯彎就上了高速公路
[00:01:00.920 --> 00:01:02.920]  我也不知道
[00:01:02.920 --> 00:01:04.420]  不能夠掉頭
[00:01:04.420 --> 00:01:05.720]  上了高速公路
[00:01:05.720 --> 00:01:07.720]  就硬著頭皮
[00:01:07.720 --> 00:01:08.720]  開車看看
[00:01:08.720 --> 00:01:09.520]  嘩 九十!
[00:01:09.520 --> 00:01:10.920]  我真的未開過九十
[00:01:10.920 --> 00:01:11.720]  來了那麼久
[00:01:11.720 --> 00:01:14.020]  剛剛考到車牌沒多久
[00:01:14.020 --> 00:01:16.220]  所以就唯有一直去
[00:01:16.220 --> 00:01:19.220]  怎樣離開高速公路都不知道
