
[00:00:00.000 --> 00:00:04.000]  丁師妹會見到程序表寫聖誕節的崇拜
[00:00:04.000 --> 00:00:07.000]  程序表寫著聖誕節的崇拜
[00:00:07.000 --> 00:00:11.000]  你沒有看錯,的而且確是聖誕節的崇拜
[00:00:11.000 --> 00:00:14.000]  沒有看錯,確實是聖誕節的崇拜
[00:00:14.000 --> 00:00:19.000]  聖誕節,不是像很多人說的十二月二十五號一日
[00:00:19.000 --> 00:00:23.000]  聖誕節不是像別人所講的,只是十二月二十五號一天
[00:00:23.000 --> 00:00:26.000]  基督徒離開聖誕是一個節期
[00:00:26.000 --> 00:00:29.000]  對基督徒來講,聖誕是一個節期
[00:00:29.000 --> 00:00:31.000]  是從十二月以至於一月
[00:00:31.000 --> 00:00:34.000]  從十二月到一月這段時間
[00:00:34.000 --> 00:00:39.000]  讓我們這兩個主人一起思想聖誕的訊息
[00:00:39.000 --> 00:00:43.000]  讓我們這兩個主人一起思想聖誕的訊息
[00:00:43.000 --> 00:00:45.000]  讓我們重新發掘聖誕節的意義
[00:00:45.000 --> 00:00:48.000]  讓我們重新發掘聖誕節的意義
[00:00:48.000 --> 00:00:49.000]  讓我們重新發掘聖誕節的意義
[00:00:49.000 --> 00:00:50.000]  讓我們重新發掘聖誕節的意義
[00:00:50.000 --> 00:00:51.000]  讓我們重新發掘聖誕節的意義
[00:00:51.000 --> 00:00:53.000]  讓我們聽到之前,先同心禱告
[00:00:53.000 --> 00:01:01.000]  慈悲的父神,多謝祢讓我們能夠再次回到聖誕節當中
[00:01:01.000 --> 00:01:05.000]  去再次體貼上帝的心意
[00:01:05.000 --> 00:01:09.000]  求祢的聖靈與我們同在
[00:01:09.000 --> 00:01:13.000]  讓我們認定祢是我們的主,我們的神
[00:01:13.000 --> 00:01:16.000]  讓我們明白祢的拯救
[00:01:16.000 --> 00:01:23.000]  如何透過祢的犧牲,然後來到我們的生命當中
[00:01:23.000 --> 00:01:27.000]  親愛的天父,感謝祢給我們能夠在這個時間
[00:01:27.000 --> 00:01:33.000]  我們來重新挖掘有關聖誕的意義
[00:01:33.000 --> 00:01:35.000]  求祢的幫助
[00:01:35.000 --> 00:01:39.000]  懇求祢的聖靈與我們同在
[00:01:39.000 --> 00:01:40.000]  感動我們
[00:01:40.000 --> 00:01:43.000]  能夠更清楚地把握
[00:01:43.000 --> 00:01:45.000]  祢是我們的生命的主
[00:01:45.000 --> 00:01:48.000]  祢怎麼犧牲祢的兒子
[00:01:48.000 --> 00:01:52.000]  來為我們得到救恩的益處
[00:01:52.000 --> 00:01:54.000]  讓我們再次深深感謝
[00:01:54.000 --> 00:01:57.000]  帶著這份心意來明白主的道理
[00:01:57.000 --> 00:01:59.000]  我們禱告,封住耶穌的名臣
[00:01:59.000 --> 00:02:01.000]  Amen
[00:02:01.000 --> 00:02:10.000]  今天很多人都很喜歡將聖誕快樂改成為Happy Holiday
[00:02:10.000 --> 00:02:14.000]  有很多人現在將聖誕快樂改成Happy Holiday
[00:02:14.000 --> 00:02:17.000]  以前很多人都喜歡在聖誕節期間
[00:02:17.000 --> 00:02:21.000]  去祝賀對方Merry Christmas
[00:02:21.000 --> 00:02:25.000]  以前在聖誕節期間都是祝賀對方Merry Christmas
[00:02:25.000 --> 00:02:29.000]  但是隨著越來越多這個所謂世俗化
[00:02:29.000 --> 00:02:32.000]  或者宗教多元化的背景發展
[00:02:32.000 --> 00:02:36.000]  在這個世俗化和宗教多元化的背景底下
[00:02:36.000 --> 00:02:40.000]  人已經不喜歡什麼Christ之類的字眼
[00:02:40.000 --> 00:02:45.000]  已經不喜歡不中意Christ
[00:02:45.000 --> 00:02:47.000]  他們喜歡開心
[00:02:47.000 --> 00:02:52.000]  所以要將它改成每個假期都是開心的假期
[00:02:52.000 --> 00:02:54.000]  每一個假期都改為開心的假期
[00:02:54.000 --> 00:02:58.000]  剛剛這個星期有一天早上六點鐘左右
[00:02:58.000 --> 00:03:00.000]  我正在送司母上班的時候
[00:03:00.000 --> 00:03:03.000]  就聽收音機有個電台節目主持人這樣說
[00:03:03.000 --> 00:03:11.000]  這個星期早上六點鐘左右送司母上班的時候聽電台主持人這樣說
[00:03:11.000 --> 00:03:13.000]  這個電台節目主持人這樣說
[00:03:13.000 --> 00:03:15.000]  他說有一些統計發現
[00:03:15.000 --> 00:03:20.000]  有一些統計發現原來今天在這個世界上面
[00:03:20.000 --> 00:03:28.000]  有很多的人都未能夠過一個Happy開心的Holiday假期
[00:03:28.000 --> 00:03:31.000]  都不能過一個Happy的開心的假期
[00:03:31.000 --> 00:03:33.000]  當他這樣說之後
[00:03:33.000 --> 00:03:41.000]  當然我明白這個播音員本身的原意
[00:03:41.000 --> 00:03:44.000]  但我亦都反過來自己這樣問
[00:03:44.000 --> 00:03:46.000]  我反過來自己問
[00:03:46.000 --> 00:03:50.000]  Holiday假期一定要Happy要開心的嗎?
[00:03:50.000 --> 00:03:53.000]  Holiday假期一定要開心的嗎?
[00:03:53.000 --> 00:03:57.000]  究竟今時今日的人還明不明白什麼叫做Merry Christmas
[00:03:57.000 --> 00:04:00.000]  聖誕快樂這個意義呢?
[00:04:00.000 --> 00:04:04.000]  究竟今天的人是否真正明白什麼叫做Merry Christmas
[00:04:04.000 --> 00:04:07.000]  原本基督徒對Merry Christmas
[00:04:07.000 --> 00:04:10.000]  聖誕快樂的意義的理解是這樣的
[00:04:10.000 --> 00:04:14.000]  對聖誕節快樂的意義理解應該是這樣
[00:04:14.000 --> 00:04:17.000]  知道上帝見到這個世界的人在罪的當中
[00:04:17.000 --> 00:04:21.000]  是上帝見到的世人在罪的當中
[00:04:21.000 --> 00:04:24.000]  無法自救
[00:04:24.000 --> 00:04:28.000]  於是乎上帝又派一位的救主來到這個世界
[00:04:28.000 --> 00:04:30.000]  上帝派一位救主來到這個世界
[00:04:30.000 --> 00:04:32.000]  祂的名字叫耶穌
[00:04:32.000 --> 00:04:33.000]  祂的名字叫耶穌
[00:04:33.000 --> 00:04:35.000]  是上帝的獨生兒子
[00:04:35.000 --> 00:04:37.000]  是上帝獨生兒子
[00:04:37.000 --> 00:04:39.000]  為了我們罪的緣故
[00:04:39.000 --> 00:04:41.000]  為了我們罪的緣故
[00:04:41.000 --> 00:04:42.000]  祂來到這個世界上
[00:04:42.000 --> 00:04:44.000]  祂來到這個世界上
[00:04:44.000 --> 00:04:46.000]  而我們基督徒這個想法
[00:04:46.000 --> 00:04:47.000]  我們基督徒這個想法
[00:04:47.000 --> 00:04:49.000]  和我們今天所看的這段聖經
[00:04:49.000 --> 00:04:51.000]  在路加福音第二章的裏面
[00:04:51.000 --> 00:04:54.000]  和路加福音第二章的經文裏面
[00:04:54.000 --> 00:04:57.000]  分別提到有兩個人物叫西門和阿娜
[00:04:57.000 --> 00:04:58.000]  分別提到有兩個人物叫西門和阿娜
[00:04:58.000 --> 00:04:59.000]  分別提到有兩個人物叫西門和阿娜
[00:04:59.000 --> 00:05:00.000]  分別提到有兩個人物叫西門和阿娜
[00:05:00.000 --> 00:05:01.000]  分別提到有兩個人物叫西門和阿娜
[00:05:01.000 --> 00:05:02.000]  其實心態應該是一樣的
[00:05:02.000 --> 00:05:03.000]  其實心態應該是一樣的
[00:05:03.000 --> 00:05:04.000]  心態應該是一樣的
[00:05:04.000 --> 00:05:05.000]  我們一直忠心於等待一位救主來臨
