
[00:00:00.000 --> 00:00:04.320]  好 電影姊妹 今天我們講一個題目
[00:00:04.320 --> 00:00:07.960]  叫做「活在光中的商家」
[00:00:07.960 --> 00:00:12.000]  我不知道對你來說
[00:00:12.000 --> 00:00:15.840]  吃東西你會怎樣選擇一間食店
[00:00:15.840 --> 00:00:19.280]  在LIS有一間店舖
[00:00:19.280 --> 00:00:21.880]  其實你經過它的門面
[00:00:21.880 --> 00:00:24.400]  你是香港人10個
[00:00:24.400 --> 00:00:27.240]  我想有10個都是不會進去的
[00:00:27.240 --> 00:00:30.720]  因為太不是香港了
[00:00:30.720 --> 00:00:40.080]  太是我們親愛的國家的樣子
[00:00:40.080 --> 00:00:42.520]  話說有一天我兒子
[00:00:42.520 --> 00:00:47.280]  其實我們原本想去對面馬路的店舖吃
[00:00:47.280 --> 00:00:50.000]  但是我看不到
[00:00:50.000 --> 00:00:52.840]  我找不到那間店舖
[00:00:52.840 --> 00:00:55.040]  我兒子就站在那間
[00:00:55.040 --> 00:00:57.240]  我說沒有人去過那間食店的門口
[00:00:57.240 --> 00:00:59.600]  他看到那張相片說
[00:00:59.600 --> 00:01:01.640]  可不可以今天吃這間
[00:01:01.640 --> 00:01:05.280]  我覺得那碗麵很好吃
[00:01:05.280 --> 00:01:08.920]  其實我見裡面沒有人
[00:01:08.920 --> 00:01:12.400]  每次經過都沒有人
[00:01:12.400 --> 00:01:15.640]  我就想 可能不好吃就不好吃
[00:01:15.640 --> 00:01:19.680]  中伏的 伏一次試一下
[00:01:19.680 --> 00:01:23.160]  我和我老公就膽粗粗
[00:01:23.160 --> 00:01:27.920]  試又試 誰知去完之後
[00:01:27.920 --> 00:01:30.400]  我們三個各自點的東西吃
[00:01:30.400 --> 00:01:33.480]  我們都說 嘩 很好吃
[00:01:33.480 --> 00:01:36.240]  但由於它的門面實在太不吸引
[00:01:36.240 --> 00:01:39.000]  我都不敢和很多人說
[00:01:39.000 --> 00:01:42.280]  因為我嘗試過和兩個人說
