
[00:00:00.000 --> 00:00:01.280]  改定截迴主流平安
[00:00:01.280 --> 00:00:04.860]  我諗大家都會認同嘅就係
[00:00:04.860 --> 00:00:07.160]  喺呢段時間香港嘅市道呢
[00:00:07.160 --> 00:00:09.480]  仍然相當嘅淡靜係咪呀
[00:00:09.480 --> 00:00:11.520]  咁不過其實呢
[00:00:11.520 --> 00:00:12.540]  過去一兩個月呢
[00:00:12.540 --> 00:00:14.860]  香港亦都曾經熱鬧過
[00:00:14.860 --> 00:00:16.900]  如果大家有印象呀
[00:00:16.900 --> 00:00:19.200]  除咗喺農曆新年呼籲番呢
[00:00:19.200 --> 00:00:22.520]  係因為疫情停辦咗一段時間嘅煙花會園啦
[00:00:22.520 --> 00:00:25.860]  花漆巡遊同埋河水杯之外呢
[00:00:25.860 --> 00:00:28.680]  仲舉辦咗所謂好多嘅國際盛事
[00:00:29.440 --> 00:00:30.200]  大家可唔可以數到呀
[00:00:30.200 --> 00:00:33.020]  包括國際
[00:00:33.020 --> 00:00:34.300]  香港國際馬拉松啦
[00:00:34.300 --> 00:00:36.600]  國際球星足球
[00:00:36.600 --> 00:00:37.640]  邀請賽啦
[00:00:37.640 --> 00:00:40.960]  咁美獅嗰單唔知係咪算係國際盛事啦
[00:00:40.960 --> 00:00:43.520]  以及前嗰排呢
[00:00:43.520 --> 00:00:47.620]  就引進一位英國設計師所構思嘅Chapel Heart
[00:00:47.620 --> 00:00:50.680]  個好大型嗰個紅色嘅心心
[00:00:50.680 --> 00:00:57.340]  特別安排呢橫跨中西情人節期間係香港各區嗰度呢去設置同埋飄遊
[00:00:58.360 --> 00:01:04.500]  但係呢個紅色嘅心心或者活動能否做到好似有啲嘅傳媒所強調將愛
[00:01:04.500 --> 00:01:08.600]  喺香港嚟去傳揚呢不得而知
[00:01:08.600 --> 00:01:12.700]  咁但係肯定有關活動就成為咗唔少香港人
[00:01:12.700 --> 00:01:16.020]  特別啲嘅遊客呢打卡嘅啲嘅跌點
[00:01:16.020 --> 00:01:21.400]  亦因為過去啲時間所謂盛事連連因此唔少時候
[00:01:21.400 --> 00:01:23.200]  從傳媒嘅報道
[00:01:23.200 --> 00:01:25.760]  以至可能我哋自己呢係親自奇景
[00:01:25.760 --> 00:01:26.780]  喺
[00:01:27.300 --> 00:01:29.100]  舉辦盛事嘅期間
[00:01:29.100 --> 00:01:31.140]  人頭湧湧
[00:01:31.140 --> 00:01:32.940]  相當嘅擠迫
[00:01:32.940 --> 00:01:35.500]  我都試過參與其中一啲啦
[00:01:35.500 --> 00:01:40.100]  你發覺其實根本冇可能冇機會呢讓我哋呢好他條咁去欣賞一齊
[00:01:40.100 --> 00:01:46.760]  成日要去排隊同埋或者係跟住大隊咁行嘅過程當中
[00:01:46.760 --> 00:01:49.580]  都畀我有唔少嘅反思
[00:01:49.580 --> 00:01:53.920]  冇錯好多時候跟住大隊
[00:01:53.920 --> 00:01:56.740]  感覺上高呢係會安全啲㗎係咪呀
[00:01:58.020 --> 00:02:02.120]  因為斷股錯期有限呀有咁多人都係咁樣就算錯
