
[00:00:00.000 --> 00:00:02.860]  好 鄧姊妹 讓我們開始聆聽主教先
[00:00:02.860 --> 00:00:06.200]  藉著禱告 再次將我們心生靈交給我們主耶穌神
[00:00:06.200 --> 00:00:13.700]  父神 多謝祢 讓我們可以回到祢在祢寶貴說話的面前學習
[00:00:13.700 --> 00:00:15.740]  求主祢的帶領
[00:00:15.740 --> 00:00:19.900]  讓耶穌基督在地上的教訓
[00:00:19.900 --> 00:00:21.600]  藉著聖靈的引導
[00:00:21.600 --> 00:00:24.300]  能夠進入到我們每一個人的生命裡面
[00:00:24.300 --> 00:00:29.600]  使我們可以更生變化 成為一個真正屬主祢的人
[00:00:30.800 --> 00:00:32.300]  求祢的幫助帶領
[00:00:32.300 --> 00:00:33.600]  我們的同心禱告
[00:00:33.600 --> 00:00:36.200]  奉靠主耶穌獨得聖的名字
[00:00:36.200 --> 00:00:40.200]  在這裡歡迎Lisa
[00:00:40.200 --> 00:00:43.200]  遠到由中國國內回來
[00:00:43.200 --> 00:00:45.700]  真的兩年多沒見了
[00:00:45.700 --> 00:00:49.300]  Bell我早陣子見過了
[00:00:49.300 --> 00:00:52.700]  希望大家能夠有一個美好的團契的時間
[00:00:52.700 --> 00:00:54.200]  我們今天結束送牌之後
[00:00:54.200 --> 00:00:58.000]  好 今天會跟大家一起去思想的經文
[00:00:58.000 --> 00:01:01.100]  是剛才惠東為我們讀出的經文
[00:01:01.100 --> 00:01:03.800]  《馬太福音》的第16章
[00:01:03.800 --> 00:01:07.300]  來到《馬太福音》的第16章
[00:01:07.300 --> 00:01:10.600]  我們今天會看第5至第12節的經文
[00:01:10.600 --> 00:01:11.800]  我給了它一個題目
[00:01:11.800 --> 00:01:16.300]  是說在門徒訓練當中的其中一個危機
[00:01:16.300 --> 00:01:17.500]  就是誤會
[00:01:17.500 --> 00:01:20.200]  講到誤會這個題目
[00:01:20.200 --> 00:01:24.700]  其實是一個不只是基督徒有的一個問題
[00:01:24.700 --> 00:01:29.000]  其實誤會是很涉及一個關係的問題
[00:01:29.000 --> 00:01:34.700]  誤會也可以是一個建立一個關係
[00:01:34.700 --> 00:01:37.300]  或者一個破壞一個關係的一個
[00:01:37.300 --> 00:01:41.000]  很重要的一個事情
[00:01:41.000 --> 00:01:43.700]  因為這個可以說
[00:01:43.700 --> 00:01:46.300]  無論你信主好不信主都好
[00:01:46.300 --> 00:01:48.800]  在平日你的生活圈子裡面
[00:01:48.800 --> 00:01:50.500]  是住在教會群體好
[00:01:50.500 --> 00:01:51.700]  不在教會的群體
[00:01:51.700 --> 00:01:53.300]  或者在你公司裡面
[00:01:53.800 --> 00:01:55.700]  都是一個很大的挑戰
[00:01:55.700 --> 00:01:59.900]  為什麼我會跟大家去談論到誤會呢
[00:01:59.900 --> 00:02:02.500]  當然和今天這段經文是有關係的
[00:02:02.500 --> 00:02:06.800]  但是先看一下究竟誤會產生的原因
[00:02:06.800 --> 00:02:09.200]  很多時候有些人就說
[00:02:09.200 --> 00:02:12.700]  誤會是因為基於miscommunication
[00:02:12.700 --> 00:02:17.500]  就是說在大家對一些資訊上面
[00:02:17.500 --> 00:02:20.500]  或者一些訊息上面有一些誤解
[00:02:20.500 --> 00:02:23.300]  或者有一些不清楚所導致
[00:02:23.500 --> 00:02:26.000]  我不否定有這個可能性
[00:02:26.000 --> 00:02:29.700]  不過在我自己的人生經歷裡面
[00:02:29.700 --> 00:02:33.400]  我發覺到誤會最常有一個情況就是
[00:02:33.400 --> 00:02:37.800]  發生在當人覺得自己想的東西是對的
