
[00:00:00.000 --> 00:00:02.000]  求祢再一次求祢幫助我們
[00:00:02.000 --> 00:00:05.000]  能夠讓我們帶著祢教導
[00:00:05.000 --> 00:00:07.000]  祢話語教導我們的心
[00:00:07.000 --> 00:00:09.000]  讓我們去信服
[00:00:09.000 --> 00:00:12.000]  讓我們真的竭盡所能去堅持
[00:00:12.000 --> 00:00:16.000]  祢已經給了我們合一的一個教導
[00:00:16.000 --> 00:00:18.000]  求祢親自與我們同在
[00:00:18.000 --> 00:00:20.000]  讓我們崇拜
[00:00:20.000 --> 00:00:22.000]  我們能夠去帶出祢自己的真理
[00:00:22.000 --> 00:00:26.000]  讓祢的真理能夠存在我們的生命當中
[00:00:26.000 --> 00:00:29.000]  讓我們一生都不會偏離左右
[00:00:29.000 --> 00:00:31.000]  求祢與我們同在
[00:00:31.000 --> 00:00:32.000]  圓覽我們
[00:00:32.000 --> 00:00:34.000]  祈禱奉主名求
[00:00:34.000 --> 00:00:35.000]  Amen
[00:00:35.000 --> 00:00:36.000]  請坐
[00:00:36.000 --> 00:00:40.000]  其實今天如果我有得選擇
[00:00:40.000 --> 00:00:42.000]  我一定不會說這段聖經
[00:00:42.000 --> 00:00:46.000]  因為這段聖經的確帶給我們自己
[00:00:46.000 --> 00:00:50.000]  可能在教會裡有很多不同的看法
[00:00:50.000 --> 00:00:54.000]  就是關於政教究竟是合一
[00:00:54.000 --> 00:00:57.000]  還是政教是所謂分離
[00:00:57.000 --> 00:00:59.000]  因為在過去一段日子當中
[00:00:59.000 --> 00:01:01.000]  特別這二十年裡
[00:01:01.000 --> 00:01:03.000]  的而且確香港教會
[00:01:03.000 --> 00:01:06.000]  是因著不同的意見
[00:01:06.000 --> 00:01:08.000]  帶來了教會與教會之間
[00:01:08.000 --> 00:01:11.000]  有很多不同的看法
[00:01:11.000 --> 00:01:13.000]  其實我自己一九八五年回來香港
[00:01:13.000 --> 00:01:15.000]  開始侍奉
[00:01:15.000 --> 00:01:16.000]  為什麼我會回來香港侍奉呢
[00:01:16.000 --> 00:01:19.000]  就是因為香港一九八三八四年
[00:01:19.000 --> 00:01:22.000]  當一個中英聯合聲明出現了之後
[00:01:22.000 --> 00:01:25.000]  就將九七的問題開始浮現
